"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelles sont les deux espèces de schistosomes responsables de la bilharziose hépatique selon le document ?","S. Mansoni et S. Haematobium","S. Mansoni et S. Japonicum","S. Japonicum et S. Intercalatum","S. Haematobium et S. Mekongi","2","Le document indique que la bilharziose hépatique est due à l'infestation de deux espèces : S. Mansoni et S. Japonicum (inexistant à Madagascar).","Easy"
"À Madagascar, combien de personnes sont touchées par S. Mansoni ?","2 millions","1 million","500 000","3 millions","1","Le document précise : 'S. Mansoni touche 2 millions de personnes' à Madagascar.","Easy"
"Quelle est la principale complication grave de la bilharziose hépatique mentionnée dans le document ?","Ascite","Ictère","Hémorragie digestive par rupture de varices œsophagiennes","Encéphalopathie","3","Le document indique que la BH peut se compliquer d'une hémorragie digestive par rupture de varices œsophagiennes --> Décès.","Easy"
"Selon le document, quel est le nombre d'œufs pondus par jour par une femelle de S. Mansoni ?","10 - 50 œufs/jour","30 - 300 œufs/jour","100 - 500 œufs/jour","500 - 1000 œufs/jour","2","Le document mentionne : 'Ponte : 30 - 300 œufs/jour'.","Easy"
"Quel est le délai d'apparition des premières manifestations de l'atteinte hépatique après la contamination ?","1-2 ans","5-10 ans","10-20 ans","20-30 ans","3","Le document précise : 'Les premières manifestations de l'atteinte hépatique peuvent apparaître 10-20 ans après la contamination'.","Easy"
"Quel signe clinique est considéré comme constant dans la bilharziose hépatique selon le document ?","Hépatomégalie","Ascite","Splénomégalie","Ictère","3","Le document indique : 'il n'y a pas de BH sans splénomégalie' (splénomégalie importante stade 3-4).","Easy"
"Quel examen morphologique est le plus recommandé pour visualiser les varices œsophagiennes dans la bilharziose hépatique ?","Echographie abdominale","TDM thoracique","Endoscopie digestive haute","Rectosigmoïdoscopie","3","Le document mentionne l'endoscopie digestive haute avec ++ pour visualiser les varices œsophagiennes.","Easy"
"Quel médicament est utilisé comme traitement curatif de l'infestation par S. Mansoni ?","Propranolol","Praziquantel (Biltricide)","Albendazole","Métronidazole","2","Le document indique que le Praziquantel (Biltricide) est le traitement médical de l'infestation.","Easy"
"Quelle est la posologie du Praziquantel selon le document ?","20 mg/kg en une prise","40 mg/kg : une à 2 prises en un seul jour (maximum 3 jours)","60 mg/kg sur 5 jours","10 mg/kg/jour pendant 7 jours","2","Le document précise : 'Posologie : 40mg/kg : une à 2 prises en un seul jour (maximum 3 jours)'.","Easy"
"Selon le document, que montre la biopsie de la muqueuse rectale dans la bilharziose hépatique ?","Des granulomes sans œufs","Des œufs de bilharzies enchâssées dans la muqueuse rectale","Des cellules cancéreuses","Des fibroses uniquement","2","Le document indique : 'Examen anatomo-pathologique : Œufs de bilharzies enchâssées dans la muqueuse rectale'.","Easy"
