"front","back","cognitive_level"
"Qu’est-ce qu’une uvéite ?","Inflammation de l’uvée (membrane vasculaire intermédiaire qui enveloppe l’œil).","Recall"
"Qu’est-ce qu’une uvéite antérieure ?","Inflammation de l’iris (iritis) et/ou du corps ciliaire (cyclite) = iridocyclite.","Recall"
"Qu’est-ce qu’une uvéite postérieure ?","Inflammation de la choroïde = choroïdite.","Recall"
"Comment nomme-t-on une inflammation qui diffuse de la choroïde à la rétine ?","Chorio-rétinite.","Recall"
"Qu’est-ce qu’une hyalite ?","Diffusion de l’inflammation dans le vitré.","Recall"
"Qu’est-ce qu’une pan-uvéite (uvéite totale) ?","Uvéite touchant l’uvée antérieure, intermédiaire et postérieure.","Recall"
"Quel est le type d’uvéite le plus fréquent (TDD) ?","L’uvéite antérieure aiguë (iritis, cyclite, iridocyclite).","Recall"
"Quels sont les signes fonctionnels d’une uvéite antérieure aiguë ?","Baisse de l’acuité visuelle modérée variable, douleurs oculaires modérées (type pesanteur), photophobie, larmoiement.","Recall"
"Quels sont les signes physiques à l’œil nu d’une uvéite antérieure aiguë ?","Œil rouge avec cercle péri-kératique, cornée claire sans œdème, pupille en myosis, pas de sécrétion purulente.","Recall"
"Quels sont les signes à la lampe à fente d’une uvéite antérieure aiguë ?","Dépôts rétro-cornéens (PRD = précipités rétro-descemétiques), effet Tyndall de la chambre antérieure (pathognomonique : protéines et cellules inflammatoires en suspension), hypopion (niveau blanchâtre inférieur) en cas de Tyndall très important.","Recall"
"Qu’est-ce qu’un hypopion dans une uvéite antérieure ?","Pus aseptique par sédimentation inférieure en cas d’effet Tyndall très important.","Recall"
"Qu’est-ce que des synéchies irido-cristalliniennes ?","Adhérence de la face postérieure de l’iris sur la face antérieure du cristallin, donnant parfois à la pupille un aspect en trèfle.","Recall"
"Quelles sont les variations possibles de la PIO au cours d’une uvéite antérieure ?","Normale (15 ± 5 mmHg), hypotonie (< 10 mmHg), ou parfois hypertonie sévère (30 à 40 mmHg) en cas d’uvéite antérieure compliquée.","Recall"
"Quel signe clinique permet de différencier une uvéite antérieure aiguë hypertensive d’un GAFA ?","Dans l’UAA, la pupille reste toujours en myosis. Dans le GAFA, la pupille est en semi-mydriase aréflexique.","Recall"
