"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quel est l'objectif de gain de poids quotidien pour un nouveau‑né à terme ?","10‑15 g/j","20‑30 g/j","30‑40 g/j","40‑50 g/j","2","Le document indique : 'Objectif = gain de poids de 20‑30 g/j' pour l'alimentation entérale du nouveau‑né à terme.","Easy"
"Quelle est la vidange gastrique moyenne chez le nouveau‑né à terme ?","60 minutes","75 minutes","90 minutes","120 minutes","3","Le document précise : 'Vidange gastrique lente : 90 min pour les nouveau‑nés à terme (60 min chez l’adulte)'.","Easy"
"À quel âge gestationnel la succion‑déglutition devient‑elle mature ?","31‑33 SA","34‑36 SA","37‑38 SA","39‑40 SA","2","Le document mentionne : 'Succion‑déglutition : mature à 34‑36 SA'.","Easy"
"Quel est l'apport hydrique recommandé pour un nouveau‑né à terme (ml/kg/j) ?","100‑120","120‑150","150‑180","180‑200","2","Selon le tableau des besoins nutritionnels : pour un nouveau‑né à terme, eau = 120‑150 ml/kg/j.","Easy"
"Quelle supplémentation en vitamine D est recommandée pour un nouveau‑né à terme allaité ?","400‑600 UI/j","800 UI/j","1000‑1200 UI/j","1500‑1600 UI/j","3","Le document indique : '+ Nécessité de supplémentation en vitamine D 1000 à 1200 UI/j' pour le nouveau‑né à terme.","Easy"
"Chez le prématuré, l'enrichissement du lait maternel par un ADDFMS est recommandé si le poids de naissance est inférieur à :","1000 g","1500 g","1800 g","2000 g","3","Le document précise : 'enrichissement du lait maternel par un aliment diététique destiné à des fins médicales spéciales (ADDFMS) ... si PN < 1800g'.","Easy"
"Quelle est la dose de vitamine K à la naissance pour un nouveau‑né à terme ?","0,5 mg","1 mg","2 mg","3 mg","3","Le document mentionne : '+ Nécessité de supplémentation en vitamine K 2 mg à la naissance, à J4 et à 1 mois' pour le nouveau‑né à terme.","Easy"
"Quelle est l'activité enzymatique lactasique chez le prématuré ?","100%","70%","50%","30%","4","Le document indique : 'Activité lactasique faible (30%) (préma)'.","Easy"
"Quel est l'objectif de gain de poids quotidien pour un nouveau‑né prématuré ?","10‑20 g/j","20‑30 g/j","30‑40 g/j","40‑50 g/j","1","Le document précise pour le prématuré : 'Objectif : gain de poids de 10 à 20 g/j'.","Medium"
"Un nouveau‑né à terme de 3 jours a perdu 8% de son poids de naissance. Cette perte est‑elle considérée comme normale selon le document ?","Oui, car la perte de poids minimale à J3‑J5 est <10%","Non, car la perte ne doit pas dépasser 5%","Oui, mais uniquement si la reprise a lieu à J10","Non, car à J3 la perte maximale est de 5%","1","Le document indique : 'Perte de poids minimale à J3‑J5 (perte de poids < 10% du poids de naissance)'. 8% est donc normal.","Medium"
