"front","back","cognitive_level"
"Quelle est la définition de l’aménorrhée secondaire ?","Absence de menstruation depuis plus de 3 mois chez une femme dont le cycle était antérieurement régulier.","Recall"
"Quelle est la prévalence de l’aménorrhée secondaire dans la population normale ?","2 à 5 % dans la population normale.","Recall"
"Quelle est la principale cause d’aménorrhée secondaire ?","La grossesse.","Recall"
"Citez les quatre mécanismes de survenue d’une aménorrhée secondaire.","1) Grossesse (physiologique). 2) Dysfonctionnement du système de commande neuro-hypothalamo-hypophysaire. 3) Trouble fonctionnel des voies génitales de la femme. 4) Anomalie anatomique génitale secondaire.","Recall"
"Quels antécédents gynécologiques faut-il rechercher à l’interrogatoire devant une aménorrhée secondaire ?","IVG (interruption volontaire de grossesse), curetage récent, accouchement, suites de couches, conisation du col, myomectomies, césariennes.","Recall"
"Quels événements psychologiques et changements de mode de vie doivent être recherchés à l’interrogatoire ?","Divorce, conflit familial et social, choc psycho-affectif, décès d’un proche, déménagement, voyage. Également : changement dans le mode de vie, prise de poids ou amaigrissement récent.","Recall"
"À l’examen clinique d’une aménorrhée secondaire, que recherche-t-on au niveau du cou ?","Un goître thyroïdien.","Recall"
"Quels signes de dysthyroïdie doit-on rechercher à l’examen clinique ?","Frilosité / bouffée de chaleur, constipation / diarrhée, bradycardie / palpitation, dépression / nervosité.","Recall"
"Quels sont les signes d’insuffisance surrénalienne à rechercher ?","Asthénie, hypotension artérielle (hypoTA), hypoglycémie, perte de poids, déshydratation.","Recall"
"Quel est le premier examen paraclinique à réaliser devant une aménorrhée secondaire ?","Le test de grossesse (bêta-hCG plasmatique ou urinaire – positif si > 5 mUI/mL).","Application"
"À quoi sert l’échographie pelvienne dans l’exploration d’une aménorrhée secondaire ?","À rechercher une grossesse, et à étudier la morphologie et la structure des ovaires (kyste, hypotrophie) et de l’endomètre (atrophie ou hypertrophie).","Recall"
"Qu’est-ce que la courbe de température et que permet-elle d’évaluer ?","La courbe de température évalue l’activité des ovaires. Elle est normale s’il existe un décalage thermique (indiquant une ovulation).","Recall"
"Décrivez le test aux progestatifs : comment le réalise-t-on et quel résultat attend-on ?","On administre un progestatif pendant 10 jours. Quelques jours après la fin de la prise, il doit survenir un saignement génital, ce qui témoigne d’un endomètre normal (présence d’un effet œstrogénique).","Understanding"
"Que recherche l’hystéroscopie dans le bilan d’une aménorrhée secondaire ?","L’état de l’endomètre, réalisée si le test de grossesse est négatif.","Recall"
"Quels dosages hormonaux sont réalisés et que renseignent-ils ?","Prolactine, FSH, LH, œstradiol, androstènedione, testostérones. Ils renseignent l’activité de l’hypothalamus, de l’hypophyse et des ovaires.","Recall"
"Qu’est-ce qu’une sténose cicatricielle du col utérin et quels en sont les signes ?","Une sténose cicatricielle du col utérin est une aménorrhée d’origine basse. Elle se manifeste par une dysménorrhée spasmodique et une stérilité. Diagnostic par hystéroscopie. Traitement : cathétériser le canal endocervical et agrandir l’orifice.","Recall"
"Qu’est-ce que des synéchies utérines et comment les traite-t-on ?","Les synéchies utérines sont des aménorrhées d’origine basse (brides intra-utérines). Signes : dysménorrhée, stérilité. Diagnostic par hystéroscopie. Traitement : effondrer la synéchie sous hystéroscopie.","Recall"
"Quelles sont les caractéristiques biologiques de la ménopause précoce ?","FSH et LH élevées, œstrogènes effondrées. Signes cliniques : bouffées de chaleur, trouble des phanères. Traitement : substitutif œstro-progestatif.","Recall"
"Qu’est-ce que le syndrome de Sheehan ? Décrivez ses caractéristiques.","Syndrome de Sheehan : insuffisance hypophysaire globale survenant après un accouchement hémorragique. Signes : pas de montée laiteuse, FSH, LH et TSH effondrées. Traitement substitutif à vie : œstro-progestatif + hydrocortisone + extraits thyroïdiens.","Recall"
"Quel taux de prolactine évoque un adénome à prolactine ?","Un taux > 100 ng/ml. Signes associés : céphalées, troubles visuels, galactorrhée. Examens : radiographie du crâne, IRM.","Recall"
"Citez cinq médicaments ou classes médicamenteuses pouvant induire une hyperprolactinémie iatrogène.","Antidépresseurs, œstroprogestatifs, neuroleptiques, dérivés des phénothiazines à fortes doses (Largactil®), Sulpiride (Dogmatil®), alpha-méthyldopa, cimétidine.","Recall"
"Quel est le traitement d’une hyperprolactinémie iatrogène ?","Arrêt des médicaments responsables. Si nécessaire, utilisation d’antiprolactines : bromocriptine, cabergoline...","Recall"
"Citez quatre causes d’aménorrhée d’origine hypothalamique.","1) Post-pilules (progestatifs macrodosés). 2) Athlètes de haut niveau (entraînement intense – augmentation de LH). 3) Psychogène (voyage, décès d’un proche, mésentente conjugale, viol). 4) Anorexie (maigreur extrême). 5) Maladies générales : tuberculose, cirrhose, dénutrition...","Recall"
"Pourquoi l’entraînement intense chez les athlètes de haut niveau peut-il provoquer une aménorrhée ?","L’entraînement intense entraîne une augmentation de LH (hormone lutéinisante) et peut perturber l’axe hypothalamo-hypophysaire.","Understanding"
