"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la définition de l'atopie ?","Prédisposition à des infections cutanées","Prédisposition héréditaire à des réactions d'hypersensibilité médiées par les IgE","Maladie auto-immune","Réaction allergique immédiate","2","Selon le document, l'atopie est une prédisposition héréditaire du système immunitaire à privilégier des réactions d'hypersensibilité modérées par les IgE.","Easy"
"Quel est le pourcentage de prévalence de la dermatite atopique chez les enfants dans les études nord-européennes ?","1-5%","10-25%","30-40%","50-60%","2","Le document indique '10-25% des enfants dans les études nord-européen'.","Easy"
"À quel âge débute généralement la dermatite atopique chez le nourrisson ?","À la naissance","Vers 1 mois","Vers 3 mois","Vers 1 an","3","'Début généralement vers 3 mois' selon le document.","Easy"
"Quel est le signe fonctionnel cardinal de la dermatite atopique ?","Douleur","Prurit","Fièvre","Œdème","2","Le document mentionne 'Signe fonctionnel : prurit'.","Easy"
"Avant l'âge de 2 ans, quelle est la topographie caractéristique des lésions de dermatite atopique ?","Plis de flexion","Convexité des membres et du visage","Tronc uniquement","Plantes des pieds","2","'Topographie : convexité des membres et du visage' pour la phase infantile (<2 ans).","Easy"
"Quelle est la complication infectieuse de la dermatite atopique due au staphylocoque doré ?","Surinfection herpétique","Dermatite atopique impétiginisée","Kérato-conjonctivite","Cataracte","2","'DA impétiginisées : Surinfection par staphylocoque doré'.","Easy"
"Quel diagnostic différentiel de la dermatite atopique chez l'enfant avant 2 ans est cité ?","Eczéma de contact","Lymphome cutané","Gale","Toxidermie","3","'Diagnostics différentiels : Avant 2 ans : Gale, Dermatite séborrhéique, Psoriasis'.","Easy"
"Quel est le rôle des flaggrines dans la physiopathologie de la dermatite atopique ?","Elles sont des cytokines pro-inflammatoires","Leur défaut de production entraîne une pénétration facile des antigènes","Elles activent les lymphocytes T CD8+","Elles inhibent la réponse IgE","2","'Anomalies génétiques : défaut de production des flaggrines, molécule nécessaire à la constitution de la couche cornée → pénétration facile des antigènes → sensibilisation et déclenchement des poussés'.","Medium"
"Quels sont les signes mineurs de la dermatite atopique chez l'enfant après 2 ans ?","Érythème et œdème","Pigmentation infra-orbitaire et plis sous palpébraux","Vésicules et suintement","Desquamation et croûtes","2","'Signes mineurs : pigmentation infra-orbitaire, plis sous palpébraux (signes de Dennie Morgan), pulpite sèches et fissuraire au niveau des pieds, eczématides sèches achromiantes'.","Medium"
"Quelle est la caractéristique des lésions chroniques de dermatite atopique dans la 2ème année de vie ?","Aspect érythrodermique","Aspect nummulaire au niveau du tronc, mamelon et dos","Lichénifications des plis","Vésiculo-pustules varioliformes","2","'Lésions chronique : aspect nummulaire au niveau du tronc, mamelon et dos'.","Medium"
"Parmi les complications ophtalmologiques de la dermatite atopique, laquelle n'est pas citée ?","Kérato-conjonctivite","Cataracte","Détachement rétinien","Glaucome","4","Le document cite 'Kérato-conjonctivite, Cataracte, Détachement rétinien'. Le glaucome n'est pas mentionné.","Medium"
"Comment se présente la surinfection herpétique (syndrome de Kaposi-Juliesberg) dans la dermatite atopique ?","Lésions vésiculo-bulleuses sans fièvre","Lésions vésiculo-pustuleuses varioliformes avec fièvre","Érythème généralisé et desquamation","Prurigo lichénifié","2","'Surinfection herpétique (pustuleuse varioliforme de kaposi-juliesberg) : lésions vésiculo-pustileuses varioliformes + fièvre'.","Medium"
"Quel est le mécanisme immunologique principal impliqué dans la dermatite atopique selon le document ?","Réaction d'hypersensibilité immédiate IgE-dépendante uniquement","Activation de lymphocytes T spécifiques d'antigène avec réaction d'hypersensibilité retardée","Auto-immunité dirigée contre les kératinocytes","Déficit en lymphocytes B","2","'Activation dans la peau de lymphocyte T spécifique d’antigène. Réaction d’hypersensibilité retardée'.","Medium"
"Quelle est la particularité des poussées de dermatite atopique chez l'enfant après 2 ans ?","Elles surviennent uniquement en été","Elles sont saisonnières, prédominant en hiver et automne","Elles sont continues sans rémission","Elles ne surviennent que la nuit","2","'Poussées saisonnières : hiver, automne'.","Medium"
"Un patient adulte présente une érythrodermie avec prurit. Selon le document, quels diagnostics différentiels de la dermatite atopique doivent être évoqués ?","Gale et dermatite séborrhéique","Eczéma de contact et psoriasis","Lymphome cutané, toxidermie, néoplasie profonde, psoriasis","Gale et psoriasis","3","'Forme érythrodermie de l’adulte : Lymphome cutané, Toxidermie, Néoplasie profonde, Psoriasis'.","Difficult"
"En combinant les informations du document, expliquez pourquoi le défaut de flaggrines conduit à des poussées de dermatite atopique. Choisissez la séquence correcte :","Défaut flaggrines → augmentation IgE → activation lymphocytes T","Défaut flaggrines → couche cornée altérée → pénétration antigènes → sensibilisation → poussées","Défaut flaggrines → sécheresse cutanée → prurit → lichénification","Défaut flaggrines → surinfection staphylococcique → inflammation","2","Le document indique : 'défaut de production des flaggrines, molécule nécessaire à la constitution de la couche cornée → pénétration facile des antigènes → sensibilisation et déclenchement des poussés'.","Difficult"
"Un enfant de 4 ans présente des lésions d'eczéma au niveau des plis des coudes et des genoux, des pulpitès sèches aux pieds, et une pigmentation infra-orbitaire. Sa mère rapporte des poussées surtout en hiver. Quel est le diagnostic le plus probable selon le document ?","Gale","Psoriasis","Dermatite atopique de l'enfant après 2 ans","Eczéma de contact","3","L'enfant a plus de 2 ans, lésions au niveau des plis (zones bastion), poussées saisonnières hiver, signes mineurs (pigmentation infra-orbitaire, pulpite sèches) typiques de la DA chez l'enfant après 2 ans.","Difficult"
