"front","back","cognitive_level"
"Qu'est-ce que le syndrome hémolytique et urémique (SHU) ?","Une microangiopathie thrombotique caractérisée par une altération de l'endothélium vasculaire, entraînant une destruction mécanique des globules rouges et une activation de l'agrégation plaquettaire.","Recall"
"Quelle est la triade symptomatique du SHU ?","1) Anémie hémolytique d'origine mécanique ; 2) Thrombopénie ; 3) Insuffisance rénale aiguë.","Recall"
"Quel est le pourcentage des SHU post-diarrhéiques par rapport à l'ensemble des SHU ?","90% des cas.","Recall"
"Quel est l'âge de prédilection du SHU post-diarrhéique ?","Inférieur à 3 ans.","Recall"
"Quel est le germe le plus souvent en cause dans le SHU post-diarrhéique ?","Escherichia coli entérohémorragiques producteurs de Shigatoxines (SHU-STEC), sérotype O157:H7.","Recall"
"Citez 3 aliments à risque de contamination par E. coli producteur de Shigatoxine.","Viandes contaminées insuffisamment cuites, produits laitiers non pasteurisés, légumes consommés crus.","Recall"
"Quelle est la phase prodromique du SHU post-diarrhéique ?","Diarrhée généralement glairo-sanguinolente +/- fièvre, survenant entre J3 et J15.","Recall"
"Citez 5 signes cliniques de la phase d'état du SHU.","Pâleur/subictère, oligurie/anurie, œdème des membres inférieurs, HTA, hématurie, protéinurie.","Recall"
"Quels sont les 3 critères paracliniques de la triade diagnostique du SHU ?","Anémie hémolytique (Hb<10g/dl, schizocytes), thrombopénie <150.000/mm3, insuffisance rénale aiguë (créatinine et urée augmentées).","Recall"
"Qu'est-ce qu'un schizocyte ?","Hématie en forme de coquille d'œuf, témoin d'une destruction mécanique (anémie hémolytique microangiopathique).","Recall"
"Quelles sont les 3 caractéristiques du SHU atypique (10% des cas) ?","Âge variable (nouveau-né), caractère familial (plusieurs cas dans une même famille), pas de diarrhée prodromique, début progressif, diurèse conservée, évolution par poussées multiples, pronostic très réservé.","Recall"
"Citez 4 causes de SHU secondaire.","Infections sévères (Streptococcus pneumoniae, Shigelle), néphropathie, VIH, lupus, greffe de moelle, drogues (ciclosporine, ticlopidine, antipaludéens), irradiation corporelle.","Recall"
"Quels sont les 3 diagnostics différentiels à évoquer devant une anémie hémolytique ?","Drépanocytose, paludisme, déficit enzymatique, hémopathie.","Recall"
"Quels sont les 3 diagnostics différentiels devant une thrombopénie ?","Purpura thrombopénique idiopathique, infection sévère.","Recall"
"Quels sont les 3 diagnostics différentiels devant une insuffisance rénale aiguë ?","Syndrome néphrotique, diarrhée + déshydratation sévère (hypovolémie), origine toxique.","Recall"
"Quel examen permet de confirmer l'étiologie à E. coli producteur de Shigatoxine ?","Mise en évidence de STEC dans les selles (coproculture, PCR) ou dans le sérum (anticorps IgM).","Recall"
"Quelle est la cause du SHU atypique héréditaire ?","Mutations dans les gènes codant les protéines régulatrices de la voie alterne du complément.","Recall"
"Quel est le traitement conservateur de l'insuffisance rénale aiguë dans le SHU ?","Restriction hydrique (20 ml/kg/j + diurèse), restriction sodée (0,5 mmol/kg/j), restriction potassique (1 mmol/kg/j), maintien d'apport calorique correct, antihypertenseurs, résines échangeuses de potassium, salbutamol, transfusion de culot globulaire phénotypé, épuration extra-rénale (dialyse péritonéale).","Recall"
"Quelles sont les indications de transfusion de culot globulaire dans le SHU ?","Taux d'hémoglobine < 8 g/dl.","Recall"
"Quelles sont les indications de l'épuration extra-rénale (dialyse péritonéale) ?","Anurie, créatininémie à 300-400 µmol/L, surcharge hydrosodée, acidose, hyperkaliémie > 6 mmol/L.","Recall"
"Quelle est la mortalité à la phase aiguë du SHU ?","< 5%.","Recall"
"Quel est le pourcentage d'évolution vers l'insuffisance rénale terminale après un SHU ?","5 à 10%.","Recall"
"Quelles sont les 3 séquelles à long terme possibles après un SHU ?","HTA, insuffisance rénale chronique, protéinurie chronique.","Recall"
"Quelle est la durée de surveillance à long terme recommandée après un SHU ?","3 à 5 ans (pression artérielle, protéinurie, créatininémie/an).","Recall"
"Citez 5 mesures préventives du SHU typique.","Respect des règles d'abattage, consommation de viandes bien cuites et laits pasteurisés, désinfection des systèmes d'eau, hygiène alimentaire/lavage des mains, éviter baignades dans mares contaminées par bétail, éviter les ralentisseurs de transit, pas d'antibiothérapie systématique.","Recall"
"Pourquoi ne faut-il pas donner d'antibiotiques systématiquement dans la diarrhée à risque de SHU ?","Car les antibiotiques peuvent favoriser la libération de Shigatoxines et aggraver le risque de SHU (pas d'antibiothérapie systématique).","Understanding"
"Quelle est la première cause d'insuffisance rénale aiguë organique chez l'enfant de moins de 3 ans ?","Le SHU (microangiopathie thrombotique).","Recall"
"Quel est le pronostic vital du SHU en phase multiviscérale ?","Le pronostic vital est mis en jeu.","Recall"
