"term","definition","contextual_explanation"
"Erythrodermie","Syndrome cutané défini par un érythème confluent généralisé associé à une desquamation intéressant ≥90% de la surface corporelle, d’évolution prolongée (plusieurs semaines).","Dans le document, il s’agit d’une urgence dermatologique pouvant compliquer de troubles hydro-électrolytiques, infectieux et de décubitus."
"Erythème","Rougeur cutanée par vasodilatation.","Dans l’érythrodermie, l’érythème est confluent, généralisé, violacé aux points déclives."
"Desquamation","Chute de lamelles de la couche cornée.","Constante dans l’érythrodermie, peut être fine ou en larges lambeaux, avec pachydermie aux plis."
"Pachydermie","Épaississement de la peau.","Observé au niveau des plis dans l’érythrodermie."
"Ectropion","Éversion de la paupière, exposant la conjonctive.","Peut survenir secondairement à l’œdème du visage dans l’érythrodermie."
"Lignes de Beau","Dépressions transversales sur les ongles traduisant un arrêt temporaire de croissance.","Observées sur les ongles après quelques semaines d’érythrodermie."
"Chéilite","Inflammation des lèvres.","Atteinte muqueuse possible de l’érythrodermie."
"Conjonctivite","Inflammation de la conjonctive.","Atteinte muqueuse possible."
"Stomatite","Inflammation de la muqueuse buccale.","Atteinte muqueuse possible."
"Polyadénopathie","Augmentation de volume de plusieurs ganglions lymphatiques.","Peut être présente dans l’érythrodermie, orientant vers une hémopathie ou un syndrome DRESS."
"Exanthème morbiliforme","Éruption cutanée ressemblant à celle de la rougeole (morbilleuse), érythémato-squameuse avec éléments multiples et diffus.","Principal diagnostic différentiel de l’érythrodermie, mais d’évolution plus aiguë et sans trouble thermique."
"Toxidermie","Effet indésirable cutané d’un médicament pris par voie systémique.","Étiologie fréquente d’érythrodermie chez l’adulte, avec délai moyen 7-21 jours. Médicaments incriminés : carbamazépine, anti-infectieux, allopurinol, sulfamides."
"DRESS syndrome","Drug Rash with Eosinophilia and Systemic Symptoms.","Forme particulière de toxidermie avec délai plus long (4-6 semaines), fièvre, exanthème, œdème, adénopathies, hyperéosinophilie (>1500/mm3), cytolyse hépatique et autres atteintes viscérales."
"Mycosis fongoïde","Lymphome cutané T épidermotrope.","Peut se manifester par une érythrodermie chronique, prurigineuse, infiltrée, pigmentée, avec adénopathies."
"Syndrome de Sézary","Forme leucémique du mycosis fongoïde.","Associé à une érythrodermie chronique avec cellules de Sézary circulantes dans le sang."
"Cellules de Sézary","Lymphocytes T atypiques circulants.","Marqueur biologique du syndrome de Sézary."
"Gale norvégienne","Gale hyperkératosique (ou croûteuse).","Étiologie infectieuse d’érythrodermie, donnant une érythrodermie « farineuse », crouteuse et hyperkératosique."
"Bébé collodion","Nouveau-né recouvert d’une membrane luisante ressemblant à du collodion.","Tableau de l’ichtyose érythrodermie congénitale (génodermatose avec anomalie de kératinisation)."
"Erythrodermie desquamante de Leiner-Moussous","Érythrodermie du nourrisson succédant à une dermatite séborrhéique bipolaire, d’évolution bénigne, avec bon état général.","Forme clinique du nourrisson >3 mois (en réalité décrite chez <3 mois dans le document)."
"Epidermolyse staphylococcique du nouveau-né","Syndrome de la peau ébouillantée staphylococcique.","Urgence vitale du nouveau-né : vaste décollement épidermique, fièvre, AEG, laissant des placards rouges suintants."
"Histiocytose langerhansienne","Prolifération de cellules de Langerhans.","Étiologie rare d’érythrodermie chez l’enfant."
"PNE","Polynucléaires éosinophiles.","Taux >1500/mm3 dans le syndrome DRESS."
"Cytolyse hépatique","Libération d’enzymes hépatiques (transaminases) dans le sang, témoin d’une atteinte des hépatocytes.","Atteinte d’organe possible dans le DRESS."
