"question","answer","explanation","difficulty"
"Définissez les malformations ano-rectales (MAR).","Les MAR sont un ensemble de malformations très vaste allant du simple défaut de résorption de la membrane anale à des agénésies ano-rectales avec fistule dans les voies urinaires ou génitales et anomalie sacrée.","Le document : première phrase de l'introduction.","Easy"
"Quels sont les trois muscles ou structures impliqués dans la continence anale ?","1. Sphincter interne (muscles lisses) ; 2. Sphincter externe (muscle strié) ; 3. Releveur de l'anus / plancher pelvien (muscle strié).","Le document : ''Mécanismes de la continence''.","Easy"
"Quelle est la classification radiologique utilisée pour distinguer MAR hautes et MAR basses ?","La ligne pubo-coccygienne de Stephens.","Le document : ''Classification : Ligne pubo-coccygienne de Stephens''.","Easy"
"Quels sont les deux types de fistules mentionnées dans les MAR partiellement obstructives ?","Fistule périnéale (MAR basse) et fistule vulvaire chez la fille.","Le document : ''MAR partiellement obstructive : Fistule périnéale : MAR basse ; Fistule vulvaire chez la fille''.","Easy"
"Quelles sont les trois principales malformations associées aux MAR selon le document ?","Malformations vertébro-médullaires (40%), malformations urogénitales (40%), et autres (atrésie de l'œsophage, cardiopathies, syndrome VACTERL).","Le document : ''Malformations associées''.","Easy"
"Quel est le principe du diagnostic radiologique des formes sans fistule ?","On attend 3 à 5 heures après la naissance pour que l'enfant déglutisse de l'air, on le met en position proclive, on place un repère métallique à l'emplacement de l'anus, puis on réalise un cliché de profil pour visualiser le cul-de-sac gazeux par rapport à la ligne de Stephens.","Le document : ''Examens complementaires''.","Easy"
"Quel est le traitement néonatal d'une MAR haute et quel est son but ?","Une colostomie de décharge, pour décharger le tube digestif et permettre une alimentation en attendant la chirurgie définitive.","Le document : ''MAR haute : colostomie de décharge''.","Easy"
"Décrivez brièvement la proctoplastie pour MAR basse.","Recherche du sphincter au stimulateur électrique, incision en ''mercedes'', rabat des lambeaux cutanés, élargissement des fibres musculaires jusqu'au cul-de-sac rectal, incision en Y sur le cul-de-sac, suture des lambeaux pour obtenir un anus en étoile avec écoulement de méconium.","Le document : ''Proctoplastie'' avec les étapes.","Medium"
"Quelle est l'intervention de référence pour les MAR hautes et quel est son pronostic ?","L'intervention de Pen~a et de Vries (abaissement de Pen~a). Le pronostic est moyen en raison de l'agénésie musculaire, de l'absence de nerfs et de l'absence de plancher pelvien.","Le document : ''Intervention de Pen~a et de Vries'' et ''Pronostic moyen''.","Medium"
"Quels sont les éléments de l'instrumentation nécessaire pour la chirurgie des MAR hautes ?","Loupes/microscope-casque, neurostimulateur puissant, instruments fins (aspiration), hémostase mono/bipolaire, écarteurs auto-statiques, IRM préopératoire pour repérage musculaire.","Le document : ''L'instrumentation''.","Medium"
"Quelle est la prise en charge post-opératoire immédiate après proctoplastie ?","Passage quotidien d'une canule pendant un mois pour conserver un calibrage correct.","Le document : ''Passage quotidien d'une canule pendant un mois''.","Medium"
"Quelle est la prise en charge à long terme après chirurgie des MAR hautes ?","Mettre l'enfant à heures fixes sur le pot (pendant 7 ans), traiter la constipation, introduction d'un ballonnet dans le rectum à 7 ans pour anticiper la sensation d'envie, réévaluation à 5-6 ans, chirurgie de confort à 10-12 ans.","Le document : ''POST OP A LONG TERME''.","Medium"
"Expliquez la différence de pronostic entre MAR basses et MAR hautes.","MAR basses : pronostic excellent car le cul-de-sac traverse le plancher pelvien, la continence anale est présente. MAR hautes : pronostic moyen car agénésie musculaire, absence de nerfs du plexus sacré, absence de plancher pelvien, donc pas de continence anale.","Le document : MAR basse ''pronostic excellent'' ; MAR haute ''pronostic moyen'' avec les justifications.","Medium"
"Quel est l'intérêt de l'IRM préopératoire dans les MAR hautes ?","Pour le repérage des fibres musculaires à préserver lors de l'intervention de Pen~a.","Le document : ''IRM préopératoire : repérage des fibres musculaires à préserver''.","Medium"
"Pourquoi les MAR hautes sont-elles souvent associées à d'autres malformations ?","Parce qu'elles surviennent au cours de la vie intra-utérine (6ème-10ème semaine d'aménorrhées), une période contemporaine d'autres processus de morphogenèse ou d'organogenèse (régression caudale).","Le document : ''Au cours de la vie intra-utérine (6ème-10ème semaine d'aménorrhées) et donc susceptibles de s'associer à des anomalies à distance''.","Medium"
"Quel est le résultat fonctionnel attendu après intervention de Pen~a ?","L'enfant ne sera jamais continent (au sens physiologique du terme) mais peut être propre (contrôle des selles par des horaires fixes). 90% ont un résultat positif, 10% nécessitent une colostomie définitive.","Le document : ''ne sera jamais continent mais peut être propre'' et ''Résultat positif dans 90% des cas''.","Medium"
"Comment réalise-t-on le diagnostic de MAR partiellement obstructive avec fistule vulvaire chez la fille ?","Par une épreuve au stylet et/ou une fistulographie pour voir le trajet de la fistule.","Le document : ''Fistule vulvaire chez la fille : Epreuve au stylet +/- fistulographie (pour voir le trajet de la Fistule)''.","Medium"
"Quelles sont les deux voies d'abord possibles pour trouver la fistule dans les formes hautes ?","Chirurgie ouverte ou coelio-chirurgie.","Le document : ''Les formes hautes : il faut trouver la fistule. 1. En chirurgie ouverte 2. En coelio-chirurgie''.","Medium"
"Quel est l'intérêt de la mise en position proclive pour les examens radiologiques ?","Pour faire remonter l'air dans le tube digestif et ainsi mieux visualiser le cul-de-sac rectal.","Le document : ''Mise en position proclive pour faire remonter l'air dans le tube digestif''.","Medium"
"Pourquoi utilise-t-on un repère métallique à l'emplacement de l'anus lors des clichés radiologiques ?","Pour visualiser sur le cliché de profil la distance entre le cul-de-sac rectal gazeux et l'anus légitime, permettant ainsi de classer la MAR (haute ou basse) par rapport à la ligne de Stephens.","Le document : ''Mettre un Repère métallique à l'emplacement de l'anus'' puis cliché de profil.","Medium"
"Un nouveau-né de sexe masculin présente un ventre distendu, pas d'émission de méconium. L'examen du périnée montre une absence d'anus. La radiographie en décubitus latéral avec repère métallique montre un cul-de-sac gazeux situé à 1,5 cm au-dessus de la ligne de Stephens. Quel est le diagnostic et quel traitement initial proposez-vous ?","Diagnostic : MAR haute (cul-de-sac au-dessus de la ligne de Stephens, distance >1 cm). Traitement initial : colostomie de décharge (transverse gauche ou sigmoïdienne haute) en période néonatale, puis secondairement intervention de Pen~a quand l'enfant pèsera 6 kg.","Le document : MAR haute : cul-de-sac au-dessus, distance 1cm ; traitement : colostomie de décharge puis Pen~a à 6kg.","Difficult"
