"question","answer","explanation","difficulty"
"Qu'est-ce qu'une dermatophytie ?","Infection fongique superficielle des structures kératinisées (couche cornée, poils, ongles) due à des champignons filamenteux kératinophiles.","Document.","Easy"
"Citez trois structures cutanées que peuvent infecter les dermatophytes.","Couche cornée, poils, ongles.","Document.","Easy"
"Quelle est la différence entre une onychomycose et une teigne ?","L'onychomycose est une infection des ongles par dermatophyte ; la teigne est une infection du cuir chevelu, de la barbe ou des poils.","Document.","Easy"
"Décrivez l'aspect typique d'une dermatophytie de la peau glabre.","Plaques squameuses bien limitées, bordures nettes ou papuleuses, guérison centrale, forme annulaire ou polycyclique, évolution centrifuge, prurit.","Document.","Easy"
"Qu'est-ce que le pied d'athlète ?","Intertrigo inter-orteil dermatophytique, touchant le 4ème espace, avec fissure rouge vif, macération blanchâtre, pouvant s'étendre au dos du pied et aux ongles.","Document.","Easy"
"Décrivez l'aspect de l'onyxis dermatophytique.","Début au bord libre de l'ongle, dépassement sous-unguéal, ongle jaune verdâtre, terne, extension progressive vers la matrice.","Document.","Easy"
"Quelles sont les quatre formes de teignes décrites ?","Teignes tondantes (microscporique et trichophytique), teigne suppurative (kérion), teigne favique (favus), teigne de la barbe.","Document.","Easy"
"Quel examen utilise la lumière de Wood dans le diagnostic des teignes ?","Examen des lésions à la lumière de Wood : fluorescence jaune-verte pour les microsporiques, absence pour les trichophytiques.","Document.","Easy"
"Quels sont les trois genres de dermatophytes ?","Epidermophyton, Trichophyton, Microsporum.","Document.","Easy"
"Comment se transmettent les dermatophytes ?","Par contact direct : interhumain, de l'animal à l'homme, du sol à l'homme.","Document.","Easy"
"Quel est le traitement des formes localisées de dermatophytie et sa durée ?","Antimycosique topique pendant 4 à 8 semaines.","Document.","Easy"
"Citez trois diagnostics différentiels des dermatophyties de la peau glabre.","Eczéma de contact, eczéma nummulaire, dermatite atopique, pityriasis rosé de Gilbert, psoriasis nummulaire.","Document.","Medium"
"Citez trois diagnostics différentiels des lésions du cuir chevelu.","Lupus érythémateux chronique, fausse teigne amiantacée, dermatite séborrhéique, psoriasis.","Document.","Medium"
"Quels sont les trois facteurs favorisants des dermatophyties ?","Humidité, traumatismes locaux, occlusion des plis.","Document.","Medium"
"Quelle est la particularité des dermatophytes concernant leur pathogénicité ?","Ils sont toujours pathogènes (non commensaux) et respectent les muqueuses.","Document.","Medium"
"Quel est l'intérêt de la culture sur milieu de Sabouraud ?","Permet l'identification du champignon après 3-4 semaines de culture.","Document.","Medium"
"Quel est le traitement des formes étendues ou multiples de dermatophytie ?","Association d'antimycosique topique et par voie générale.","Document.","Medium"
"Expliquez la différence clinique entre une teigne microscporique et une teigne trichophytique.","La teigne microscporique donne de grandes plaques alopéciques arrondies uniques ou multiples ; la trichophytique donne de petites lésions éparses squamo-croûteuses et pustuleuses.","Document.","Medium"
"Qu'est-ce que le kérion ?","Teigne suppurative du cuir chevelu se présentant comme un placard inflammatoire pustuleux, avec alopécie cicatricielle.","Document.","Medium"
"Qu'est-ce que le favus ?","Teigne favique caractérisée par des cupules jaunes (godets faviques) sur le cuir chevelu, entraînant une alopécie cicatricielle.","Document.","Medium"
"Comment différencier cliniquement une dermatophytie d'un eczéma de contact ?","La dermatophytie a des bordures nettes, une guérison centrale et une évolution centrifuge ; l'eczéma de contact a des bords émiettés, pas de guérison centrale, et un prurit souvent plus intense.","Document.","Difficult"
"Pourquoi les dermatophytes sont-ils toujours pathogènes ?","Car ils sont kératinophiles et envahissent activement la kératine des tissus cutanés, contrairement aux champignons commensaux.","Document.","Difficult"
"Expliquez le principe de l'évolution centrifuge des dermatophyties.","Le champignon se développe en cercle à partir du point d'inoculation. La réaction inflammatoire et l'immunité locale permettent la guérison du centre, tandis que le front de croissance actif est en périphérie, donnant un aspect annulaire.","Document.","Difficult"
"Quelle est la place de la lumière de Wood dans le diagnostic des teignes ?","Examen rapide et non invasif qui oriente le diagnostic : fluorescence jaune-verte pour Microsporum, absence pour Trichophyton.","Document.","Medium"
"Quel est le pronostic de l'alopécie dans le kérion ?","Cicatricielle, donc définitive.","Document.","Medium"
"Pourquoi l'humidité favorise-t-elle les dermatophyties ?","L'humidité macère la peau, altère la barrière cutanée et favorise la germination et la prolifération des dermatophytes.","Document.","Difficult"
"Quels sont les antifongiques topiques utilisés dans les dermatophyties ?","Azolés (clotrimazole, éconazole), terbinafine, allylamines.","Document.","Medium"
"Quel est le rôle des règles hygiéno-diététiques dans le traitement ?","Éviction des savons acides et parfums, hygiène rigoureuse pour réduire l'humidité et la macération.","Document.","Medium"
"La teigne de la barbe peut-elle ressembler à une folliculite ?","Oui, elle se présente sous forme de plages papuleuses inflammatoires, pustuleuses, parfois verruqueuses.","Document.","Difficult"
"Pourquoi les dermatophytes respectent-ils les muqueuses ?","Ils ont une affinité spécifique pour la kératine des tissus kératinisés (peau, poils, ongles), et les muqueuses ne sont pas kératinisées (sauf exception).","Document.","Difficult"
"Quelle est la durée de traitement d'une onychomycose dermatophytique ?","Non précisée, mais les formes localisées cutanées 4-8 semaines ; les onychomycoses nécessitent souvent un traitement plus long (plusieurs mois).","Document (non précisé).","Medium"
