question, answer, explanation, difficulty
"Expliquez la différence entre accouchement eutocique et dystocique.", "Eutocique = expulsion par phénomènes physiologiques normaux ; dystocique = difficultés nécessitant manœuvres ou extraction instrumentale", "Document : 'Accouchement eutocique : expulsion fœtale par aboutissement des phénomènes physiologiques ; Accouchement dystocique : difficultés voire impossibilité d'accouchement par voie basse'", "Easy"
"Quels sont les quatre temps de l'accouchement ?", "1ère étape : début travail → dilatation complète ; 2ème étape : dilatation complète → naissance ; 3ème étape : délivrance ; 4ème étape : surveillance post-partum 2h", "Document détaille les 4 étapes", "Easy"
"Expliquez le mécanisme de l'asynclitisme.", "Inclinaison latérale de la tête fœtale permettant l'engagement du plus grand diamètre dans le détroit supérieur ; la suture est latéralisée par rapport à l'axe du détroit", "Document : 'Asynclitisme : inclinaison latérale de la tête, repère = suture longitudinale ; Si suture latéralisée = asynclite'", "Difficult"
"Quels sont les quatre signes cliniques de l'engagement de la présentation ?", "Signe de Laurier (impossibilité 2 doigts épaule-pubis), signe de Favre (distance épaule-pubis <7cm), signe de Farabeuf (2 doigts entre pôle fœtal et sacrum), signe de Demelin (index bute contre symphyse)", "Document les définit tous", "Medium"
"Comparez la rotation des variétés antérieures et postérieures.", "Antérieures (OIGA, OIDA) : rotation courte de 45° en occipito-pubien ; Postérieures : 97% grande rotation 135° en OP, 3% rotation courte 45° en occipito-sacré", "Document le détaille", "Difficult"
"Pourquoi la flexion de la tête fœtale est-elle importante lors de l'accouchement ?", "Elle permet de présenter le plus petit diamètre (sous-occipito-bregmatique 9,5 cm) au détroit supérieur", "Document : 'Flexion (diamètre sous-occipito-bregmatique emprunte le diamètre antéro-postérieur = 9,5cm)'", "Medium"
"Quels sont les trois éléments fondamentaux de la mécanique obstétricale ?", "Utérus (moteur), bassin maternel (conduit), mobile fœtal (présentation)", "Document : 'Eléments fondamentaux : utérus, bassin maternel, mobile fœtal'", "Easy"
"Expliquez la phase de descente et rotation pendant la 2ème étape.", "Descente selon axe ombilico-coccygien, rotation pour placer la grande suture dans le diamètre antéro-postérieur et la fontanelle postérieure sous la symphyse", "Document détaille ces mécanismes", "Medium"
"Quelle est la différence entre OIDA et OIDP ?", "OIDA = occipito-iliaque droit antérieur (occiput à droite devant) ; OIDP = occipito-iliaque droit postérieur (occiput à droite derrière)", "Document donne les variétés", "Easy"
"Pourquoi la surveillance post-partum immédiate (4ème étape) dure-t-elle 2 heures ?", "Pour surveiller les constantes maternelles, le globe utérin et le saignement, risque d'hémorragie du post-partum", "Document : 'Surveillance des constantes maternelles, du globe utérin (ovoïde et tendu) et du saignement'", "Medium"
"Quel est le rôle du col dans le travail ?", "Dilatation et effacement sous l'effet des contractions utérines et du segment inférieur", "Document : 'col (dilatation et effacement)'", "Easy"
"Expliquez le mouvement de restitution après l'expulsion de la tête.", "La tête tourne pour se remettre dans l'axe du dos, avant l'accouchement des épaules", "Document : 'Rotation pour se remettre dans l'axe du dos : mouvement de restitution'", "Difficult"
"Quelles sont les causes de dystocie liées au bassin maternel ?", "Rétrécissement, forme androïde, anomalies osseuses", "Document : 'Formes : gynoïde, androïde, anthropoïde'", "Medium"
"Pourquoi l'utérus est-il le moteur de l'accouchement ?", "Ses contractions rythmées, totales et douloureuses assurent la dilatation cervicale et l'expulsion", "Document : 'Utérus : Moteur de l'accouchement'", "Easy"
"Quel est le rôle du segment inférieur de l'utérus ?", "Zone de transmission mécanique des contractions vers le col, permettant accommodation et effacement", "Document : 'segment inférieur (zone de transmission mécanique des contractions utérines vers le col, permettant l'accommodation de l'utérus au pôle fœtal et l'effacement du col)'", "Difficult"
"Quelles sont les trois formes de bassin maternel citées ?", "Gynoïde, androïde, anthropoïde", "Document les énumère", "Easy"
"Expliquez la déflexion de la tête lors de la traversée du périnée.", "L'occiput bute contre la symphyse pubienne, la tête se redresse, dégageant front, face et menton", "Document : 'Occiput : calé par la symphyse pubienne -> déflexion de la tête -> dégagement de la tête fœtale'", "Medium"
"Quelle est la durée maximale de la phase d'expulsion ? Pourquoi ?", "30 minutes ; au-delà, risque de souffrance fœtale", "Document : 'Durée maximum de la phase d'expulsion : 30 mn'", "Medium"
"Quels sont les signes du début du travail ?", "Perte du bouchon muqueux, contractions régulières (≥2/10min), modifications cervicales (ramollissement, effacement, dilatation)", "Document énumère ces signes", "Easy"
"Pourquoi la phase de décélération existe-t-elle après 8 cm de dilatation ?", "Ralentissement avant la phase d'expulsion, lié à l'engagement et à la descente", "Document : 'Phase de décélération : au-delà de 8 cm, ralentissement de la dilatation'", "Difficult"
"Quelles sont les deux variétés de présentation selon le repère occipital ?", "Occipito-iliaque antérieur et occipito-iliaque postérieur", "Document les distingue", "Easy"
"Expliquez la phrase 'la progression se fait en vis' lors de la descente.", "La tête fœtale descend tout en tournant, combinant translation et rotation", "Document : 'Descente : En même temps que la rotation (=vis)'", "Medium"
"Quel est le risque de ne pas surveiller le globe utérin après l'accouchement ?", "Hémorragie du post-partum par atonie utérine", "Document : 'surveillance du globe utérin (ovoïde et tendu) et du saignement'", "Medium"
"Quelle est la définition de l'accommodation fœtale ?", "Mécanismes physiologiques (flexion, orientation oblique, asynclitisme, déformation plastique) permettant le passage dans le bassin", "Document : 'Mécanismes d'accommodation : Flexion, Orientation en oblique, Asynclitisme, Déformation plastique du crâne fœtal'", "Difficult"
"Pourquoi l'OIGP tourne-t-il dans le sens inverse des aiguilles d'une montre ?", "Pour amener l'occiput sous la symphyse", "Document : 'sens inverse des aiguilles d'une montre pour l'OIGP'", "Difficult"
"Quel est le signe clinique de l'engagement le plus utilisé ?", "Signe de Farabeuf ou de Favre selon les pratiques", "Document les cite tous", "Medium"
"Pourquoi la présentation du sommet est-elle la plus favorable ?", "Car le diamètre sous-occipito-bregmatique est le plus petit et s'adapte bien au bassin", "Document : 'la plus favorable'", "Easy"
"Quelle est la durée moyenne de la phase de latence chez la primipare ?", "8,6 heures", "Document : 'en moyenne 8,6 heures chez la primipare'", "Easy"
"Quel est le rôle du périnée lors de l'expulsion ?", "Se laisser distendre pour permettre le passage de la tête, avec risque de déchirure", "Document : 'ampliation du périnée (risque de déchirures périnéales !!)'", "Medium"
"Quelle est la conduite à tenir en cas de dystocie ?", "Manœuvres obstétricales, extraction instrumentale ou césarienne", "Document : 'nécessité de manœuvres ou extraction instrumentale'", "Easy"
