question,answer,explanation,difficulty
"La rhinosinusite aiguë est une infection aiguë des cavités rhinosinusiennes.",True,"Le document indique : Infection aiguë d’une ou de plusieurs cavités rhinosinusiennes.","Easy"
"L’évolution de la rhinosinusite aiguë dure plus de 3 semaines.",False,"Le document précise : Evolution inférieur à 3 semaines.","Easy"
"La rhinosinusite aiguë peut toucher l’enfant à partir de 6 ans.",True,"Le document indique : Adulte et enfant à partir de 6 ans.","Easy"
"Les sinus antérieurs se drainent au méat supérieur.",False,"Le document précise : Sinus antérieurs se drainent au méat moyen.","Medium"
"Les sinus postérieurs se drainent au méat supérieur.",True,"Le document indique : Sinus postérieurs se drainent au méat supérieur.","Medium"
"Le sinus frontal est toujours symétrique.",False,"Le document précise : Le sinus frontal n’est jamais symétrique.","Medium"
"L’obstruction de l’ostium altère le drainage et favorise l’infection.",True,"Le document indique : Obstruction de l’ostium -> altération du drainage (infection).","Easy"
"Le NALT (Nose Associated Lymphoid Tissue) est un mécanisme de défense tissulaire des sinus.",True,"Le document mentionne : NALT : Nose Associated Lymphoïd Tissue, Défense de l’organisme.","Medium"
"La rhinorrhée de la rhinosinusite aiguë est claire et non purulente.",False,"Le document indique : Rhinorrhée purulente (jaunâtre ou verdâtre).","Easy"
"La cacosmie est une perte de l’odorat.",False,"Le document définit : Cacosmie (sensation de mauvaise odeur permanente).","Medium"
"Les dents sinusiennes sont les molaires maxillaires (15-16-17/25-26-27).",True,"Le document précise : Dents sinusiennes : 15 - 16 - 17 / 25 - 26 - 27.","Medium"
"La radiographie des sinus en incidence Blondeau, face haute et profil est demandée pour le diagnostic.",True,"Le document cite : Radiographie des sinus : Blondeau, Face haute, Profil.","Easy"
"Le scanner des sinus est systématique dans toute rhinosinusite aiguë.",False,"Le document indique : Scanner des sinus : Non systématique.","Easy"
"L’ethmoïdite de l’enfant se manifeste par un œdème de l’angle interne de l’œil.",True,"Le document décrit : Ethmoïdite de l’enfant : œdème de l’angle interne de l’œil, Rougeur palpébrale.","Medium"
"La sinusite bloquée est la seule forme qui nécessite une ponction-drainage chirurgicale.",True,"Le document précise : C’est la seule forme clinique qui nécessite une ponction-drainage chirurgicale.","Medium"
"La pansinusite atteint tous les sinus.",True,"Le document indique : Pansinusite : atteinte de tous les sinus.","Easy"
"Les complications de la rhinosinusite aiguë incluent les complications méningo-encéphaliques.",True,"Le document cite : Complications méningo-encéphaliques.","Easy"
"Le bilan biologique NFS et CRP est indispensable pour poser le diagnostic.",False,"Le document indique : Examens biologiques : Non nécessaires pour poser le diagnostic.","Medium"
"La NFS dans la rhinosinusite aiguë montre une hyperleucocytose à prédominance lymphocytaire.",False,"Le document précise : hyperleucocytose à prédominance neutrophile.","Medium"
"La rhinosinusite d’origine dentaire est le tableau clinique dominant (TDD).",True,"Le document indique : TDD : RHINOSINUSITE AIGUË D’ORIGINE DENTAIRE.","Easy"
"Le panoramique dentaire est un examen à ne pas oublier dans le bilan.",True,"Le document précise : Panoramique dentaire (à ne pas oublier).","Medium"
"L’obstruction nasale à bascule est caractéristique des causes positionnelles.",True,"Le document décrit : Obstruction nasale à bascule (rehefa matory mirirana dia tsentsina ny ilany).","Medium"
"Les macrolides sont utilisés en cas d’allergie aux pénicillines.",True,"Le document indique : Les macrolides substituent les péni et ac clavulanique en cas d’allergie.","Medium"
"La tuberculose des sinus est une cause possible de rhinosinusite aiguë.",True,"Le document cite : Tuberculose des sinus dans les diagnostics différentiels.","Medium"
"Le traitement médical est la première intention dans la rhinosinusite aiguë.",True,"Le document conclut : Traitement médical en première intention.","Easy"
"La méatotomie moyenne est indiquée en cas de rhinosinusite aiguë simple.",False,"Le document indique : Méatotomie moyenne : si récidivante ou chronicisation.","Medium"
"Le vasoconstricteur fait partie du traitement médical de la phase aiguë.",True,"Le document cite : Antibiotique, antalgique, vasoconstricteur, anti-inflammatoire.","Medium"
"La ponction drainage maxillaire est indiquée en cas de sinusite bloquée.",True,"Le document précise : Ponction drainage maxillaire ou frontale : si bloquée (douleur++).","Medium"
"Les causes obstructives nasales incluent la déviation septale et l’hypertrophie des cornets.",True,"Le document cite : Causes obstructives : déviation septale, hypertrophie du cornet inférieur, polype nasal.","Medium"
"Le jetage postérieur est une sensation d’écoulement post-nasal.",True,"Le document indique : Sensation d’écoulement postérieur : jetage postérieur.","Medium"
