"term","definition","contextual_explanation"
"hypospadias","Malformation congénitale dérivée du grec hypo (dessous) et spadon (fissure)","Position anormale du méat urétral à la face ventrale de la verge, scrotum ou périnée, associée à d'autres anomalies de la verge."
"ectopie du méat","Position anormale de l'orifice urétral","Le méat n'est pas au sommet du gland dans la fossette naviculaire mais sur la face ventrale, le scrotum ou le périnée."
"micropénis","Pénis de taille anormalement petite","Dans l'hypospadias, il est dû à une hypoplasie du corps caverneux."
"courbure de la verge","Déviation anormale du pénis","Une des anomalies associées à l'hypospadias, gênant la miction et la copulation."
"torsion de la verge","Rotation anormale du pénis","Dans l'hypospadias, elle se fait dans le sens anti-horaire, rarement au-delà de 45°, avec déviation du raphé médian."
"enlisement de la verge","Enfouissement du pénis dans le scrotum","Présence de peau scrotale remontant sur la verge (palmure). Si total, seule la face dorsale est visible."
"sténose du méat","Rétrécissement de l'orifice urétral","Anomalie associée à l'hypospadias."
"bourrelet génital","Structure embryonnaire indifférenciée","Avant la 3ème semaine, les deux genres possèdent le bourrelet génital qui se différencie à partir de la 11ème semaine."
"tubercule génital","Structure embryonnaire à l'origine des organes génitaux","Jusqu'à 9 SA, présent chez les deux sexes. À partir de 11 SA, sous androgènes, s'allonge pour former le pénis."
"plis urétraux","Replis embryonnaires entourant la gouttière urétrale","Ils fusionnent à la fin du 3e mois pour former l'urètre pénien."
"gouttière urétrale","Sillon sur la face inférieure du pénis embryonnaire","Se forme à partir des plis urétraux. Sa fermeture d'arrière en avant est nécessaire à la formation de l'urètre."
"plaque urétrale","Structure embryonnaire à l'origine de l'urètre","L'arrêt de sa fermeture est une cause d'hypospadias."
"prépuce incomplet","Prépuce ne recouvrant pas complètement le gland","Second mécanisme de l'hypospadias : défaut de fermeture des replis cutanés dorsaux."
"facteur génétique","Hérédité","Un apparenté au premier degré (frère ou père) est affecté 25 à 40 fois plus souvent que dans la population générale."
"traitement progestatif","Administration de progestatifs pendant la grossesse","Rôle nocif possible dans la survenue d'hypospadias au cours des premiers mois de grossesse."
"testostérone","Hormone androgène","Des défauts de sa synthèse ou de sa transformation en dihydrotestostérone sont impliqués."
"dihydrotestostérone (DHT)","Métabolite actif de la testostérone","Sa transformation est nécessaire à la virilisation externe ; son défaut peut causer un hypospadias."
"récepteurs tissulaires périphériques aux androgènes","Récepteurs hormonaux","Leur altération peut être en cause dans l'hypospadias."
"raphé médian","Ligne médiane sur la face ventrale du pénis","Sa déviation témoigne d'une torsion de la verge."
"palmure","Bridage cutané en forme de palme","Réalisé par la peau scrotale remontant sur la verge."
"hypoplasie du corps caverneux","Développement insuffisant des corps caverneux","Responsable du micropénis."
"hypospadias antérieur","Forme où le méat est situé sur la partie antérieure du pénis","Regroupe les formes balanique, balanopréputiale et pénienne antérieure."
"hypospadias balanique","Méat à la face inférieure du gland","Forme antérieure d'hypospadias."
"hypospadias balanopréputial","Méat dans le sillon balanopréputial","Forme antérieure."
"hypospadias pénien antérieur","Méat sur la partie antérieure de la verge","Forme antérieure."
"hypospadias pénien moyen","Méat au milieu de la verge","Classification intermédiaire."
"hypospadias postérieur","Forme où le méat est situé en arrière","Regroupe pénien postérieur, pénoscrotal, scrotal et périnéal."
"hypospadias pénoscrotal","Méat à la jonction pénis-scrotum","Forme postérieure."
"hypospadias scrotal","Méat sur le scrotum","Forme postérieure."
"hypospadias périnéal","Méat au niveau du périnée","Forme postérieure la plus sévère."
"uretroplastie","Reconstruction chirurgicale de l'urètre","Traitement chirurgical de l'hypospadias. Tubulisation de la plaque urétrale, apport de tissus si nécessaire (muqueuse buccale ou vésicale)."
"spongioplastie","Recouvrement du néo-urètre par le corps spongieux","Deuxième plan de recouvrement lors de l'urétroplastie."
"lame porte-vaisseaux préputiale","Lambeau vascularisé préputial","Utilisé pour recouvrir le néo-urètre."
"sonde tutrice","Sonde laissée en place pour maintenir la lumière urétrale","Durée : 7 à 10 jours après urétroplastie."
"pansement compressif","Pansement exerçant une compression","Utilisé pour éviter l'hématome et limiter l'inflammation post-opératoire."
"fistule","Communication anormale post-chirurgicale","Risque important pour les formes postérieures et les coudures importantes. Parents à informer."
"rétraction (sténose)","Rétrécissement cicatriciel","Possibilité après greffe de muqueuse."
