"term","definition","contextual_explanation"
"appendicite aiguë","Inflammation aiguë de l’appendice iléo‑caecal.","Fréquente chez l’adulte jeune et l’adolescent, polymorphisme clinique, risque mortel imprévisible."
"appendice","Petit diverticule du caecum, riche en tissu lymphoïde.","Son inflammation est l’appendicite."
"appendice catarrhal","Appendice rouge et hyperhémié.","Forme morphologique bénigne."
"appendice purulent","Appendice turgescent, tendu, recouvert de fausses membranes, infiltré de PNN, nécroses, pus dans la lumière (empyème).","Peut se fistuliser en abcès appendiculaire."
"empyème appendiculaire","Pus contenu dans la lumière de l’appendice.","Distinction avec abcès appendiculaire (pus en dehors de l’appendice)."
"appendice gangréneux","Appendice noirâtre avec destruction pariétale, germes anaérobies.","Risque élevé de perforation et péritonite."
"péritonite localisée puis généralisée","Inflammation du péritoine d’abord circonscrite puis étendue.","Complication de la perforation appendiculaire."
"caecum sous‑hépatique","Anomalie de rotation : caecum situé sous le foie.","Donne un appendice sous‑hépatique (diagnostic différentiel avec cholécystite)."
"caecum pelvien","Caecum descendu dans le pelvis.","Appendice pelvien, peut donner des signes urinaires ou ténesme."
"situs inversus","Inversion totale des viscères.","Le caecum peut être à gauche (FIG)."
"appendice rétro‑caecal","Appendice situé derrière le caecum.","Fréquent, difficile à enlever."
"appendice mésocoeliaque","Appendice se dirigeant vers l’ombilic.","Au toucher rectal : douleur pré‑rectale."
"plastron appendiculaire","Agglutination des viscères autour de l’appendice inflammé.","Limite la diffusion ; seule appendicite non opérée d’emblée."
"abcès appendiculaire","Collection de pus circonscrite par les anses grêles, en dehors de l’appendice.","Complication du plastron ou de l’évolution naturelle."
"péritonite appendiculaire","Inflammation aiguë du péritoine étendue à toute la cavité.","Complication redoutable."
"crise appendiculaire aiguë","Accès douloureux fébrile de l’appendicite.","Peut évoluer vers péritonite d’emblée, en 2 temps (accalmie puis perforation), ou en 3 temps (plastron → abcès → péritonite)."
"occlusion appendiculaire","Tableau d’occlusion fébrile.","Complication rare."
"langue saburrale","Langue blanchâtre, chargée.","Signe général de l’appendicite."
"point de Mac Burney","Point situé à l’union du 1/3 externe et des 2/3 internes de la ligne épine iliaque antéro‑supérieure – ombilic.","Zone douloureuse de l’appendicite typique."
"signe de Rowding","Douleur provoquée par la décompression brutale de la fosse iliaque droite.","Signe d’irritation péritonéale."
"signe de Blumberg","Douleur ressentie à la compression de la fosse iliaque gauche (mobilisation vers la droite).","Signe d’appendicite."
"toucher pelvien","Examen digital du vagin ou du rectum.","Recherche une douleur en haut et à droite (appendice pelvien), vérifie les annexes."
"hyperleucocytose","Augmentation du nombre de globules blancs.",">10 000 GB, avec polynucléose neutrophile, valeur diagnostique."
"polynucléose neutrophile","Augmentation des polynucléaires neutrophiles.","Confirme l’origine infectieuse."
"coprolithes","Calcifications de matières fécales dans l’appendice.","Visible sur l’ASP."
"laparoscopie","Cœlioscopie.","Geste diagnostique et thérapeutique d’emblée, utile chez l’obèse ou en cas de doute."
"péritonite purulente généralisée d’emblée","Péritonite d’emblée par perforation initiale.","Forme grave avec contracture généralisée."
"péritonite en 2 temps","Perforation secondaire après une accalmie.","Survient après une crise qui a régressé."
"péritonite en 3 temps","Évolution : appendicite → plastron → abcès → rupture → péritonite généralisée.","Complication tardive."
"péritonite plastique localisée","Forme subaiguë avec blindage.","Favorisée par antibiothérapie intempestive."
"blindage","Sensation de résistance doublant la paroi, donnant une tuméfaction mal limitée.","Caractérise le plastron."
"appendicite de l’enfant","Souvent masquée par une rhino‑pharyngite.","Attitude en psoïtis (demi‑flexion de la cuisse)."
"psoïtis","Contracture du psoas avec flexion de la hanche.","Signe d’irritation du psoas par l’appendice inflammé."
"appendicite toxique de Dieulafoy","Forme suraiguë avec prostration, faciès altéré, pouls accéléré, syndrome hémorragique.","Rare et grave."
"appendicite du nourrisson","Exceptionnelle avant 6 mois.","Mortalité 50% par retard diagnostique."
"appendicite de la femme enceinte","La grossesse modifie les signes.","Diagnostic différentiel : pyélonéphrite aiguë."
"appendicite du vieillard","Signes trompeurs : endolorissement, anorexie, constipation, peu de fièvre, globules blancs normaux, occlusion fébrile, tumeur inflammatoire du caecum.","Diagnostic difficile, gravité élevée."
"hernie de Littré","Hernie contenant un diverticule de Meckel.","Forme rare associée à l’appendicite."
"hernie d’Amyand","Hernie inguinale contenant l’appendice inflammé.","Rare."
"agénésie de l’appendice","Absence congénitale de l’appendice.","Exceptionnelle."
"appendicite sous‑hépatique","Appendice sous le foie.","Tableau simulant une cholécystite aiguë."
"appendicite pelvienne","Appendice dans le pelvis.","Signes urinaires (dysurie) ou ténesme."
"mucocèle appendiculaire","Distension kystique de l’appendice par mucus.","Diagnostic différentiel per‑opératoire."
"flirt appendiculo‑ovarien","Inflammation de voisinage entre l’appendice et l’ovaire.","L’atteinte de l’ovaire peut secondairement atteindre l’appendice."
"carcinoïde appendiculaire","Tumeur neuroendocrine de l’appendice.","Découverte sur la pièce d’appendicectomie."
"adénocarcinome appendiculaire","Cancer de l’appendice.","Rare, diagnostic histologique."
"syndrome du 5ème jour","Complication post‑opératoire précoce (abcès ou péritonite) survenant vers le 5ème jour.","Complication classique."
"éventration","Fermeture abdominale secondaire après cicatrice.","Complication tardive."
"appendicectomie","Ablation chirurgicale de l’appendice.","Traitement de référence en urgence (sauf plastron)."
"voie de Mac Burney","Incision oblique dans la fosse iliaque droite.","Voie d’abord standard pour appendicectomie."
"toilette péritonéale","Lavage de la cavité péritonéale.","Indiquée dans les péritonites généralisées."
"drainage","Mise en place de drains.","Large drainage de la FID et du Douglas pour péritonite."
