"term","definition","contextual_explanation"
"corps étranger de l’œsophage (CE)","Tout corps solide alimentaire ou non, dégluti, qui s’arrête dans l’œsophage","Objet du document, plus fréquent que les CE des voies aériennes."
"rétrécissements œsophagiens","Zones de l’œsophage de plus petit calibre favorisant l’arrêt des CE","Distances : 15, 18, 24, 32, 40 cm (bouche oeso et autres)."
"bouche oeso","Premier rétrécissement de l’œsophage à 15 cm des arcades dentaires","Point de blocage fréquent des corps étrangers."
"tailleurs, tapissiers, menuisiers","Métiers exposés aux corps étrangers accidentels","En raison d’habitude de tenir des objets (épingles, clous) dans la bouche."
"aliénés","Personnes souffrant de troubles psychiatriques","Cause volontaire de déglutition de corps étranger."
"tentative d’autolyse","Tentative de suicide par ingestion d’un corps étranger","Cause volontaire."
"sténoses locales","Rétrécissement de l’œsophage dû à une tumeur ou une autre cause","Facteur favorisant ; se méfier des CE à répétition chez le sujet âgé alcoolo-tabagique."
"affections neurologiques centrales","Maladies du cerveau ou de la moelle épinière touchant la déglutition","AVC cité comme exemple (trouble du réflexe de déglutition)."
"CE vulnérant","Corps étranger pouvant léser la paroi œsophagienne (pointu ou tranchant)","Classification clinique importante car à risque de perforation."
"CE organiques","Corps étranger d’origine biologique","Exemples : arête de poisson, os de lapin, pièce cartilagineuse."
"CE non organiques","Corps étranger d’origine artificielle","Exemples : clous, aiguilles, épingles à nourrice, jouets plastique, lames à raser, dentiers."
"piles « bouton »","Petites piles rondes","Risque spécifique de perforation de l’œsophage."
"body bagger syndrome","Ingestion volontaire de sachets de cocaïne pour le transport","Risque toxique général (overdose) en cas de rupture du sachet."
"CE non vulnérant","Corps étranger lisse, régulier, non acéré, peu dangereux","Exemples : pièce de monnaie, boutons, cailloux."
"syndrome de pénétration","Ensemble des symptômes immédiats après déglutition du CE","Douleur rétro-sternale irradiant vers le dos, dysphagie, hypersalivation."
"douleur rétro-sternale","Douleur située derrière le sternum","Signe du syndrome de pénétration."
"dysphagie","Difficulté à avaler","Maître symptôme du CE œsophagien."
"odynophagie","Déglutition douloureuse","Le document définit : « Dysphagie douloureuse : odynophagie »."
"hypersialorrhée","Production excessive de salive","Synonyme d’hypersalivation."
"hypersialorrhée sanglante","Salivation excessive mêlée de sang","Signe de gravité, doit faire craindre une perforation."
"hypersialorrhée fétide","Salivation excessive avec mauvaise odeur","Signe d’œsophagite (CE ancien avec infection)."
"signes généraux","Manifestations systémiques d’une complication","Fièvre (œsophagite, perforation), état de choc (perforation)."
"état de choc","Insuffisance circulatoire aiguë","Pouls petit et filant, chute de la tension artérielle."
"AEG","Altération de l’état général","Retentissement de la dysphagie chronique (amaigrissement, dénutrition, déshydratation)."
"dénutrition","État de malnutrition protéino-énergétique","Conséquence d’une dysphagie prolongée."
"déshydratation","Perte d’eau corporelle excessive","Conséquence d’une dysphagie prolongée."
"vomissements","Rejet actif du contenu gastrique par la bouche","Signe fonctionnel possible."
"régurgitation alimentaire","Remontée passive d’aliments non digérés dans la bouche","Signe fonctionnel possible."
"hoquet","Contraction involontaire du diaphragme","Signe possible en cas de CE volumineux."
"loge tonsillaire","Cavité contenant l’amygdale palatine","Zone à inspecter lors de l’examen de la cavité orale."
"sillon amygdalo-glosse","Sillon entre l’amygdale et la langue","Lieu de blocage fréquent d’arête de poisson."
"laryngoscopie indirecte","Examen du larynx au miroir","Permet d’éliminer une laryngite ou un CE des voies aériennes."
"nasofibrolaryngoscopie (NFL)","Endoscopie nasale du larynx et de l’hypopharynx","Permet de visualiser une stase salivaire dans le récessus piriforme."
"récessus piriforme","Dépression latérale de l’hypopharynx","La stase salivaire signe l’obstacle œsophagien (hypersialorrhée)."
"emphysème sous-cutané","Présence d’air dans les tissus sous-cutanés","Signe de perforation œsophagienne. Palpation : crépitations neigeuses."
"empâtement douloureux","Augmentation de consistance et de volume d’une région, douloureuse à la palpation","Signe cervical de complication."
"crépitations neigeuses","Sensation de bulles d’air sous les doigts lors de la palpation","Signe d’emphysème sous-cutané."
"RX des parties molles du cou","Radiographie standard des tissus mous cervicaux","Incidence face et profil pour rechercher un CE radio-opaque."
"halo clair","Liseré aérique autour d’un CE non radio-opaque","Signe indirect radiologique."
"épaississement des tissus prévertébraux cervicaux","Augmentation de l’épaisseur des parties molles devant le rachis cervical","Signe indirect de CE non radio-opaque ou d’œsophagite."
"signe de Minigérode","Signe radiologique de perforation œsophagienne","Profil : élargissement de l’espace rétro-œsophagien et rectitude de la colonne cervicale."
"espace rétro-œsophagien","Espace situé entre l’œsophage et le rachis cervical","Son élargissement signe une perforation."
"rectitude de la colonne cervicale","Disparition de la lordose cervicale normale sur le cliché de profil","Signe de perforation (contracture antalgique)."
"pneumo-médiastin","Présence d’air dans le médiastin","Complication radiologique de la perforation."
"pneumothorax","Présence d’air dans la cavité pleurale","Complication radiologique de la perforation."
"hydropneumothorax","Présence associée d’air et de liquide dans la cavité pleurale","Complication radiologique de la perforation."
"NFS (Numération Formule Sanguine)","Bilan sanguin des cellules","Recherche d’un syndrome infectieux (hyperleucocytose)."
"CRP (Protéine C réactive)","Marqueur biologique de l’inflammation","Élévation en cas d’œsophagite ou de perforation."
"protidémie","Taux de protéines totales dans le sang","Évalue l’état nutritionnel."
"ionogramme sanguin","Dosage des électrolytes (Na, K, Cl)","Évalue l’état d’hydratation."
"fibroscopie digestive haute","Endoscopie œso-gastro-duodénale","Réalisée en cas de doute diagnostique (arête de poisson, CE ancien)."
"œsophagite","Inflammation de la paroi œsophagienne","Complication d’un CE ancien non migré."
"perforation œsophagienne","Brèche de la paroi œsophagienne","Complication grave d’un CE vulnérant (pointu ou tranchant)."
"triade de Hautan","Association de trois signes","Dysphagie + fièvre + emphysème sous-cutané = perforation œsophagienne."
"cellulite cervico-médiastinale","Infection diffuse des tissus mous du cou et du médiastin","Complication mortelle de la perforation œsophagienne."
"œsophagoscopie au tube rigide","Examen endoscopique de l’œsophage avec un tube métallique rigide","Traitement de référence sous anesthésie générale."
"œsophagotomie par voie externe","Incision chirurgicale de l’œsophage par abord cervical","Réalisée en cas d’échec de l’œsophagoscopie."
