"question","answer","explanation","difficulty"
"Donnez la définition de l’hypotrophie néonatale (RCIU) selon le document.","Poids de naissance < 10ème percentile sur les courbes de référence pour l’âge gestationnel (en France : courbes de Leroy et Lefort).","Introduction.","Easy"
"Quelle est la différence entre RCIU harmonieux et disharmonieux ?","Harmonieux : atteinte simultanée du poids, taille et PC (20%, symétrique). Disharmonieux : respect du PC et de la taille (épargne céphalique), poids faible (80%, asymétrique).","Introduction.","Easy"
"Citez trois signes cliniques du RCIU disharmonieux.","Poids faible, taille et PC normaux, membres longs et grêles, tronc étroit, tête paraît grosse, visage triangulaire, peau plissée, tonus en quadri flexion.","Diagnostic positif – RCIU disharmonieux.","Easy"
"Citez trois signes cliniques du RCIU harmonieux.","Maigreur impressionnante, aspect fripé des téguments, vigilance parfaite, tonus exagéré.","Diagnostic positif – RCIU harmonieux.","Easy"
"Quels sont les cinq éléments du diagnostic de gravité ?","Caractère symétrique/asymétrique, terme de survenue, biométrie <3ème percentile, vitalité fœtale, malformations associées, anomalies doppler, RCF, score de Manning.","Diagnostic de gravité.","Medium"
"Donnez trois causes maternelles d’hypotrophie.","Syndrome vasculo-rénal, tabagisme, alcoolisme, toxicomanie, primiparité, malformation utérine, petite taille, âge <20 ou >40 ans, maladie cardiovasculaire, thrombophilie.","Étiologies – CAUSES MATERNELLES.","Medium"
"Citez trois causes fœtales infectieuses d’hypotrophie.","Rubéole, toxoplasmose, syphilis, parvovirus, entérovirus, herpès, varicelle, EBV, CMV.","Étiologies – CAUSES FOETALES.","Medium"
"Quelles sont les trois grandes catégories de complications de l’hypotrophie ?","Métaboliques (hypothermie, hypoglycémie, hypocalcémie, hypoprotidémie), infectieuses (septicémie), digestives (entérocolite ulcéro-nécrosante), hépatiques (ictères), hématologiques (polyglobulie, neutropénie, thrombopénie), troubles de l’hémostase, cholestase.","Complications.","Medium"
"Quels sont les éléments de la prise en charge immédiate de l’hypotrophie ?","Lutte contre l’hypothermie (incubateur), alimentation précoce (sauf asphyxie), surveillance dextro régulière, supplémentation vitaminique et martiale, dépistage des complications, hygiène et asepsie.","Prise en charge.","Medium"
"Quel est le gain pondéral attendu chez un nouveau-né hypotrophe au premier mois de vie ?","20 g/kg/j (contre 10 pour eutrophe à terme, 15 pour prématuré).","Évolution.","Medium"
"À 12 mois, quelle est l’évolution pondérale typique d’un hypotrophe ?","Le poids atteint 100% du poids d’un nouveau-né à terme eutrophe.","Évolution – Somatique.","Medium"
"Quel est le pronostic à long terme du PC chez l’hypotrophie ?","Rattrapage de 50% sur plusieurs années.","Évolution.","Medium"
"Pourquoi le risque de décès est-il plus élevé en cas d’association prématurité et hypotrophie ?","Risque multiplié par 3, car les deux conditions aggravent la fragilité néonatale.","Pronostic.","Medium"
"Quels sont les deux principaux éléments du pronostic défavorable cités ?","HTA, diabète, pathologie vasculaire maternelle, et la survenue de complications ou la prématurité.","Pronostic.","Difficult"
"Quelle est la particularité de l’alimentation précoce chez l’hypotrophie ?","Elle doit être débutée précocement sauf en cas d’asphyxie périnatale, pour éviter l’entérocolite ulcéro-nécrosante (ECUN).","Prise en charge.","Difficult"
"Expliquez la différence de pronostic entre RCIU harmonieux et disharmonieux.","Harmonieux a un pronostic plus mauvais car il atteint tous les paramètres (poids, taille, PC) et survient plus précocement.","Diagnostic de gravité.","Difficult"
"Quelles sont les trois complications hématologiques de l’hypotrophie ?","Polyglobulie, neutropénie, thrombopénie.","Complications – Hématologiques.","Medium"
"Quel est le pourcentage de rattrapage de la taille chez l’hypotrophie ?","75% sur plusieurs années.","Évolution.","Medium"
"Quelle est la définition d’un RCIU sévère chez le prématuré ?","PN < 3ème percentile (< -2DS courbes de Usher).","Introduction.","Medium"
"Pourquoi la surveillance neurologique est-elle recommandée chez l’hypotrophie ?","En raison du risque de séquelles neurologiques +++ (conclusion).","Pronostic – Surveillance neurologique.","Difficult"
"Quels sont les trois types d’anomalies doppler cités dans le diagnostic de gravité ?","Doppler utérin, artère ombilicale, cérébral.","Diagnostic de gravité.","Medium"
"Quelle est la première cause de mortalité néonatale selon le document ?","L’hypotrophie.","Conclusion.","Easy"
"Quels sont les éléments de l’interrogatoire dans le diagnostic étiologique ?","Âge mère, conditions socio-économiques, parité, toxicomanie, antécédents familiaux (HTA, diabète, stature), antécédents médicaux vasculaires maternels, antécédents gynéco-obstétricaux, déroulement grossesse.","Diagnostic étiologique – Interrogatoire.","Difficult"
