question,option1,option2,option3,option4,answer,explanation,difficulty
"À quel âge le corps genouillé latéral devient-il mature ?","3 mois","6 mois après la naissance","1 an","4 ans","2","Le document indique : 6 mois après la naissance : corps genouillé latéral devient mature.","Easy"
"À quel âge la rétine, les photorécepteurs et les cellules ganglionnaires deviennent-ils matures ?","6 mois","1 an","2 ans","4 ans","4","Le document précise : 4 ans : rétine, photorécepteurs, cellules ganglionnaires.","Easy"
"Jusqu’à quel âge la plasticité cérébrale persiste-t-elle avec un risque d’amblyopie ?","6 ans","8 ans","11 ans","15 ans","3","Le document indique : La période sensible de la plasticité cérébrale dure jusqu’à 11 ans, avec un risque d’amblyopie.","Easy"
"À la naissance, le nouveau-né a :","Une fixation et poursuite à la lumière vive","Une acuité visuelle de 2/10","Une réaction à une lumière vive et un RPM présent","Une vision stéréoscopique","3","Le document précise : Naissance : Réaction à une lumière vive, RPM présent.","Medium"
"À 1 mois, le bébé commence à :","Attraper les objets","Fixer un visage à 20-50 cm et suivre du regard","Voir les couleurs","Avoir une vision stéréoscopique","2","Le document indique : 1 mois : Fixation d’un visage à une faible distance de 20 à 50 cm et le bébé commence à suivre du regard.","Medium"
"À 3-4 mois, le bébé commence à :","Attraper les objets","Avoir le réflexe de fusion et la coordination binoculaire","Avoir une acuité de 4/10","Avoir une vision stéréoscopique","2","Le document précise : 3-4 mois : Réflexe de fusion et coordination binoculaire.","Medium"
"À 3-4 mois, quelle couleur est la mieux visualisée par le bébé ?","Le bleu","Le vert","Le rouge","Le jaune","3","Le document indique : Il commence à visualiser les couleurs : Le rouge +++","Easy"
"À 5 mois, l’enfant développe :","La vision stéréoscopique","La coordination du réflexe œil-tête-main (il attrape les objets)","L’acuité visuelle à 10/10","La poursuite oculaire","2","Le document précise : 5 mois : coordination du réflexe œil -tête-main : il attrape les objets.","Medium"
"À quel âge la vision stéréoscopique apparaît-elle ?","5 mois","6 mois","1 an","3 ans","2","Le document indique : 6 mois : Vision stéréoscopique (vision tridimensionnelle, vision en relief).","Medium"
"À 6 mois, l’acuité visuelle est de :","1/10ème","2/10ème","4/10ème","7/10ème","2","Le document précise : 6 mois : Acuité visuelle = 2/10ème.","Easy"
"À 1 an, l’acuité visuelle atteint :","2/10ème","4/10ème","7/10ème","10/10ème","2","Le document indique : 1 an : acuité visuelle atteint 4/10.","Easy"
"À 3 ans, l’acuité visuelle est de :","4/10ème","7/10ème","8/10ème","10/10ème","2","Le document précise : 3 ans : 7/10ème.","Easy"
"À quel âge l’acuité visuelle atteint 10/10ème ?","3 ans","4 ans","5-6 ans","7 ans","3","Le document indique : 5ans - 6 ans : acuité visuelle de 10/10ème.","Easy"
"Quel facteur de risque prénatal est cité pour un développement visuel anormal ?","Craniosténoses","Exposition in utero à la cocaïne et l’alcool","Prématurité","Trisomie 21","2","Le document cite : Exposition in utero à la cocaïne et l’alcool.","Medium"
"Un poids de naissance inférieur à combien de grammes est un facteur de risque ?","2500 g","2000 g","1500 g","1000 g","3","Le document précise : Poids de naissance < 1500 g.","Easy"
"Qu’est-ce que le signe de Franceschetti ?","Une errance du regard","Un réflexe digito-oculaire","Un nystagmus bilatéral","Un strabisme divergent","2","Le document indique : Signe de Franceschetti : réflexe digito-oculaire.","Medium"
"Que recherche-t-on avec la méthode du regard préférentiel (bébé vision) ?","Mesurer l’acuité visuelle absolue","Comparer les résultats des deux yeux pour dépister une amblyopie","Détecter un nystagmus","Évaluer la vision des couleurs","2","Le document précise : Intérêt : comparer les résultats des deux yeux afin de dépister une amblyopie.","Medium"
"À partir de quel âge utilise-t-on des images familières (tests de Rossano, Pigassou) ?","6-12 mois","12-18 mois","À partir de 18 mois","À partir de 5 ans","3","Le document indique : Tests d’acuité pour l’enfant en âge verbal (à partir de 18 mois) : Utilisation des images familières.","Medium"
"À partir de quel âge utilise-t-on des tests d’acuité identiques aux adultes (échelle de Monoyer) ?","3 ans","4 ans","5 ans","6 ans","3","Le document précise : Puis tests d’acuité identiques aux adultes (à partir de 5 ans).","Easy"
"La leucocorie ou pupille blanche peut être due à :","Un strabisme","Une cataracte congénitale ou un rétinoblastome","Une amblyopie","Une prématurité","2","Le document indique : Leucocorie ou pupille blanche : cataracte congénitale, rétinoblastome.","Easy"
"Quel examen ophtalmologique permet de dépister les troubles visuels entre 9 et 12 mois ?","La mesure de l’acuité visuelle sans cycloplégie","L’examen de la réfraction sous cycloplégique et examen du fond d’œil","Le test de Rossano","La grille d’Amsler","2","Le document précise : Entre 9-12 mois : troubles visuels par un examen de la réfraction sous cycloplégique et examen du fond d’œil.","Medium"
"À quel âge le traitement d’une cataracte congénitale est-il optimal ?","Avant 1 mois","Avant 2 mois","Avant 3 mois","Avant 6 mois","2","Le document indique : Avant l’âge de 2 mois : traitement optimal d’une cataracte congénitale.","Medium"
"Quel pourcentage d’enfants de moins de 6 ans présente une anomalie visuelle ?","5-10%","10-15%","15-20%","20-25%","3","Le document précise : 15 - 20% des enfants < 6ans présentent une anomalie visuelle.","Easy"
"Un strabisme divergent chez le petit enfant nécessite :","Une simple surveillance","Un traitement orthoptique","Une référer en urgence en service spécialisé","Le port de lunettes","3","Le document indique : Si divergent : référer en urgence en service spécialisée ++","Medium"
"Le signe de l’éventail correspond à :","Un nystagmus","Une errance du regard","L’enfant qui se passe les mains devant les yeux pour se faire alterner jour-nuit","Un réflexe digito-oculaire","3","Le document précise : Signe de l’éventail : le petit enfant se passe les mains devant les yeux pour se faire alterner jour-nuit.","Medium"
"La rétinopathie des prématurés est :","Une pathologie inflammatoire","Une pathologie de l’enfant secoué","Une pathologie liée à la prématurité","Une infection congénitale","3","Le document cite : Rétinopathie des prématurés.","Easy"
"Les hémorragies rétiniennes chez l’enfant évoquent :","Une rétinopathie des prématurés","Une toxoplasmose congénitale","Une maladie des enfants secoués ou battus","Un rétinoblastome","3","Le document indique : Maladie des enfants secoués ou battus (présence d’hémorragies rétiniennes).","Medium"
"À 6 mois, la convergence et la poursuite oculaires sont :","Absentes","Anormales","Normales","Difficiles à évaluer","3","Le document précise : 6 mois : La convergence et la poursuite oculaires sont normales.","Easy"
"L’amblyopie d’origine corticale est due à :","Une anomalie génétique","Une malformation oculaire","Une absence de stimulus visuel entraînant des modifications corticales","Une infection congénitale","3","Le document indique : Mécanisme de l’amblyopie d’origine corticale : absence de stimulus visuel entraîne des modifications corticales anatomiques.","Medium"
"Le strabisme est défini comme :","Une perte de parallélisme de l’axe visuel","Une baisse de l’acuité visuelle","Une opacité du cristallin","Une anomalie de la cornée","1","Le document précise : Strabisme : perte de parallélisme de l’axe visuel.","Easy"
