"question","answer","explanation","difficulty"
"Quels sont les quatre rétrécissements physiologiques de l''œsophage favorisant l''arrêt des corps étrangers ?","Bouche œsophagienne (15 cm), croisement aortique (24 cm), bronche souche gauche (32 cm), hiatus œsophagien (40 cm).","Le document liste ces quatre niveaux avec leurs distances.","Easy"
"Définissez l''odynophagie et précisez dans quel contexte elle apparaît.","L''odynophagie est une dysphagie douloureuse qui s''accentue lors de la déglutition. Elle est le maître symptôme des corps étrangers œsophagiens.","Le document définit l''odynophagie comme ''Dysphagie douloureuse'' et indique qu''elle s''accentue lors de la déglutition.","Easy"
"Quels sont les trois types de circonstances de survenue des corps étrangers œsophagiens ?","Accidentelle (repas, jeu, sommeil, certains métiers), volontaire (aliénés, tentative d''autolyse), et sur facteurs favorisants (tachycardie, émotion, sténoses, ivresse, AVC).","Le document détaille les trois catégories.","Easy"
"Citez trois exemples de corps étrangers vulnérants et trois de corps étrangers non vulnérants.","Vulnérants : arête de poisson, os de lapin, aiguille, lame à raser. Non vulnérants : pièce de monnaie, bouton, caillou.","Le document donne des exemples pour chaque catégorie.","Easy"
"Quels sont les objectifs du traitement médical des corps étrangers œsophagiens ?","Mise au repos de l''œsophage, lutte contre l''infection, prophylaxie antiémétique, lutte contre l''œdème/l''hypersécrétion/le spasme, et gestes de réanimation en cas d''altération de l''état général.","Le document liste ces 5 objectifs.","Easy"
"Expliquez le mécanisme par lequel la tachycardie favorise l''ingestion d''un corps étranger.","La tachycardie s''accompagne souvent d''une polypnée (respiration rapide) qui perturbe la coordination entre la déglutition et la respiration, augmentant le risque de passage d''un objet dans l''œsophage de manière incohérente.","Le document liste la tachycardie comme facteur favorisant – implication de la coordination déglutition-respiration.","Medium"
"Pourquoi les affections neurologiques centrales comme l''AVC augmentent-elles le risque de corps étranger œsophagien ?","Un AVC peut altérer le réflexe de déglutition, provoquant une incoordination pharyngo-œsophagienne, des fausses routes et une incapacité à sentir ou à évacuer un corps étranger.","Le document mentionne spécifiquement ''problème de réflexe de déglutition : AVC''.","Medium"
"Quelle est la différence clinique entre l''hypersialorrhée sanglante et l''hypersialorrhée fétide ?","L''hypersialorrhée sanglante fait craindre une perforation (lésion vasculaire). L''hypersialorrhée fétide oriente vers une œsophagite sur corps étranger ancien (infection et stagnation).","Le document donne ces deux orientations diagnostiques distinctes.","Medium"
"Décrivez le signe de Minigérode et sa valeur diagnostique.","Le signe de Minigérode est visible sur le cliché de profil du cou : élargissement de l''espace rétro-œsophagien (signant une collection gazeuse ou liquidienne) associé à une rectitude de la colonne cervicale (contracture antalgique). Il est pathognomonique de perforation œsophagienne.","Le document décrit le signe et le classe comme signe de perforation.","Medium"
"Quels sont les trois éléments de la triade de Hautan et quelle complication signe-t-elle ?","La triade associe dysphagie, fièvre et emphysème sous-cutané. Elle signe une perforation œsophagienne compliquée, avec passage d''air et d''agents infectieux dans les tissus cervicaux.","Le document définit cette triade comme un signe de perforation.","Medium"
"Comparez l''œsophagite et la perforation œsophagienne sur le plan clinique et radiologique.","Œsophagite : AEG, odynophagie, sialorrhée fétide, pas d''emphysème, radiologie sans signe de Minigérode. Perforation : choc, fièvre élevée, douleur irradiée, dysphagie totale, hypersialorrhée sanglante, emphysème sous-cutané, signe de Minigérode.","Le document présente un tableau comparatif des deux complications.","Medium"
"Pourquoi l''œsophagoscopie au tube rigide est-elle le traitement de référence sous anesthésie générale ?","Le tube rigide permet de protéger les voies aériennes, de dilater l''œsophage pour l''extraction, d''avoir une bonne vision et de contrôler les réflexes de vomissements et de toux, qui seraient dangereux sous sédation simple.","Le document précise : ''vu les réflexes de vomissements, de toux''.","Medium"
"Quel est le risque spécifique des piles ''bouton'' et pourquoi est-il si grave ?","Les piles ''bouton'' libèrent par électrolyse des substances caustiques (hydroxyde de sodium) qui brûlent la muqueuse œsophagienne, entraînant une nécrose et une perforation parfois en moins de 2 heures.","Le document mentionne le risque de perforation ; le mécanisme est à inférer.","Medium"
"Comment le diagnostic de pseudo-corps étranger est-il évoqué et confirmé ?","Le pseudo-CE est évoqué quand les symptômes persistent mais qu''aucun corps étranger n''est trouvé à l''endoscopie. La confirmation se fait par la constatation que le CE a déjà migré spontanément dans l''estomac ou par une radiographie abdominale.","Le document définit le pseudo-CE comme un CE ayant déjà migré.","Medium"
"Pourquoi la radiographie peut-elle montrer un halo clair cernant un corps étranger non radio-opaque ?","Le halo clair correspond à un liseré d''air entre le corps étranger (de densité voisine des tissus mous) et la paroi œsophagienne, signant indirectement la présence du CE.","Le document mentionne ce signe indirect pour les CE non radio-opaques.","Medium"
"Expliquez pourquoi un corps étranger volumineux peut donner une dyspnée.","Un CE volumineux dans l''œsophage cervical peut refouler la trachée en avant, comprimant les voies aériennes. Ce phénomène s''accentue en position déclive et peut entraîner une détresse respiratoire.","Le document mentionne toux et dyspnée pour les CE volumineux – mécanisme compressif.","Medium"
"Quelle est la conduite à tenir devant une récidive de corps étranger chez un sujet âgé alcoolo-tabagique ?","La récidive impose la recherche d''une sténose tumorale sous-jacente par endoscopie et imagerie. Un carcinome épidermoïde de l''œsophage doit être suspecté et traité comme une urgence diagnostique.","Le document prévient : ''se méfier des CE à répétitions chez le sujet âgé alcoolo-tabagique''.","Difficult"
"Un patient se présente avec une triade de Hautan complète. Quel est le pronostic et la prise en charge immédiate ?","Le pronostic est grave (risque de cellulite cervico-médiastinale mortelle). Prise en charge : bilan radiologique urgent, antibiothérapie large, extraction du CE par œsophagoscopie, drainage des collections, parfois chirurgie cervico-médiastinale.","Le document mentionne le risque mortel et la perforation comme complication grave.","Difficult"
"Pourquoi la fibroscopie digestive haute n''est-elle pas recommandée en première intention pour un CE pointu alors qu''elle l''est pour un doute diagnostique ?","Le fibroscope souple n''offre pas la même sécurité pour extraire un objet pointu ; il peut repousser le CE ou perforer. En revanche, pour une arête de poisson non visualisée en radiographie, la fibroscopie diagnostique est utile.","Le document réserve la fibroscopie ''En cas de doute diagnostique''.","Difficult"
"Un patient a ingéré un os de lapin il y a 3 semaines. Il présente une altération de l''état général, une hypersialorrhée fétide mais aucun signe de choc ni d''emphysème. Quel est le diagnostic et le traitement ?","Diagnostic : œsophagite chronique sur corps étranger ancien. Traitement : extraction par œsophagoscopie, antibiothérapie, mise au repos de l''œsophage, réhydratation et renutrition.","Le document décrit l''œsophagite sans emphysème, avec AEG et sialorrhée fétide.","Difficult"
"Comparez la mortalité et la morbidité de l''œsophagite non traitée versus la perforation œsophagienne.","L''œsophagite non traitée évolue vers la dénutrition, l''infection chronique et possiblement la sténose. La perforation œsophagienne engage le pronostic vital (cellulite mortelle) avec une mortalité élevée (30-50%), nécessitant une prise en charge chirurgicale urgente.","Le document insiste sur le risque ''mortel'' de la cellulite cervico-médiastinale.","Difficult"
"Pourquoi les tailleurs, tapissiers et menuisiers sont-ils à risque professionnel de corps étranger œsophagien ?","Ces métiers manipulent des petits objets pointus (aiguilles, épingles, clous) qu''ils peuvent tenir entre les lèvres par habitude professionnelle, favorisant l''ingestion accidentelle lors d''une inspiration ou d''une parole.","Le document mentionne ces métiers dans les circonstances accidentelles.","Difficult"
"Quel est l''intérêt de la recherche d''un emphysème sous-cutané dans l''examen cervical ?","L''emphysème sous-cutané (crépitations neigeuses) est un signe pathognomonique de perforation œsophagienne, témoignant du passage d''air de l''œsophage vers les tissus cervicaux. Sa présence impose une prise en charge chirurgicale urgente.","Le document mentionne la recherche d''emphysème et son lien avec la perforation.","Difficult"
