question, answer, explanation, difficulty
"Expliquez ce qui déclenche la puberté sur le plan neuroendocrinien.", "Réactivation de la fonction gonadotrope après une période de quiescence qui débute au 4-6ème mois post-natal et dure toute l'enfance", "Le document : 'réactivation de la fonction gonadotrope après une période de quiescence (qui débute au 4-6ème mois post natal et dure toute l'enfance)'", "Medium"
"Décrivez les 5 stades de Tanner pour le développement mammaire chez la fille.", "S1 : absence ; S2 : petit bourgeon avec élargissement aréole ; S3 : glande dépasse aréole ; S4 : développement maximum, sillon sous-mammaire, saillie aréole ; S5 : aspect adulte, disparition saillie aréole", "Document détaille les stades", "Medium"
"Décrivez les 5 stades de Tanner pour la pilosité pubienne.", "P1 : absence ; P2 : quelques poils longs ; P3 : pilosité au-dessus symphyse ; P4 : pilosité fournie ; P5 : extension à racine cuisse et vers ombilic (garçon)", "Document détaille les stades", "Easy"
"Décrivez les 5 stades de Tanner pour les organes génitaux externes du garçon.", "G1 : infantile ; G2 : volume testiculaire 4-6 ml ; G3 : 6-12 ml, verge augmente ; G4 : 12-16 ml ; G5 : morphologie adulte", "Document donne les volumes", "Medium"
"Pourquoi la gynécomastie bilatérale chez le garçon est-elle considérée comme physiologique ?", "Elle survient chez 30-65% des garçons en milieu de puberté et régresse spontanément en quelques mois", "Document : 'Gynécomastie bilatérale : Chez 30 à 65% des garçons, Apparaît en milieu de puberté, Régresse en quelques mois'", "Medium"
"Comparez la chronologie de la poussée de croissance entre filles et garçons.", "Fille : synchrone des premiers signes pubertaires (pic à 12 ans) ; Garçon : retardée d'environ un an par rapport aux premiers signes (pic à 14 ans)", "Document : 'L'accélération de la croissance pubertaire est synchrone des premiers signes pubertaires chez la fille, retardée d'environ un an chez le garçon'", "Difficult"
"Quels sont les trois éléments caractéristiques de la puberté ?", "Accélération de la vitesse de croissance, apparition des caractères sexuels secondaires, acquisition de la fonction de reproduction", "Document : 'Se caractérise par : une accélération de la vitesse de croissance, l'apparition des caractères sexuels secondaires'", "Easy"
"Pourquoi les premières règles ne signent-elles pas une puberté complète immédiate ?", "Car les cycles restent anovulatoires pendant 18-24 mois après la ménarche", "Document : 'Les cycles : deviennent ovulatoires 18-24 mois après les premières règles'", "Medium"
"Quelle est la différence de croissance pubertaire totale entre filles et garçons ?", "Filles : 23-25 cm ; Garçons : 25-28 cm (plus importante chez le garçon)", "Document donne les valeurs", "Easy"
"Quel est l'aspect de l'ovaire à l'échographie à la puberté ?", "2 à 3 cm avec image liquidienne de 7 à 8 mm ressemblant à un ovaire micropolykystique", "Document : '2 à 3 cm avec image liquidienne de 7 à 8 mm ressemblant à un ovaire micropolykystique'", "Difficult"
"Pourquoi l'apparition du sésamoïde du pouce est-elle un marqueur de maturation osseuse ?", "Car son ossification est corrélée à l'âge osseux et au début de la puberté", "Document : 'Apparition du sésamoïde du pouce à 11 ans'", "Medium"
"Quel est le délai moyen entre le début de la puberté et la ménarche ?", "2-2,5 ans", "Document : '2-2,5 ans après l'apparition des premiers signes pubertaires'", "Easy"
"Quelle est la signification de l'horizontalisation de la vulve à la puberté ?", "Passage d'une orientation verticale à horizontale sous l'effet des œstrogènes", "Document : 'Horizontalisation (d'avant en arrière)'", "Difficult"
"Pourquoi la pilosité pubienne peut-elle précéder le développement mammaire ?", "Car la production d'androgènes surrénaliens (adrénarche) peut débuter avant l'activation gonadique", "Document : 'Elle peut parfois précéder le développement mammaire dans 16% des cas'", "Difficult"
"Quel est le volume utérin à la puberté ?", "Utérus, isthme et col représentent les deux tiers du volume utérin total, pas de ligne de vacuité", "Document : 'Utérus, l'isthme et le col représente les deux tiers du volume utérin total, Il n'y a pas de ligne de vacuité visible'", "Difficult"
"Quel est l'âge moyen du début de la poussée de croissance chez le garçon ?", "14 ans (pic de vitesse)", "Document : '10cm/an vers l'âge de 14 ans'", "Easy"
"Quelle est la taille moyenne au début de la croissance pubertaire chez le garçon ?", "150 cm", "Document : 'La taille au début de la croissance pubertaire est en moyenne de 150 cm'", "Easy"
"Pourquoi la puberté est-elle définie comme un passage de l'état d'enfant à l'état d'adulte ?", "Car elle aboutit à la taille définitive et à la fonction de reproduction", "Document : 'passage de l'état d'enfant à l'état d'adulte aboutissant à l'acquisition de la taille définitive et de la fonction de reproduction'", "Easy"
"Quelles sont les modifications de la vulve à la puberté ?", "Grandes et petites lèvres plus colorées, horizontalisation", "Document : 'Horizontalisation, Les grandes et petites lèvres : sont plus colorées'", "Medium"
"Pourquoi la muqueuse vaginale est-elle rosée, humide avec leucorrhée à la puberté ?", "Sous l'effet de l'imprégnation œstrogénique", "Document : 'Muqueuse vaginale : rosée, humide avec discrète leucorrhée'", "Medium"
"Quel est le pourcentage de cas où la pilosité pubienne précède le développement mammaire ?", "16%", "Document : 'dans 16% des cas'", "Easy"
"Quel est l'âge de la poussée de croissance maximale chez la fille ?", "12 ans", "Document : '8cm/an vers l'âge de 12 ans'", "Easy"
"Quel est le volume testiculaire au stade G3 de Tanner ?", "6 à 12 ml", "Document : 'G3 : augmentation du volume testiculaire de 6 à 12 ml'", "Medium"
"Quel est le volume testiculaire au stade G4 de Tanner ?", "12 à 16 ml", "Document : 'G4 : augmentation du volume testiculaire de 12 à 16 ml'", "Medium"
"La gynécomastie bilatérale chez le garçon nécessite-t-elle un traitement ?", "Non, elle régresse spontanément dans la quasi-totalité des cas", "Document : 'Régresse en quelques mois dans la quasi-totalité des cas'", "Easy"
"À quel âge les testicules augmentent-ils de volume chez le garçon ?", "11,5 ans en moyenne", "Document : 'vers l'âge de 11,5 ans'", "Easy"
"Quelle est la différence d'âge de fin de croissance entre filles et garçons ?", "Filles : 16 ans ; Garçons : 18 ans", "Document : 'Arrêt à 16 ans chez la fille, 18 ans chez le garçon'", "Easy"
"Pourquoi l'échographie pelvienne est-elle utile à la puberté ?", "Pour visualiser utérus, ovaire et apprécier la maturation", "Document : 'Organes génitaux internes : Accessible facilement à l'échographie'", "Medium"
"Quel est l'aspect des organes génitaux internes chez la fille avant la puberté ?", "Utérus immature, pas de ligne de vacuité", "Document implicite", "Difficult"
"Quelle est la définition de la puberté ?", "Ensemble des phénomènes physiques et psychiques du passage de l'enfant à l'adulte avec acquisition taille définitive et fonction de reproduction", "Document : 'La puberté désigne l'ensemble des phénomènes physiques et psychiques qui définissent le passage de l'état d'enfant à l'état d'adulte aboutissant à l'acquisition de la taille définitive et de la fonction de reproduction'", "Easy"
