"question","answer","explanation","difficulty"
"Pourquoi les testicules doivent-ils se trouver dans le scrotum ?","Parce que la spermatogenèse est thermo-dépendante et nécessite une température plus basse que celle de l’abdomen.","Le document précise que la position scrotale permet le bon déroulement de la spermatogenèse.","Medium"
"Pourquoi un retard de traitement peut-il entraîner une stérilité ?","La température abdominale provoque une altération progressive des spermatogonies, des tubes séminifères et des cellules de Leydig.","La dégradation commence vers l’âge de 2 ans.","Medium"
"Comment différencier un testicule intra-abdominal d’une absence de testicule ?","Par le test aux gonadostimulines avec dosage de la testostérone.","Une augmentation indique un testicule caché.","Medium"
"Pourquoi observe-t-on parfois une hypertrophie du testicule controlatéral ?","Il s’agit d’une hypertrophie compensatrice en cas de monorchidie.","Le document indique que le testicule restant peut être plus grand.","Medium"
"Pourquoi le risque tumoral augmente-t-il avec l’âge en cas de cryptorchidie non traitée ?","La position anormale entraîne des phénomènes dégénératifs pouvant évoluer vers une tumeur vers 25-30 ans.","Le texte évoque cette dégénérescence.","Difficult"
"Expliquez les trois raisons pour lesquelles les testicules sont normalement situés dans le sac scrotal selon le document.","Les trois raisons sont : 1) Le bon déroulement de la spermatogenèse (spermatogenèse thermo-dépendante). 2) La protection naturelle contre les traumatismes (""maximum de défenseur naturel : les deux cuisses"", le choc frontal est amorti). 3) La présence du muscle crémaster qui, en cas de stress ou peur, se contracte et fait remonter les testicules (mécanisme de protection).","Le document liste ces trois points dans la section ""Raison de la localisation externe des testicules"".","Medium"
"Décrivez le raisonnement clinique et paraclinique pour différencier une anorchidie bilatérale d'une ectopie bilatérale en position abdominale.","En cas d'absence bilatérale de testicules, il faut d'abord rechercher des malformations associées (syndromes). Le test aux gonadostimulines est clé : on dose la testostérone plasmatique après stimulation. Si le taux augmente (pic), cela prouve la présence de tissu testiculaire fonctionnel, donc il s'agit de testicules cachés (ectopie abdominale bilatérale). Si le taux reste bas, il s'agit d'une anorchidie (absence de testicules). La coelioscopie peut confirmer.","Le document détaille : ""Test aux gonadostimulines – Dosage plasmatique de testostérone : si pic : testicules au niveau de l'abdomen. Si reste bas, absence"" et précise l'utilité dans les cryptorchidies bilatérales.","Medium"
"Un enfant de 18 mois a un testicule droit non palpable, le gauche est en place et de taille normale. À la palpation inguinale, on ne retrouve rien. Quelles sont les deux hypothèses principales et quel examen complémentaire est le plus fiable ?","Les deux hypothèses sont : monorchidie (agénésie du testicule droit) ou cryptorchidie abdominale (testicule bloqué dans l'abdomen). L'examen le plus fiable est la coelioscopie, car l'échographie et le TDM ont beaucoup de faux positifs/négatifs chez l'enfant. La coelioscopie permet de visualiser directement la présence ou l'absence du testicule dans la cavité abdominale.","Le document mentionne pour l'absence unilatérale : ""monorchidie"" ou ""testicule abdominal"", et pour la coelioscopie : ""Examen clé – Permet de repérer la position du testicule dans la cavité abdominale"".","Medium"
"Pourquoi le testicule ascenseur (oscillant) présente-t-il un risque de torsion du cordon spermatique, et quelle information doit être délivrée aux parents ?","Le testicule ascenseur est instable car le gubernaculum est lâche ou absent. Les mouvements du testicule, liés aux contractions du muscle crémaster lors de stimulations (froid, peur, frottement), peuvent entraîner une torsion du cordon spermatique. Les parents doivent être informés de ce risque important pour qu'ils consultent rapidement en cas de douleur scrotale aiguë ou de modification de l'aspect des bourses. Le document précise : ""Risque de torsion du cordon spermatique très important à aviser aux parents de l'enfant"".","Le document indique explicitement le risque et la nécessité d'informer les parents.","Difficult"
"Comparez le testicule rétractile et le testicule ascenseur (oscillant) en termes de comportement à l'examen, d'évolution naturelle et de prise en charge.","- Testicule ascenseur (oscillant) : en position inguinale au repos, descend facilement dans le scrotum et y reste en l'absence de stimulation. Évolution : se stabilise naturellement à la puberté par le poids du testicule. Prise en charge : abstention et surveillance, avec information sur le risque de torsion. - Testicule rétractile : position anormalement haute, peut être traîné en bas mais remonte immédiatement dès l'arrêt de la traction. Évolution : pas de descente naturelle possible. Prise en charge : indication opératoire absolue (abaissement et orchidopexie).","Le document décrit séparément ces deux entités avec leurs caractéristiques et prises en charge.","Difficult"
"Un homme de 30 ans présente un testicule non descendu en position inguinale basse, eutrophique (taille normale). Selon le document, quelle est la conduite à tenir ? Justifiez.","La conduite est une exérèse (orchidectomie) sauf indication particulière. Le document précise : ""A l'âge adulte : exérèse (sauf pour les positions initiales inguinales basses, sous réserve d'une biopsie testiculaire)"". Ici la position est inguinale basse, donc on peut discuter une biopsie testiculaire avant décision. Mais le risque de dégénérescence tumorale vers 25-30 ans motive l'exérèse systématique des gonades mal descendues après la puberté, surtout si hypotrophiques. Comme il est eutrophique, une biopsie est recommandée pour rechercher des lésions pré-cancéreuses.","Le document indique : ""A l'âge adulte : exérèse (sauf pour les positions initiales inguinales basses, sous réserve d'une biopsie testiculaire)"" et plus haut ""exérèse systématique des gonades mal descendues hypotrophiques après l'âge de la puberté"".","Difficult"
