"question","answer","explanation","difficulty"
"Quels sont les synonymes de la bilharziose hépatique donnés dans le document ?","Schistosomiase hépatique, bilharziose hépato-splénique, schistosomose hépatique.","Le document les énumère dans la définition.","Easy"
"Quelle espèce de schistosome est inexistante à Madagascar ?","S. Japonicum.","Le document le précise entre parenthèses.","Easy"
"Citez trois examens morphologiques utiles pour le diagnostic de la bilharziose hépatique.","Échographie abdominale, endoscopie digestive haute, rectosigmoïdoscopie (ou TDM, biopsie rectale, ponction biopsie hépatique).","Le document décrit ces examens.","Easy"
"Quel est l'aspect radiologique hépatique à l'échographie concernant les lobes ?","Atrophie du lobe droit et hypertrophie du lobe gauche.","Document : 'Dysmorphie hépatique : Atrophie du lobe droit, Hypertrophie du lobe gauche'.","Easy"
"Quels sont les trois buts du traitement de la bilharziose hépatique selon le document ?","1) Éviter l'infestation, 2) Éliminer les vers femelles et les formes jeunes du parasite, 3) Traiter l'hypertension portale.","Listés dans la section 'Buts'.","Easy"
"Quels sont les deux moyens curatifs endoscopique et chirurgical mentionnés ?","Endoscopique : ligature des varices œsophagiennes. Chirurgical : splénectomie avec ligature de la veine gastrique gauche.","Document dans 'Curatifs'.","Easy"
"Expliquez le cycle parasitaire de S. Mansoni depuis l'éclosion de l'œuf jusqu'à la ponte chez l'homme.","Œuf dans l'eau douce (25-30°, ensoleillement, pH neutre) éclot, libère un miracidium qui pénètre un mollusque hôte. Maturation en furcocercaire. L'homme s'infeste par bain en eau douce contaminée, pénétration cutanée du furcocercaire. Migration au foie, maturation, migration de la femelle vers la veine mésentérique inférieure via la veine porte, puis ponte (30-300 œufs/jour).","Basé sur la section physiopathologie.","Medium"
"Pourquoi la bilharziose hépatique entraîne-t-elle une hypertension portale sans insuffisance hépatocellulaire (IHC) au début ?","Parce que les lésions sont une sclérose de l'espace porte (fibrose 'en tuyau de pipe') sans atteinte des hépatocytes ni nodules de régénération. La fonction hépatique est préservée, d'où l'absence d'IHC et de cytolyse.","Document : pas de cytolyse, pas d'IHC, sclérose portale.","Medium"
"Quelle est la signification de l'hyperéosinophilie dans l'hémogramme d'un patient suspect de bilharziose hépatique ?","L'hyperéosinophilie est un signe biologique non constant (+/-) pouvant orienter vers une parasitose, mais elle n'est ni spécifique ni constante dans la BH chronique.","Document : '+/- Hyperéosinophilie'.","Medium"
"Comparez les apports respectifs de l'endoscopie digestive haute et de la rectosigmoïdoscopie dans la bilharziose hépatique.","L'endoscopie haute recherche les varices œsophagiennes et cardio-tubérositaires, signes d'hypertension portale. La rectosigmoïdoscopie recherche des lésions muqueuses spécifiques (œdème, ulcérations, granulations blanchâtres, pseudo-polypes) et permet la biopsie pour mise en évidence des œufs.","Document sections correspondantes.","Medium"
"Quels sont les signes cliniques d'hypertension portale apparaissant tardivement dans l'évolution ?","Circulation veineuse cutanée abdominale, varices œsophagiennes très développées, ascite, œdème des membres inférieurs.","Document : 'Plus tard : apparition des signes cliniques d'HTP'.","Medium"
"Pourquoi ne traite-t-on pas une sérologie bilharzienne positive isolée ?","Parce que la sérologie reste positive à vie, même après guérison ou traitement, et n'indique pas l'évolutivité. Seule la présence d'œufs viables ou de signes cliniques évolutifs justifie un traitement antiparasitaire.","Document : 'N'indique pas l'évolutivité... On ne traite pas une sérologie positive car elle sera positive jusqu'à sa mort'.","Medium"
"Quelles sont les huit complications de la bilharziose hépatique listées dans le document, comparables à celles de la cirrhose ?","Ascite, hémorragie digestive par rupture de varices œsophagiennes, ictère, infections (générales - liquides d'ascite), encéphalopathie, hypertension porto-pulmonaire, hypersplénisme (anémie, leucopénie, thrombopénie). Pas de cancer primitif du foie.","Liste dans 'Complications'.","Medium"
"Décrivez les anomalies du bilan hépatique typiques de la bilharziose hépatique à un stade non décompensé.","Cholestase anictérique : PAL et GGT augmentées, bilirubinémie normale. Absence de cytolyse (ASAT, ALAT normales). Absence d'insuffisance hépatocellulaire. Augmentation des immunoglobulines (gammaglobulines).","Document signes biologiques.","Medium"
"Quel est le traitement préventif de la bilharziose hépatique selon le document ? Donnez au moins trois mesures.","Hygiène du milieu (latrines, ne pas déféquer dans la nature), éducation sanitaire (ne pas s'immerger en eau douce, porter des bottes), assainissement (nettoyer les lacs), destruction des mollusques (élevage de poissons ou canards), traitement de masse.","Document moyens préventifs.","Medium"
"Un patient a une splénomégalie de stade 4, une pancytopénie, et une hypertension portale avec varices œsophagiennes. Quel est le mécanisme de la pancytopénie et quel traitement chirurgical est indiqué pour cette complication spécifique ?","La pancytopénie est due à l'hypersplénisme secondaire à la splénomégalie massive. Le traitement chirurgical indiqué est la splénectomie.","Document : 'Pancytopénie à la longue (par hypersplénisme)' et 'Hypersplénisme : chirurgie'.","Difficult"
"Expliquez pourquoi la bilharziose hépatique peut entraîner une hémorragie digestive mortelle, et quel traitement préventif de l'HTP est recommandé au long cours.","Les œufs de schistosome induisent une fibrose portale (sclérose en tuyau de pipe) responsable d'une hypertension portale. Celle-ci provoque des varices œsophagiennes dont la rupture entraîne une hémorragie digestive massive. Le traitement préventif de l'HTP est le propranolol (bêta-bloquant) à vie, associé à la ligature endoscopique des varices.","Synthèse physiopathologie et traitement.","Difficult"
"Un patient de 35 ans originaire de la côte Est de Madagascar présente une splénomégalie, des varices œsophagiennes à l'endoscopie, une cholestase anictérique, et des œufs de S. Mansoni sur biopsie rectale. Les selles KAOP sont négatives. Pourquoi les selles sont-elles négatives et quel est le stade évolutif probable ?","Les selles sont négatives car la femelle peut ne plus pondre (infection ancienne) ou le patient a déjà reçu un traitement antiparasitaire. Le stade est celui d'une bilharziose hépatique chronique avec hypertension portale constituée, sans infestation active nécessaire.","Document : 'Souvent négative (la femmelle ne pond plus ou a déjà reçu un traitement)'.","Difficult"
