question,option1,option2,option3,option4,answer,explanation,difficulty
"Que signifie l’acronyme VPPB ?","Vertige Positionnel Permanent Bénin","Vertige Positionnel Paroxystique Bénin","Vertige Postural Paroxystique Bénin","Vertige Périphérique Paroxystique Bénin","2","Le document indique : VERTIGE POSITIONNEL PAROXYSTIQUE BENIN (VPPB).","Easy"
"Quel est le mécanisme physiopathologique du VPPB ?","Infection virale du nerf vestibulaire","Dégradation des otolithes qui se déposent dans le canal semi-circulaire","Ischémie cérébelleuse","Hypertension intracrânienne","2","Le document précise : Dégradation des otolithes (cristaux) qui se déposent dans le canal semi-circulaire (canalolithiase ou cupulolithiase).","Easy"
"Le VPPB est dit positionnel car :","Il est permanent","Il est en rapport avec le changement de position de la tête ou du corps","Il est d’origine centrale","Il est psychogène","2","Le document indique : Positionnel : car en rapport avec le changement de position de la tête ou du corps.","Easy"
"Le VPPB est dit paroxystique car :","Il dure des heures","Il évolue par crise, phase maximale puis régression","Il est continu","Il ne répond pas au traitement","2","Le document précise : Paroxystique : évolue par crise, phase maximale puis régression.","Easy"
"Le VPPB est dit bénin car :","Il est sans danger vital et la guérison est assurée","Il est asymptomatique","Il ne dure pas","Il est rare","1","Le document indique : Bénin : guérison assurée.","Easy"
"Quelle est la localisation la plus fréquente du VPPB ?","Canal semi-circulaire horizontal","Canal semi-circulaire postérieur","Canal semi-circulaire antérieur","Canal semi-circulaire latéral","2","Le document précise : VPPB DU CANAL SEMI CIRCULAIRE POSTERIEUR : localisation fréquente.","Easy"
"Quel est le profil type du patient atteint de VPPB du canal postérieur ?","Homme jeune","Femme dans la cinquantaine","Enfant","Sujet âgé de plus de 80 ans","2","Le document indique : Femme dans la cinquantaine.","Easy"
"Quelle est la durée typique du vertige dans le VPPB ?","Plusieurs heures","Plusieurs minutes","Moins d’une minute (phase maximale puis régression)","Quelques secondes","3","Le document précise : Durée < 1 minute (phase maximale puis régression).","Easy"
"Quelle manœuvre permet de confirmer le diagnostic de VPPB du canal postérieur ?","Manœuvre de Semont","Manœuvre de Dix Hallpike","Manœuvre de roulis","Manœuvre de Valsalva","2","Le document indique : Pour confirmer le diagnostic : Manoeuvre de DIX HALLPIKE.","Easy"
"Dans le VPPB du canal postérieur, le nystagmus provoqué est :","Horizontal","Vertical","Rotatoire et géotropique","Optocinétique","3","Le document précise : Nystagmus : Rotatoire et géotropique avec latence et durée de quelques secondes.","Medium"
"Le VPPB du canal horizontal géotropique correspond à une :","Canalolithiase","Cupulolithiase","Atteinte centrale","Labyrinthite","1","Le document indique : VPPB CSC HORIZONTAL GEOTROPIQUE : canalolithiase.","Medium"
"Le VPPB du canal horizontal agéotropique correspond à une :","Canalolithiase","Cupulolithiase","Atteinte centrale","Labyrinthite","2","Le document précise : VPPB CSC HORIZONTAL AGEOTROPIQUE : cupulolithiase.","Medium"
"Quelle est la manœuvre libératoire de référence pour le VPPB du canal postérieur ?","Manœuvre de roulis","Manœuvre de Dix Hallpike","Manœuvre de Semont ou d’Epley","Manœuvre de Valsalva","3","Le document indique : VPPB postérieur : Manoeuvre de Semont, ou d’Epley.","Easy"
"Quelle est la manœuvre utilisée pour le VPPB du canal horizontal ?","Manœuvre de Semont","Manœuvre d’Epley","Manœuvre de roulis","Manœuvre de Dix Hallpike","3","Le document précise : VPPB horizontal : roulis.","Medium"
"Le taux de guérison du VPPB après manœuvres libératoires est de :","50%","65%","84%","95%","3","Le document indique : Résultats : Guérison : 84%.","Medium"
"Dans le VPPB du canal postérieur, le nystagmus présente un phénomène d’habitation :","Non reproductible","Reproductible et fatigable","Constant","Absent","2","Le document précise : Avec phénomène d’habitation : reproductible et fatigable.","Medium"
"Le VPPB peut être secondaire à :","Un traumatisme, une ischémie, un alitement prolongé, une chirurgie de l’oreille moyenne","Une otite externe","Une sinusite","Une rhinite allergique","1","Le document cite : Parfois secondaire à un traumatisme, ischémie, alitement prolongé, chirurgie de l’oreille moyenne +++","Medium"
"L’insuffisance vertébro-basilaire est un diagnostic différentiel du VPPB car elle peut donner :","Un vertige positionnel sans nystagmus","Un nystagmus rotatoire","Une cophose","Des acouphènes","1","Le document indique : Diagnostic différentiel : Insuffisance vertébro-basilaire (vertige positionnel, cause cervicale, pas de nystagmus).","Difficult"
"Dans la cupulolithiase, la cupule est :","Allégée","Alourdie","Normale","Absente","2","Le document précise : Cupulolithiase : Cupule alourdie.","Medium"
"Le VPPB est associé à la maladie de Ménière dans les :","Formes anciennes","Formes associées","Formes bilatérales","Formes récidivantes","2","Le document cite : Formes associées : VPPB et maladie de Ménière.","Medium"
"Dans le VPPB du canal horizontal géotropique, du côté de la lithiase on observe :","Moins de vertige et moins de nystagmus","Plus de vertige et plus de nystagmus","Absence de vertige","Vertige permanent","2","Le document indique : Du côté du lithiase : plus de vertige et plus de nystagmus.","Difficult"
"Dans le VPPB du canal horizontal agéotropique, du côté de la lithiase on observe :","Plus de vertige et plus de nystagmus","Moins de vertige et moins de nystagmus","Absence de symptômes","Vertige uniquement","2","Le document précise : Du côté du lithiase : moins de vertige et moins de nystagmus.","Difficult"
"Le traitement médical du VPPB :","Existe et est efficace","N’existe pas","Est la première intention","Repose sur les antivertigineux","2","Le document indique : Pas de traitement médical.","Easy"
"Quand une persistance de déséquilibre survient après traitement, on propose :","Une nouvelle manœuvre","Une rééducation vestibulaire","Une chirurgie","Une corticothérapie","2","Le document précise : Persistance de déséquilibre : rééducation vestibulaire (différencier vertige et déséquilibre).","Medium"
