"front","back","cognitive_level"
"Quelle est la définition d’une toxidermie ?","Les effets secondaires à expression cutanée des médicaments administrés par voie interne. Ce sont des réactions idiosyncrasiques (non médico-légales), aiguës, imprévisibles, survenant indépendamment des doses.","Recall"
"Quelle est la fréquence des toxidermies chez les patients hospitalisés ?","10% des patients hospitalisés, dont 1/3 des atteintes sont graves. Elles s’observent chez 1 à 3% des utilisateurs de médicaments d’usage courant.","Recall"
"Quelle est l’obligation légale concernant les toxidermies ?","Elles doivent être notifiées aux instances de pharmacovigilance. Le patient doit avoir un carnet notifiant le médicament imputé. Une enquête d’imputation intrinsèque et extrinsèque est réalisée.","Recall"
"Quels sont les quatre types de toxidermies bénignes cités ?","Exanthème maculo-papuleux, urticaire, photosensibilité, érythème pigmenté fixe (EPF).","Recall"
"Quel est le délai d’apparition d’un exanthème maculo-papuleux médicamenteux ?","4 à 15 jours après le début du traitement.","Recall"
"Quelle est la localisation initiale de l’exanthème maculo-papuleux ?","Tronc ou racine des membres, avec extension et confluence en quelques jours.","Recall"
"Quels sont les signes cliniques de l’exanthème maculo-papuleux ?","Lésion polymorphe : macules morbiliformes, papules ou plaques œdémateuses, purpura pétéchial sur les jambes. Durée <1 semaine, fine desquamation. Prurit fréquent, parfois sévère. Fièvre modérée ou absente. Absence d’atteinte muqueuse (possible chéilite ou atteinte scrotale).","Recall"
"Quel est le délai d’apparition d’une urticaire médicamenteuse immédiate ?","Quelques minutes à quelques heures après l’administration du médicament.","Recall"
"Que signe l’urticaire immédiate médicamenteuse ?","Une sensibilisation préalable. Elle contre-indique formellement la réintroduction du médicament en raison du risque d’anaphylaxie.","Recall"
"Quelle est la particularité de l’érythème pigmenté fixe (EPF) ?","C’est la seule dermatose de cause exclusivement médicamenteuse, pathognomonique d’une toxidermie.","Recall"
"Quel est le délai d’apparition de l’EPF ?","Dans les heures (<48h) suivant la prise du médicament.","Recall"
"Quel est l’aspect clinique de l’EPF ?","1 à 100 plaques érythémateuses arrondies de quelques centimètres, douloureuses, infiltrées (parfois recouvertes d’une bulle). Disparition en quelques jours laissant des tâches pigmentées brunes. Localisations fréquentes : organes génitaux, lèvres, face (péri-oculaire), tronc (dos).","Recall"
"Citez les cinq toxidermies graves mentionnées dans le document.","Angiœdème/choc anaphylactique, pustulose exanthématique aiguë généralisée (PEAG), syndrome de Stevens-Johnson (SSJ), syndrome de Lyell (nécrolyse épidermique toxique), DRESS syndrome.","Recall"
"Qu’est-ce que l’angiœdème médicamenteux ?","Tuméfaction ferme, mal limitée, non érythémateuse, non prurigineuse, avec sensation de tension douleur au visage. Touche préférentiellement les paupières et les lèvres.","Recall"
"Quels sont les signes d’alarme d’un œdème de Quincke laryngé ?","Dysphonie, hypersalivation, dysphagie. Si l’œdème siège sur la glotte → risque d’asphyxie et d’anaphylaxie.","Recall"
"Quel est le délai d’apparition de la PEAG (pustulose exanthématique aiguë généralisée) ?","1 à 4 jours après l’administration du médicament (souvent un antibiotique).","Recall"
"Décrivez les lésions de la PEAG.","Éruption brutale très fébrile : érythème en nappe des grands plis (aisselles, aine), pustules superficielles de petite taille (<2mm) à contenu lactescent, détachement partiel superficiel de l’épiderme. Altération de l’état général. Hyperleucocytose à polynucléaires neutrophiles. Biopsie : accumulation de PNN dans la partie sous-cornéenne. Régression spontanée rapide.","Recall"
"Quelle est la différence entre le syndrome de Stevens-Johnson (SSJ) et le syndrome de Lyell (nécrolyse épidermique toxique) ?","Même maladie, différenciée par la surface d’épiderme nécrosé : SSJ <10% de la surface corporelle, syndrome de Lyell >30%, forme intermédiaire entre 10 et 30%.","Recall"
"Quel est le délai d’apparition du SSJ/Lyell ?","À partir du 21ème jour après le début du traitement inducteur.","Recall"
"Quel est le signe de Nikolsky ?","Lambeaux d’épiderme se détachant à la moindre pression. Positif dans le SSJ et le Lyell.","Recall"
"Quelle est la mortalité du syndrome de Lyell ?","Élevée : 20-25%.","Recall"
"Quel est le délai de réépidermisation dans le Lyell ?","10 à 30 jours, avec séquelles fréquentes (troubles de pigmentation, cicatrices muqueuses oculaires).","Recall"
"Qu’est-ce que le DRESS syndrome ?","Drug Rash with Eosinophilia and Systemic Symptoms : syndrome d’hypersensibilité médicamenteuse retardée. Délai : 3 semaines à 3 mois. Mortalité 10%. Hospitalisation obligatoire. Évolution lentement régressive sur plusieurs semaines.","Recall"
"Quels sont les signes cliniques du DRESS ?","Prodrome : pharyngite ; AEG, fièvre ; œdème du visage et du cou ; polyadénopathie, hépatosplénomégalie ; lésions maculo-papuleuses diffuses ou érythrodermie ; prurit +++","Recall"
"Quelles sont les anomalies biologiques du DRESS ?","Hyperéosinophilie (>500, parfois absente), lymphocytes activés (hyperbasophilie pouvant infiltrer le cœur → arrêt cardiaque subit), syndrome d’activation macrophagique, atteinte viscérale (foie +++, rein, cœur, poumon, thyroïde, digestif).","Recall"
"Quels sont les médicaments principalement impliqués dans le DRESS ?","Anticonvulsivants, sulfonamides, dapsone, allopurinol, minocycline, sels d’or.","Recall"
"Quels sont les délais évocateurs pour chaque toxidermie selon le tableau ?","Urticaire/Quincke : minutes-heures ; EPF : 1-4 jours ; PEAG : <4 jours ; SSJ/Lyell : 7-21 jours ; DRESS : 2-6 semaines.","Recall"
"Quels sont les critères de gravité d’une toxidermie ?","Infiltration des lésions, œdème du visage, diffusion de l’érythème, fièvre, polyadénopathie, douleurs cutanées/muqueuses intenses, érosions muqueuses, signe de Nikolsky, purpura ou nécrose.","Recall"
"Quel est le traitement d’une toxidermie grave ?","Arrêt immédiat du médicament suspect, hospitalisation, soins locaux, antalgiques. Pour le DRESS : corticoïdes IV. Pour SSJ/Lyell : soins locaux +++ (éviter voie veineuse si possible). Pour EMP : antihistaminiques et dermocorticoïdes.","Application"
"Un patient sous allopurinol depuis 4 semaines présente une fièvre, un œdème du visage, une polyadénopathie, une éosinophilie à 800/mm3 et une cytolyse hépatique. Quel diagnostic ?","DRESS syndrome.","Analysis"
"Un patient sous sulfamide depuis 10 jours présente une éruption maculo-papuleuse fébrile avec atteinte muqueuse buccale et oculaire, et un signe de Nikolsky positif. Surface atteinte estimée à 5%. Quel diagnostic ?","Syndrome de Stevens-Johnson (SSJ).","Analysis"
