"term","definition","contextual_explanation"
"prématurité","Naissance vivante survenue entre la 22ème et 37ème semaine d’aménorrhée.","Prévalence 5 %. Morbi-mortalité néonatale élevée, handicaps neuromoteurs fréquents."
"grande prématurité","Naissance entre 28 et 32 SA (selon document : 28 SA à 31 SA 6j).","Prévalence 1-1,5 %."
"prématurité modérée","Naissance entre 32 et 33 SA 6j.","Forme de prématurité."
"prématurité légère","Naissance entre 34 et 36 SA 6j.","Forme la moins sévère."
"prématurité extrême (prématurissime)","Naissance entre 22 et 27 SA 6j.","22-24 SA : soins palliatifs sans réanimation."
"prématurité hypotrophique","Prématuré avec un poids <10ème percentile sur la courbe de Leroy et Lefort.","Associée à un pronostic plus mauvais."
"prématurité eutrophique","Prématuré avec un poids normal pour l’âge gestationnel.","Mensurations harmonieuses."
"score de FARR (ou Finnstrom)","Âge morphologique du nouveau-né.","Permet d’estimer l’âge gestationnel."
"score de BALLARD (ou Dubowitz)","Âge neurologique du nouveau-né.","Utilisé pour déterminer l’âge gestationnel."
"lanugo","Poils fins recouvrant la peau du fœtus.","Abondant et épais chez le prématuré."
"courbe de Leroy et Lefort","Courbe de référence française du poids de naissance selon l’âge gestationnel.","Définit l’hypotrophie (<10ème percentile)."
"RCIU harmonieux","Retard de croissance intra-utérin touchant toutes les mensurations (poids, taille, PC).","Dans le cadre de la prématurité hypotrophique."
"RCIU dysharmonieux","Retard de croissance touchant une seule mensuration (ex. poids).","Également possible chez le prématuré."
"béance cervico-isthmique","Incompétence du col utérin entraînant une dilatation passive.","Cause maternelle de prématurité."
"rupture prématurée des membranes (RPM)","Rupture des membranes avant le travail.","Facteur de risque majeur de prématurité."
"chorioamniotite","Infection des membranes fœtales (chorion et amnios).","Cause ovulaire de prématurité."
"hydramnios","Excès de liquide amniotique.","Cause ovulaire."
"maladie des membranes hyalines","Détresse respiratoire par défaut de surfactant, surtout chez le grand prématuré.","Complication respiratoire majeure."
"dysplasie broncho-pulmonaire","Maladie pulmonaire chronique du prématuré oxygéno-dépendant >28 jours.","Complication respiratoire."
"apnées du prématuré","Pauses respiratoires >20 secondes chez le prématuré.","Complication respiratoire, prévenue par la caféine."
"tubulopathie du grand prématuré","Perte urinaire de sodium par immaturité tubulaire rénale.","Complication rénale."
"ictère nucléaire","Neurotoxicité de la bilirubine libre atteignant les noyaux gris.","Risque très élevé chez le prématuré."
"entérocolites ulcéro-nécrosantes (ECUN)","Nécrose intestinale du nouveau-né.","Complication digestive grave."
"persistance du canal artériel (PCA)","Maintien de la communication entre aorte et artère pulmonaire après la naissance.","Complication cardiovasculaire, risque de décompensation cardiaque et HTAP."
"hémorragies intra-ventriculaires (HIV)","Saignement dans les ventricules cérébraux.","Complication neurologique du prématuré."
"leucomalacie périventriculaire (LPV)","Lésion ischémique de la substance blanche périventriculaire.","Complication neurologique, source de retard psychomoteur et d’épilepsie."
"rétinopathie du prématuré","Anomalie de vascularisation rétinienne liée à l’immaturité.","Risque majeur chez l’extrême prématuré et en cas d’oxygénodépendance prolongée."
"caféine","Méthylxanthine stimulant respiratoire.","Utilisée pour prévenir les apnées du prématuré."
"vitaminothérapie A D E K","Supplémentation en vitamines liposolubles.","Recommandée chez le prématuré."
"méthode Kangourou","Maintien du nouveau-né peau à peau avec sa mère, alternative à la couveuse.","Avantages : disponible, sans coût, possible quel que soit le niveau de soin, naturelle et affectueuse."
"MAP","Menace d’accouchement prématuré.","Sa prise en charge comprend tocolyse, corticothérapie, antibioprophylaxie."
"tocolyse","Traitement visant à inhiber les contractions utérines.","Dans le cadre de la MAP."
"corticothérapie anténatale","Administration de corticoïdes à la mère pour maturer le poumon fœtal.","Partie de la prise en charge de la MAP."
