"front","back","cognitive_level"
"Quelle est la définition anatomique de la glomérulonéphrite aiguë ?","C'est une glomérulonépathie proliférative sur le versant endocapillaire.","Recall"
"Quelle est la tranche d'âge la plus touchée par la glomérulonéphrite aiguë et quel pourcentage des cas représente-t-elle ?","60% des cas surviennent entre 2 et 12 ans.","Recall"
"Quel est l'intervalle libre typique entre l'infection et le début des signes de glomérulonéphrite aiguë ?","Un intervalle libre de 2 à 3 semaines (15 à 21 jours).","Recall"
"Dans quel pourcentage des cas de glomérulonéphrite aiguë observe-t-on une hématurie macroscopique ?","Dans 30% des cas.","Recall"
"Citez trois germes non streptococciques pouvant causer une glomérulonéphrite aiguë.","Staphylocoque, pneumocoque, méningocoque, herpès virus, coxsackie, échovirus, adénovirus, virus des hépatites (troix exemples parmi ces huit).","Recall"
"À quoi correspondent les « humps » en anatomie pathologique de la glomérulonéphrite aiguë ?","Ce sont des volumineux dépôts extramembraneux caractéristiques en forme de « chapeau de gendarme », visibles en microscopie optique, situés dans le floculus avec exsudat de polynucléaires.","Recall"
"Expliquez le mécanisme physiopathologique de la glomérulonéphrite aiguë.","Réponse immunologique à une infection (souvent streptococcique) → formation de complexes immuns circulants (antigène-anticorps-complément) → dépôt dans le rein → cascade inflammatoire créant un « trou » dans la membrane basale → signes cliniques du syndrome néphritique aigu.","Understanding"
"Pourquoi observe-t-on une hypocomplémentémie (C3, C4, CH50 abaissés) dans la glomérulonéphrite aiguë ?","Par consommation du complément lors de la formation et du dépôt des complexes immuns circulants dans le glomérule, activant la cascade inflammatoire.","Understanding"
"Pourquoi les œdèmes de la glomérulonéphrite aiguë sont-ils dits « déclives » et variables selon l'heure de la journée ?","Ils sont matinaux au visage, lombes et membres supérieurs si le patient reste couché, puis descendent au cours de la journée vers les membres inférieurs si le patient marche.","Understanding"
"Un enfant de 8 ans consulte pour une HTA, des œdèmes du visage le matin et des urines « bouillon sale ». Il a eu une angine il y a 18 jours. Quelle est l'hypothèse diagnostique principale ?","Glomérulonéphrite aiguë post-streptococcique, compte tenu de l'âge (entre 2-12 ans), de l'intervalle libre de 15-21 jours, du syndrome néphritique aigu (HTA, œdèmes, urines « bouillon sale »).","Application"
"Un patient présente une glomérulonéphrite aiguë avec C3 et C4 bas. Un mois plus tard, le C4 est remonté à la normale mais le C3 reste bas. Cela oriente-t-il vers une glomérulonéphrite aiguë ou vers une glomérulonéphrite extra-membraneuse (GEM) ?","Cela oriente vers une glomérulonéphrite aiguë. Le document précise que dans la GNA, la remontée du C4 est plus rapide que celle du C3 et du CH50, tout se normalisant en 1 mois. Un C3 encore bas à 1 mois ne serait pas typique.","Application"
"Comparez la cinétique de normalisation du complément (C3, C4, CH50) entre la glomérulonéphrite aiguë et la glomérulonéphrite extra-membraneuse (GEM) ?","Le document indique pour la GNA : remontée rapide du C4 et plus lente du C3 et CH50, avec normalisation complète en 1 mois. Cette cinétique permet de différencier de la GEM (non détaillée dans ce document mais mentionnée comme diagnostic différentiel).","Analysis"
"Pourquoi la protéinurie de la glomérulonéphrite aiguë est-elle qualifiée de « non sélective » ?","Le document mentionne « protéinurie non sélective » sans en expliquer le mécanisme. En néphrologie générale (hors document), cela signifie que le filtre glomérulaire laisse passer des protéines de haut poids moléculaire du fait de l'atteinte inflammatoire diffusa – le document ne donne pas plus de détails.","Analysis"
