question, answer, explanation, difficulty
"Quels sont les trois types d'échographies réalisées pendant la grossesse et à quels trimestres ?", "1er trimestre (11-13 SA 6j) : échographie de datation ; 2ème trimestre (22 SA) : échographie morphologique ; 3ème trimestre (32 SA) : échographie biométrique", "Document : 'Echographie : 1 : datation, 2 : morphologique, 3 : biométrique'", "Medium"
"Quelles sont les sérologies obligatoires lors de la première consultation prénatale ?", "Rubéole, toxoplasmose, syphilitique, HBs, VIH proposé, groupe sanguin, RAI", "Document : 'Examens biologiques obligatoires : Sérologies : Rubéole, Toxoplasmose, syphilitique, HBs. 1ère détermination du groupe sanguin ABO, Rh, Kell. RAI.'", "Medium"
"Quels sont les conseils hygiéno-diététiques pour prévenir la toxoplasmose ?", "Laver fruits et légumes, manger viandes bien cuites ou congelées, éviter contact avec chats et leurs excréments", "Document : 'Laver soigneusement les fruits et légumes, Manger les viandes bien cuites ou congelées, Eviter les contacts avec les chats et leurs excréments'", "Easy"
"Quels sont les quatre facteurs de risque de diabète gestationnel cités dans le document ?", "Âge ≥ 35 ans, IMC ≥ 25 kg/m², antécédent familial 1er degré de diabète, antécédent personnel de diabète gestationnel ou de macrosomie fœtale (>4kg ou >89ème percentile)", "Document : 'Âge ≥ 35 ans, IMC ≥ 25 kg/m², Antécédent familial au premier degré de diabète, Antécédant personnel de diabète gestationnel ou de macrosomie fœtale (>4kg ou >89ème percentile)'", "Difficult"
"Quelle est la conduite à tenir devant une femme Rh négatif avec RAI négative et fœtus Rh D positif ?", "Injection de Rophylac* 300µg IV à 28 SA (+/- 1 semaine) pour prévention de l'allo-immunisation fœto-maternelle", "Document : 'injection IV de Rophylac* 300µg à 28 SA +/- 1 semaine'", "Medium"
"Quels sont les signes d'appel du travail à expliquer à la patiente lors de la 7ème consultation ?", "Perte d'eaux (RPM), contraction utérine, perte du bouchon muqueux", "Document : 'Expliquer à la patiente quand elle doit venir à la maternité (perte d'eaux, contraction utérine, perte de bouchon muqueux)'", "Easy"
"Quelles sont les mesures de prévention de la listériose pendant la grossesse ?", "Éviter fromages non pasteurisés et charcuteries artisanales", "Document : 'Eviter les fromages non pasteurisés, les charcuteries artisanales (prévention de la listériose)'", "Easy"
"Quels sont les trois examens à réaliser lors de la consultation du 4ème mois (16-20 SA) ?", "Examen général/poids/TA, BU, auscultation BDCF/MAF/HU, sérologie toxo si négative, prescription écho 2ème trimestre", "Document détaille les éléments", "Medium"
"Quelle est l'importance de la mesure de la clarté nucale à l'échographie du 1er trimestre ?", "Dépistage de la trisomie 21 et d'autres anomalies chromosomiques", "Document : 'mesure de clarté nucale' associée au dépistage combiné de la trisomie 21", "Medium"
"À partir de quel âge gestationnel peut-on visualiser le sac gestationnel, l'embryon sans activité cardiaque, et l'embryon avec activité cardiaque ?", "5 SA : sac gestationnel ; 6 SA : embryon sans activité cardiaque ; 7 SA : embryon avec activité cardiaque", "Document : '5SA : sac gestationnel ; 6SA : embryon sans activité cardiaque, 7SA : embryon avec activité cardiaque'", "Difficult"
"Quels sont les objectifs de l'échographie du 1er trimestre dite 'de datation' ?", "Dater la grossesse, compter le nombre d'embryons, préciser localisation intra-utérine, caractère normal/molaire, mesure clarté nucale", "Document : 'pour dater la grossesse, compter le nombre d'embryon et préciser la localisation intra-utérine de la grossesse, le caractère normal ou molaire, avec mesure de clarté nucale'", "Medium"
"Quel est l'intérêt du génotype du Rh D fœtal sur sang maternel chez une femme Rh négatif ?", "Éviter l'injection de gammaglobulines anti-D si le fœtus est Rh négatif (pas de risque d'allo-immunisation)", "Document : 'cet examen permet d'éviter l'injection de gammaglobulines anti-D si le fœtus est Rh négatif'", "Difficult"
"Quels sont les trois examens à réaliser lors de la consultation du 6ème mois (24-28 SA) ?", "Examen général/poids/TA, BDCF/MAF/HU, BU, dépistage diabète si FDR, NFS/RAI, sérologie toxo, prescription écho 3ème trimestre, information cours préparation accouchement, prescription bas de contention", "Document détaille la 4ème consultation", "Medium"
"Quel est le traitement prophylactique de la carence martiale à partir de 28 SA ? Pourquoi ?", "60 mg/j de fer par voie orale ; pour prévenir l'anémie ferriprive de grossesse", "Document : 'Systématique à partir de 28 SA : traitement prophylactique : 60mg/j'", "Medium"
"Quelle est la conduite à tenir devant un col raccourci à l'échographie au 6ème mois ?", "Surveillance rapprochée, repos, traitement tocolytique si menace d'accouchement prématuré", "Document : 'réaliser une échographie du col utérin par voie vaginale pour mesurer la longueur cervicale' – implication clinique", "Difficult"
"Quels sont les objectifs de la consultation post-natale ?", "Évaluation psychologique, examen général, examen périnée et seins, prescription rééducation abdominale/périnéale (10 séances), prescription contraception, FCU", "Document : 'Evaluation de l'état psychologique, Examen général, Examen du périnée et des seins, prescription de séances de rééducation abdominale et périnéale (10 séances), Prescription de contraception et de FCU'", "Medium"
"Pourquoi le dépistage du portage vaginal du streptocoque B est-il réalisé au 8ème mois ?", "Pour traiter la mère pendant le travail et prévenir l'infection néonatale à streptocoque B", "Document : 'qu'il faut traiter uniquement lors de la mise en travail'", "Medium"
"Quels sont les éléments à vérifier lors du toucher vaginal systématique du 8ème mois ?", "Type de présentation fœtale, formation du segment inférieur, dimensions du bassin", "Document : 'déterminer : le type de présentation fœtale, formation du segment inférieur, examen du bassin (préciser la dimension du bassin)'", "Medium"
"Quel est le risque de la rupture prématurée des membranes (RPM) expliqué à la patiente ?", "Procidence du cordon ombilical pouvant entraîner la mort du bébé si non sorti avant 5 minutes", "Document : 'RPM (vaky ilay poche : procidence -> si non sorti avant 5mn : mort du bébé)'", "Difficult"
"Quelles sont les situations où une échographie du col est indiquée ?", "Contractions utérines au 6ème ou 7ème mois pour mesurer la longueur cervicale", "Document : 'réaliser une échographie du col utérin par voie vaginale pour mesurer la longueur cervicale'", "Medium"
"Quelle est la fréquence des consultations prénatales au 2ème trimestre ?", "Une par mois (3 consultations : 4ème, 5ème, 6ème mois)", "Document : 'Jusqu'à 6 mois : CPN assurée par le médecin ou la sage-femme'", "Easy"
