question, option1, option2, option3, option4, answer, explanation, difficulty
"Quelle est la modification anatomique de l'hypophyse pendant la grossesse ?", "Diminution de taille", "Augmentation de taille : double", "Absence de modification", "Atrophie", "2", "Le document : 'Augmentation de la taille : double'", "Easy"
"Quel est le poids de l'hypophyse en fin de grossesse ?", "0,2 à 0,4 g", "0,4 à 0,8 g", "0,8 à 1,2 g", "1,2 à 1,6 g", "2", "Le document : 'Poids : 0,4 à 0,8 g en fin de grossesse et/ ou allaitement'", "Easy"
"Comment varie la prolactine pendant la grossesse ?", "Diminution progressive", "Augmentation progressive (5-10 fois le taux normal en fin de grossesse)", "Stable", "Absence de sécrétion", "2", "Le document : 'Augmentation progressive (5 - 10 fois le taux normal en fin de grossesse)'", "Easy"
"Quel est le rôle de l'ocytocine pendant la grossesse ?", "Stimulation de la prolactine", "Régulation du travail", "Maintien de la grossesse", "Développement fœtal", "2", "Le document : 'Rôle : régulation du travail'", "Easy"
"Quel est le pourcentage de goître palpable pendant la grossesse ?", "25%", "50%", "75%", "90%", "2", "Le document : 'Gôitre palpable (50%)'", "Easy"
"Quel est le besoin calcique fœtal au 3ème trimestre ?", "100 mg/j", "200 mg/j", "300 mg/j", "500 mg/j", "3", "Le document : 'Besoins calciques fœtaux importants : 300mg/j (au 3ème trimestre)'", "Easy"
"À partir de quand la PTH augmente-t-elle pendant la grossesse ?", "Dès la 1ère semaine", "Vers 28 SA", "À 40 SA", "Après l'accouchement", "2", "Le document : 'Augmentation du Parathormone (PTH) vers 28 SA'", "Easy"
"Comment varie le cortisol pendant la grossesse ?", "Diminution", "Stable", "Augmentation jusqu'à 2 fois la normale dès le début", "Absent", "3", "Le document : 'Cortisol : taux augmenté jusqu'à 2 fois la normale dès le début de la grossesse'", "Easy"
"Quel est le rôle de la β-hCG sur la progestérone pendant les 6 premières semaines ?", "Diminution de la progestérone", "Maintien de la sécrétion de la progestérone ovarienne", "Arrêt de la progestérone", "Conversion en œstrogènes", "2", "Le document : 'Maintien de la sécrétion de la progestérone (ovarienne) durant les 6 premières semaines'", "Easy"
"À partir de quand la sécrétion de progestérone devient-elle autonome par le placenta ?", "1er mois", "4ème mois", "6ème mois", "8ème mois", "2", "Le document : 'autonome dès le 4ème mois'", "Easy"
"Quel est le rôle de l'Hormone Lactogène Placentaire (HPL) ?", "Anabolisme +++ (synthèse protéique, lipogenèse, apport énergétique au fœtus)", "Maintien de la grossesse", "Déclenchement du travail", "Lactation exclusive", "1", "Le document : 'Anabolisme +++ (Synthèse protéique, Lipogénèse, Apport énergétique au foetus (glucose)'", "Easy"
"Quelle est la modification de la glycémie pendant la grossesse ?", "Augmentation au 1er trimestre", "Baisse de la glycémie au 1er trimestre", "Stable", "Augmentation constante", "2", "Le document : 'Baisse de la glycémie (favorise l'utilisation du glucose)'", "Easy"
"Quelle est la conséquence de l'insulino-résistance en fin de grossesse ?", "Hypoglycémie", "Hyperglycémie et mobilisation des réserves", "Arrêt de la sécrétion d'insuline", "Diminution de la glycémie", "2", "Le document : 'Insulino-résistance : Augmentation de la glycémie, Mobilisation des réserves'", "Medium"
"Quel est le risque après l'accouchement lié à l'insuline résiduelle ?", "Hyperglycémie", "Hypoglycémie", "Cétose", "Acidose", "2", "Le document : 'Chute du besoin en insuline : Risque d'hypoglycémie'", "Medium"
"Quelle hormone est sécrétée dès J7 après la fécondation ?", "Progestérone", "Œstrogènes", "β-hCG", "HPL", "3", "Le document : 'Secrété de manière très précoce, dès J7 après la fécondation (syncitiontrophoblaste)'", "Easy"
"Quel est le pic de β-hCG ?", "5 SA", "8 SA", "10 SA", "12 SA", "3", "Le document : 'pic vers la 10ème semaine d'aménorrhée'", "Easy"
"Quel est le rôle de la progestérone sur l'utérus ?", "Contraction utérine", "Activité myorelaxante", "Rigidité utérine", "Hypertonie", "2", "Le document : 'Activité myorelaxante'", "Easy"
"Quel est l'effet de la progestérone sur le système immunitaire ?", "Stimulation", "Diminution pour maintenir la grossesse", "Absence d'effet", "Activation des lymphocytes", "2", "Le document : 'Diminution du système immunitaire pour maintenir la grossesse en place'", "Medium"
"Quelle est la modification de la TBG pendant la grossesse ?", "Diminution", "Augmentation", "Stable", "Absente", "2", "Le document : 'Augmentation du taux de Thyroxin Binding Globulin (TBG)'", "Easy"
"Quelle est la conséquence de l'augmentation des besoins en iode non satisfaits ?", "Hyperthyroïdie", "Goître", "Hypothyroïdie", "Myxœdème", "2", "Le document : 'augmentation des besoins, si non satisfait-> hypertrophie'", "Medium"
"Comment varie l'aldostérone pendant la grossesse ?", "Diminution", "Augmentation par stimulation du système SRA", "Stable", "Absente", "2", "Le document : 'Aldostérone : augmentation par stimulation du système SRA (augmentation du DC)'", "Medium"
"Quelle est l'action de l'HPL sur la lipogenèse ?", "Inhibition", "Stimulation par effet de l'insulinorésistance", "Sans effet", "Lipolyse", "2", "Le document : 'Lipogénèse (dû à l'effet de l'insulinorésistance : hyperinsulinisme)'", "Difficult"
"Quel est le moment de survenue possible du diabète gestationnel ?", "Dès 12 SA", "À partir de 21 SA", "Après 30 SA", "Au 3ème trimestre uniquement", "2", "Le document : 'diabète gestationnel (à partir de 21 SA)'", "Medium"
"Quelle hormone est hyperglycémiante pendant la grossesse ?", "Insuline", "Progestérone, HPL, cortisol", "Ocytocine", "Prolactine", "2", "Le document : 'toutes sont hyperglycémiantes sauf l'insuline'", "Medium"
"Quel est le rôle des œstrogènes pendant la grossesse ?", "Maintien de la grossesse mais rôle moindre par rapport à la progestérone", "Déclenchement du travail", "Lactation", "Développement fœtal exclusif", "1", "Le document : 'maintien de la grossesse mais rôle moindre par rapport à la progestérone'", "Medium"
"Quelle est la modification de la calcitonine pendant la grossesse ?", "Diminution", "Augmentation", "Stable", "Absente", "2", "Le document : 'Augmentation de la calcitonine'", "Easy"
"Quelle est la modification des catécholamines pendant la grossesse ?", "Augmentation importante", "Légère diminution", "Doublement", "Absence", "2", "Le document : 'Catécholamines : Légère diminution'", "Medium"
"Quelle est la modification de la DHEA pendant la grossesse ?", "Augmentation", "Diminution", "Stable", "Doublement", "2", "Le document : 'Diminution : DiHydroEpiAndrostérone (DHEA)'", "Medium"
"Quelle est la conséquence de l'augmentation des îlots de Langerhans ?", "Diminution de l'insuline", "Augmentation de la sécrétion d'insuline", "Diabète", "Nécrose", "2", "Le document : 'Augmentation en taille et en nombre de cellules -> augmentation de la sécrétion d'insuline'", "Medium"
"Quelle est l'action de l'HPL sur la glande mammaire ?", "Inhibition", "Activité mammotrope en synergie avec la prolactine", "Aucune", "Involution", "2", "Le document : 'Activité mammotrope en synergie avec la prolactine'", "Medium"
