"front","back","cognitive_level"
"Qu’est-ce que l’atrésie des voies biliaires (AVB) ?","Obstruction biliaire néonatale progressive pouvant entraîner cirrhose et décès si non traitée.","Recall"
"Quelle est la première cause de cholestase néonatale ?","L’atrésie des voies biliaires.","Recall"
"Quels sont les deux types principaux d’AVB ?","AVB isolé et AVB syndromique.","Recall"
"Quelle triade clinique évoque l’AVB ?","Ictère persistant, selles décolorées, hépatomégalie.","Recall"
"Quel examen est clé pour le diagnostic ?","L’échographie abdominale.","Recall"
"Pourquoi une échographie normale n’exclut pas l’AVB ?","Certaines formes peuvent ne pas montrer d’anomalies évidentes.","Understanding"
"Quel examen permet d’éliminer le diagnostic si l’arbre biliaire est visible ?","La cholangiographie.","Understanding"
"Quelle anomalie biologique est caractéristique ?","Hyperbilirubinémie conjuguée et cholestase hépatique.","Recall"
"Pourquoi une hypovitaminose K survient-elle ?","Absence de bile empêchant l’absorption de la vitamine K.","Understanding"
"Quel est le traitement chirurgical principal ?","L’intervention de Kasai (hépato-porto-entérostomie).","Recall"
"Quel est le but de l’intervention de Kasai ?","Rétablir un flux biliaire normal vers l’intestin.","Understanding"
"Quand doit être idéalement réalisée l’intervention de Kasai ?","Avant 1 mois de vie.","Recall"
"Quelle complication peut survenir après Kasai ?","Cholangite ascendante.","Understanding"
"Quelles autres complications sont possibles ?","Hypertension portale, bilomes, hépatocarcinome, cholangiocarcinome.","Understanding"
"Quelle est la première indication de transplantation hépatique chez l’enfant ?","L’AVB, notamment après échec du Kasai.","Understanding"
"Quelle proportion des AVB sont isolées ?","90 %.","Recall"
"Quelle proportion des AVB sont syndromiques ?","10 %.","Recall"
"Quelle anomalie est fréquente dans l’AVB syndromique ?","Polysplénie.","Recall"
"Pourquoi le diagnostic précoce est-il crucial ?","Pour améliorer le pronostic et éviter la cirrhose précoce.","Analysis"
"Quelle est la survie avec le foie natif sans transplantation après Kasai ?","32 % à 5 ans, 27 % à 10 ans.","Analysis"
"Qu'est-ce que l'atrésie des voies biliaires (AVB) ?","C'est une cholangiopathie oblitérante, de cause inconnue, caractérisée par une obstruction des voies biliaires survenant en période périnatale (le foie est formé, pas de malformation). C'est la première cause de cholestase néonatale.","Recall"
"Quelle est l'évolution spontanée de l'atrésie des voies biliaires ?","L'évolution spontanée se fait vers une cholestase et une cirrhose irréversible, avec décès avant l'âge de 3 ans.","Recall"
"Pourquoi l'atrésie des voies biliaires est-elle une urgence diagnostique ?","Parce que le traitement doit être fait le plus tôt possible pour éviter l'évolution vers la cirrhose et le décès précoce.","Understanding"
"Quelles sont les deux présentations de l'atrésie des voies biliaires et leurs fréquences respectives ?","AVB isolé (90%) et AVB syndromique (10%). La forme syndromique est d'origine génétique à évoquer, avec association d'anomalies intra-abdominales, notamment le syndrome de polysplénie (rates multiples), des malformations vasculaires et cardiaques.","Recall"
"Quels sont les quatre types anatomiques d'atrésie des voies biliaires selon la classification du document ?","Type 1 (3%) : atrésie limitée au cholédoque. Type 2 (6%) : kyste hilaire communiquant avec des voies biliaires intrahépatiques dystrophiques. Type 3 (19%) : atrésie respectant la vésicule, le cystique et le cholédoque. Type 4 (72%) : atrésie complète des voies biliaires intra et extra-hépatique.","Recall"
"Quelle est la triade clinique évocatrice de l'atrésie des voies biliaires en période néonatale ?","Ictère cutanéo-muqueux persistant au-delà de 2 semaines, selles décolorées (mastic), urines foncées, et hépatomégalie.","Recall"
"Quel examen clé est recommandé pour le diagnostic d'atrésie des voies biliaires et à quelle condition ?","L'échographie abdominale, examen clé, faite après 12h de jeun pour avoir un bon remplissage de la vésicule biliaire, enfant perfusé. Une échographie normale n'élimine pas le diagnostic.","Application"
"Quelles sont les anomalies échographiques évocatrices d'atrésie des voies biliaires ?","Pas de dilatation des voies biliaires ou vésicule biliaire non visible (80%), ou kyste hilaire, ou syndrome de polysplénie (rate multiple, absence de VCI rétro-hépatique et de veine porte pré-duodénale).","Recall"
"Quel examen permet d'éliminer formellement le diagnostic d'atrésie des voies biliaires ?","La cholangiographie : la visualisation de tout l'arbre biliaire élimine le diagnostic.","Understanding"
"Quelles sont les anomalies biologiques observées dans l'atrésie des voies biliaires ?","Syndrome de cholestase hépatique et de cytolyse : hyperbilirubinémie conjuguée, augmentation des phosphatases alcalines, transaminases et gGT. Hypovitaminose K (baisse des cofacteurs II, VII, X) pouvant entraîner un syndrome hémorragique. Tardivement : insuffisance hépatique.","Recall"
"Quel est le traitement chirurgical de référence de l'atrésie des voies biliaires ?","L'intervention de Kasai (hépato-porto-entérostomie), une dérivation bilio-digestive avec anastomose entre le hile hépatique et la première anse jéjunale en Y après exérèse du reliquat biliaire. Idéale avant 1 mois de vie.","Recall"
"Quelles sont les complications de l'intervention de Kasai ?","Cholangites (ascendantes ou récidivantes), syndrome d'hypertension portale (HTP) si intervention trop tardive, syndrome hépato-pulmonaire, cavités biliaires intrahépatiques (bilomes), et risque de cancers (hépatocarcinome, hépatoblastome, cholangiocarcinome).","Recall"
"Quelle est l'indication de la transplantation hépatique dans l'atrésie des voies biliaires ?","Première indication de transplantation hépatique chez l'enfant. Indiquée en cas d'échec de l'intervention de Kasai, ou développement de cirrhose et d'HTP même après succès de Kasai.","Understanding"
"Quel est le pronostic de survie avec le foie natif à 5 ans et à 10 ans ?","Survie avec le foie natif : 32% à 5 ans, 27% à 10 ans.","Recall"
"Quel est le pronostic si traitement précoce et transplantation hépatique ?","90% de vie normale, selon le document.","Recall"
"Un nouveau-né présente un ictère persistant à 3 semaines, des selles décolorées et une hépatomégalie. Quel diagnostic suspectez-vous et quel est le délai idéal pour l'intervention de Kasai ?","Suspecter une atrésie des voies biliaires. L'intervention de Kasai est idéale avant 1 mois de vie (30 jours).","Application"
"Quels sont les diagnostics différentiels de l'atrésie des voies biliaires cités dans le document ?","Syndrome d'Alagille, déficit en alpha-1-antitrypsine, mucoviscidose, lithiase de la voie biliaire principale, sténose congénitale (exceptionnelles).","Recall"
"Quels moyens médicaux sont mentionnés pour préparer ou traiter l'atrésie des voies biliaires ?","Préparation pour l'intervention : supplémentation protidique. Traitement symptomatique, nutritionnel et vitaminique, de la cholestase. Vaccination contre les virus de l'hépatite A et B.","Recall"
"Quelles malformations peuvent être associées à l'AVB syndromique ?","Syndrome de polysplénie (prédominance féminine), hétérotaxie (foie médian, situs inversus avec malrotation intestinale), malformation veineuse, cardiopathie (Tétralogie de Fallot, sténose de l'artère pulmonaire).","Recall"
"Quels signes cliniques tardifs de cirrhose peuvent apparaître dans l'AVB ?","Foie dur à bord tranchant, splénomégalie, signes d'hypertension portale (HTP).","Recall"
