"question","answer","explanation","difficulty"
"Donnez la définition de la prématurité selon le document.","Toute naissance vivante survenue entre la 22ème et 37ème semaine d’aménorrhée (SA).","Introduction.","Easy"
"Quels sont les trois types de prématurité selon l’âge gestationnel (classification détaillée) ?","Extrême prématurité : 22-27 SA 6j (22-24 : soins palliatifs), Grande prématurité : 28-31 SA 6j, Prématurité modérée : 32-33 SA 6j, Prématurité légère : 34-36 SA 6j.","Document.","Easy"
"Citez trois méthodes de détermination de l’âge gestationnel.","Date des derniers règles, échographie (12-14 SA), score morphologique (FARR/Finnstrom), score neurologique (Ballard/Dubowitz), examens électrophysiologiques (EEG, PEA).","Diagnostic positif.","Easy"
"Citez quatre signes cliniques du prématuré.","Petite taille, bien proportionné, peau érythrosique fine transparente gélatineuse, œdème des extrémités, lanugo abondant et épais.","Document.","Easy"
"Quelle est la différence entre un RCIU harmonieux et dysharmonieux sur les courbes de Leroy et Lefort ?","Harmonieux : toutes les mensurations sont touchées. Dysharmonieux : une seule mensuration (ex: poids) est touchée.","Document.","Easy"
"Citez quatre facteurs favorisants de prématurité.","Primiparité, multiparité, âge <18 ou >35 ans, antécédents de prématurité, travail pénible, conditions socio-économiques défavorables, grossesse non désirée.","Étiologies – facteurs favorisants.","Easy"
"Citez trois causes médicales de prématurité.","Pathologie vasculaire placentaire (prééclampsie, RCIU sévère), accidents hémorragiques (décollement placentaire, HRP, placenta praevia), hypoxie intra-utérine sévère, pathologie maternelle nécessitant extraction rapide.","Document.","Easy"
"Citez trois complications respiratoires du prématuré.","Apnées du prématuré, maladie des membranes hyalines (défaut de surfactant), dysplasie broncho-pulmonaire (oxygénodépendance >28j).","Complications respiratoires.","Easy"
"Citez trois complications métaboliques et rénales du prématuré.","Hypothermie, hypoglycémie, hypocalcémie, déshydratation, tubulopathie du grand prématuré (perte de sodium), toxicité médicamenteuse, ictère.","Document.","Easy"
"Quel est le seuil d’hypoglycémie chez le prématuré ?","Glycémie < 0,3 g/l.","Document.","Easy"
"Quel est le seuil d’hypocalcémie chez le prématuré ?","Calcémie < 80 mg/l.","Document.","Easy"
"Citez trois complications digestives du prématuré.","Reflux gastro-œsophagien, iléus fonctionnel, entérocolite ulcéro-nécrosante.","Document.","Easy"
"Citez trois complications neurologiques du prématuré.","Hémorragies intra-ventriculaires (HIV), leucomalacie périventriculaire (LPV), retard de développement psychomoteur, épilepsie secondaire.","Document.","Easy"
"Quelle est la complication ophtalmologique majeure du prématuré ?","Rétinopathie du prématuré (surtout si oxygénodépendance prolongée, extrême prématuré).","Document.","Easy"
"Citez trois éléments du pronostic mauvais du prématuré.","Âge gestationnel bas, association à une hypotrophie, détresse respiratoire sévère, infections sévères, lésions cérébrales sévères.","Pronostic.","Easy"
"Citez trois moyens de prise en charge en néonatologie.","Incubateur, monitoring cardio-respiratoire, prise en charge des urgences, méthode Kangourou.","Prise en charge – En néonatologie.","Easy"
"Quels sont les trois niveaux de prévention de la prématurité ?","1. Prévention de la survenue (planning familial, CPN ≥8). 2. Prise en charge correcte de la MAP (tocolyse, corticothérapie, antibiothérapie). 3. Prévention du décès (réanimation, alimentation, méthode Kangourou, complications).","Document.","Easy"
"Quelle est la vitamine thérapie spécifique du prématuré ?","Vitamines A, D, E, K.","Document.","Medium"
"Pourquoi la méthode Kangourou est-elle recommandée ?","Alternative à la couveuse, disponible, sans coût, possible quel que soit le niveau de soin, naturelle et affectueuse.","Document.","Medium"
"Expliquez le mécanisme de la maladie des membranes hyalines.","Défaut de production de surfactant par immaturité pulmonaire, surtout chez les grands prématurés.","Document.","Medium"
"Pourquoi le prématuré est-il sujet à l’hypothermie ?","Par immaturité des mécanismes de thermorégulation, grande surface corporelle, faible tissu adipeux.","Non explicite, mais déductible.","Medium"
"Quelle est la particularité de la tubulopathie du grand prématuré ?","Perte de sodium urinaire par immaturité tubulaire.","Document.","Medium"
"Pourquoi le prématuré est-il très sujet à l’ictère nucléaire ?","Par immaturité de la barrière hémato-méningée et faible liaison à l’albumine, bilirubine libre toxique.","Document.","Medium"
