"front","back","cognitive_level"
"Quelle est la définition de la drépanocytose chez l’enfant ?","Anémie hémolytique constitutionnelle, transmise sur le mode autosomique récessif, due à une hémoglobine anormale : Hb S.","Recall"
"Quelle est la prévalence de la drépanocytose en Afrique et à Madagascar ?","- Afrique : 30%
- Madagascar : 10% (avant : Sud-Est ; maintenant : partout)","Recall"
"Entre quels âges la mortalité est-elle la plus élevée en Afrique ?","Entre 6 mois et 5 ans (M6 et A5).","Recall"
"Expliquez la physiopathologie de la drépanocytose.","Mutation ponctuelle de la chaîne β de l’hémoglobine → polymérisation de l’Hb S lorsque désoxygénée → formation de petits agrégats puis fibres hélicoïdales → falciformation des globules rouges en lames → baisse de déformabilité des GR → obstruction, thromboses, altération membranaire → hémolyse.","Understanding"
"Pourquoi la drépanocytose ne se manifeste-t-elle pas avant l’âge de 6 mois ?","Avant 6 mois, l’Hb F (fœtale) n’est pas encore remplacée par l’Hb S pathologique. L’Hb F protège contre la falciformation.","Recall"
"Quel est le syndrome révélateur typique de la drépanocytose entre 6 et 18 mois ?","Le syndrome pieds-mains : tuméfaction aiguë du dos des mains et des pieds (œdème, peau tendue et luisante, douleur importante).","Recall"
"Quels sont les signes cliniques généraux de la drépanocytose chez l’enfant ?","- Syndrome douloureux (localisé ou diffus)
- Syndrome anémique (pâleur des ongles, peau, paumes, plantes, muqueuses)
- État général altéré (fatigue, asthénie)
- Œdème, ictère léger
- Souffle systolique, tachycardie, dyspnée
- Splénomégalie","Recall"
"Quels sont les signes paracliniques de la drépanocytose ?","- NFS : anémie hémolytique régénérative (réticulocytes élevés)
- Test d’Emmel : falciformation positive
- Électrophorèse de l’hémoglobine : présence d’Hb S, Hb F et Hb A2 ; absence d’Hb A","Recall"
"Quelles sont les deux grandes catégories de complications aiguës de la drépanocytose ?","- Infections (pulmonaires, méningées, ostéoarticulaires, septicémies)
- Crises vaso-occlusives (AVC, syndrome thoracique aigu, priapisme, crises douloureuses)","Recall"
"Quelle infection virale peut provoquer une érythroblastopénie aiguë chez l’enfant drépanocytaire ?","L’infection à Parvovirus B19.","Recall"
"Qu’est-ce que la séquestration splénique ?","Accident suraigu : splénomégalie massive évoluant en quelques heures, avec choc, hémoglobine effondrée à 3-4 g/dL, plaquettes à 10 G/L. Risque de relargage brutal.","Recall"
"Quels sont les germes responsables de méningite chez l’enfant drépanocytaire ?","Haemophilus influenzae et Salmonella.","Recall"
"Quels sont les accidents vaso-occlusifs neurologiques possibles ?","- AVC (parésie transitoire, hémiplégie, convulsions)
- Atteinte des paires crâniennes","Recall"
"Qu’est-ce que le syndrome thoracique aigu ?","Accident vasculaire thoracique : pneumopathie dyspnéisante hypoxémiante (infarctus pulmonaire).","Recall"
"Quelle complication urogénitale peut survenir chez le garçon drépanocytaire ?","Priapisme (thrombose du corps caverneux) pouvant entraîner une impuissance définitive.","Recall"
"Quels sont les types de formes homozygotes et hétérozygotes ?","- Homozygote SS : forme typique
- Hétérozygote AS : en règle asymptomatique
- Hétérozygote composite S bêta-thalassémie : risques et prise en charge identiques à la forme SS","Recall"
"Quels sont les diagnostics différentiels d’une douleur abdominale chez l’enfant drépanocytaire ?","- Appendicite aiguë (fièvre, douleur FID, bilan inflammatoire)
- Péritonite (contracture généralisée)
- Invagination intestinale aiguë du nourrisson (douleur paroxystique avec pâleur, boudin d’invagination)
- Hernie étranglée (masse irréductible aux orifices herniaires)
- Occlusion parasitaire (examen des selles)","Analysis"
"Quels sont les diagnostics différentiels d’un syndrome anémique fébrile ?","- Paludisme grave compliqué (coma, goutte épaisse, zone endémique)","Recall"
"Quels sont les diagnostics différentiels d’une douleur ostéoarticulaire ?","- Ostéomyélite (douleur brutale fébrile, métaphyse, bilan inflammatoire)
- Arthrite (limitation douloureuse de la mobilité, épanchement)
- Rhumatisme articulaire aigu (angines à répétition, polyarthrite mobile, signes cardiaques, ASDO)","Recall"
"Quels sont les moyens hygiéno-diététiques et médicamenteux du traitement curatif ?","- Hygiéno-diététiques : repos, hydratation (3L/m² si voie orale, 2L/m² si IV)
- Médicaments : O2, antalgiques (paracétamol, ibuprofène, codéine), antispasmodiques, anxiolytiques, folates, transfusion, antibiotiques, cytostatique (hydréa), greffe de moelle","Recall"
"Quels antibiotiques sont indiqués selon le site infectieux ?","- Poumons : amoxicilline-acide clavulanique, macrolides
- Os et méninges : C3G et fosfomycine ou vancomycine","Recall"
"Quel est le traitement préventif de la drépanocytose ?","- Acide folique 1 mg/kg/j
- Vaccination à jour (PEV, Haemophilus influenzae, pneumocoque, salmonelles, méningocoque, hépatites A et B)
- Antibioprophylaxie par pénicilline
- Diagnostic prénatal pour conseil génétique
- Chélation du fer (Desferal) si transfusions multiples
- Splénectomie si séquestration grave","Recall"
"Quelle est la surveillance nécessaire chez l’enfant drépanocytaire ?","- Réponse thérapeutique (évaluation de la douleur)
- Dépister les effets secondaires
- Complications de la transfusion (allo-immunisation, contamination virale, surcharge en fer)
- Prise en charge médico-sociale (soutien psychologique)","Recall"
"Quelle est la conclusion du document sur la drépanocytose ?","- Maladie fréquente
- Formes graves et compliquées fréquentes
- Hospitalisation : hydratation, antibiotiques, transfusion de concentrés globulaires, prévention des crises","Recall"
