"term","definition","contextual_explanation"
"abcès péri‑anal","Infection de l’anus faite de collection abcédée intra‑sphinctérienne.","Forme aiguë ou chronique d’infection anale dont le point de départ est au niveau des glandes de Hermann Desfons."
"fistule péri‑anale","Mode évolutif ou complication évolutive de l’abcès péri‑anal qui s’ouvre vers la peau ou vers d’autres organes avoisinants.","Conséquence de la non‑résorption du trajet fistuleux, avec entretien du foyer infectieux."
"glandes de HERMANN DESFONS","Glandes situées sur la ligne des cryptes à l’intérieur du canal anal.","Leur infection serait à l’origine de la suppuration conduisant à l’abcès ou à la fistule péri‑anale."
"canal anal","Segment terminal du tube digestif entre le rectum et l’anus.","Le point de départ de l’infection se situe à l’intérieur du canal anal sur la ligne des cryptes."
"cryptes","Replis muqueux situés dans le canal anal.","Les fonds des cryptes communiquent avec le micro‑abcès via les canaux glandulaires ; l’orifice interne primaire s’y trouve."
"micro‑abcès intra‑sphinctérien","Petite collection purulente située à l’intérieur du sphincter anal.","Se constitue initialement et se communique avec les cryptes par les canaux glandulaires."
"orifice interne primaire","Ouverture du trajet infectieux située dans les cryptes.","Permet la communication entre le micro‑abcès et les cryptes."
"orifice externe","Issue du trajet infectieux vers la peau.","Une des voies de diffusion du micro‑abcès."
"orifice interne secondaire","Issue du trajet infectieux vers le rectum.","Seconde voie de diffusion possible du micro‑abcès."
"abcès récidivant","Récidive d’abcès après une période d’accalmie.","Survient quand le trajet fistuleux se résorbe, le foyer se déterge momentanément puis se réveille."
"abcès sous‑muqueux","Abcès situé sous la muqueuse anale.","Un des types topographiques d’abcès péri‑anal."
"abcès sous‑cutané","Abcès situé sous la peau de la région anale.","Type topographique d’abcès péri‑anal."
"espace pelvi‑rectal supérieur","Espace anatomique au‑dessus du rectum, dans le pelvis.","Localisation possible d’un abcès péri‑anal."
"fosse ischio‑rectale","Espace pair situé de chaque côté du rectum, limité par l’ischion.","Un abcès de cette fosse réalise un abcès en fer à cheval."
"abcès en fer à cheval","Abcès de la fosse ischio‑rectale ayant une forme caractéristique.","Type topographique d’abcès péri‑anal."
"abcès inter‑sphinctérien","Abcès situé entre le sphincter interne et le sphincter externe de l’anus.","Un des cinq types topographiques d’abcès péri‑anal."
"classification de ARNOUS BENSAUDE","Classification des fistules péri‑anales selon leur trajet par rapport aux sphincters.","Comprend quatre types : intra‑sphinctérienne, trans‑sphinctérienne, supra‑sphincterienne, intramurale."
"fistule intra‑sphinctérienne","Fistule dont le trajet sous‑muqueux chemine à l’intérieur du sphincter.","Selon la classification d’Arnous Bensaude."
"fistule trans‑sphinctérienne","Fistule qui traverse le sphincter anal.","Divisée en forme inférieure (entre sphincter sous‑cutané et sphincter superficiel) et forme profonde (entre sphincter profond et releveurs de l’anus)."
"sphincter sous‑cutané","Partie la plus superficielle du sphincter externe de l’anus.","Intervient dans la fistule trans‑sphinctérienne inférieure."
"sphincter superficiel","Couche moyenne du sphincter externe.","Limite de la fistule trans‑sphinctérienne inférieure."
"sphincter profond","Partie la plus profonde du sphincter externe.","Limite de la fistule trans‑sphinctérienne profonde."
"releveurs de l’anus","Muscles du plancher pelvien qui soutiennent l’anus.","Trajet entre le sphincter profond et les releveurs pour la fistule trans‑sphinctérienne profonde ; la fistule supra‑sphincterienne traverse le releveur."
"fistule supra‑sphincterienne","Fistule qui traverse le releveur de l’anus.","Troisième type de la classification d’Arnous Bensaude."
"fistule intramurale","Fistule qui chemine entre le sphincter interne et le groupe du sphincter externe.","Quatrième type de la classification."
"douleur anale permanente","Douleur continue, pulsatile, non rythmée par la défécation mais aggravée par celle‑ci.","Signe fonctionnel principal de l’abcès péri‑anal."
"tuméfaction péri‑anale","Gonflement visible autour de l’anus, rose, luisant, prêt à se rompre.","Signe d’inspection de l’abcès péri‑anal."
"toucher péri‑anal","Palpation de la région autour de l’anus.","Étape du toucher rectal pour apprécier induration et diffusion de l’infection."
"déplissement de la région anale","Manœuvre d’écartement des plis anaux.","Permet de faire sourdre du pus en cas d’abcès péri‑anal."
"béance du canal anal","Ouverture anormale et persistante du canal anal.","Signe au toucher anal dans l’abcès péri‑anal."
"ligne pectinée","Ligne dentelée située dans le canal anal, séparant l’épithélium cylindrique de l’épithélium pavimenteux.","Siège de la tuméfaction en forme d’amande, la plus fréquente pour l’abcès ; également niveau où l’anuscopie objective l’orifice interne de la fistule."
"anuscopie","Examen endoscopique du canal anal.","Montre l’orifice primaire interne de l’abcès ou l’orifice interne de la fistule avec écoulement de pus."
"écoulement anal rythmé par la défécation","Écoulement glaireux ou purulent survenant lors du passage des selles.","Signe fonctionnel principal de la fistule péri‑anale."
"orifice externe (fistule)","Ouverture cutanée du trajet fistuleux.","Siège au niveau d’un trou cicatriciel, parfois multiple, laissant s’écouler du pus."
"fistulographie","Examen radiologique avec injection de produit de contraste dans le trajet fistuleux.","Opacifie le trajet, objectivant sa communication avec le canal anal et pouvant révéler un diverticule (poche)."
"diverticule (poche)","Excroissance ou cavité annexe sur le trajet fistuleux.","Peut être visible à la fistulographie."
"urgence chirurgicale","Situation nécessitant une intervention chirurgicale immédiate.","L’abcès péri‑anal doit être mis à plat en urgence pour éviter les complications sphinctériennes et la péritonite."
"mise à plat","Incision chirurgicale permettant d’ouvrir largement la collection purulente.","Technique réalisée par incision radiée en pleine collection, avec drainage."
"incision radiée","Incision pratiquée en forme de rayon autour de l’anus.","Permet un drainage efficace de l’abcès péri‑anal."
"fistulectomie","Exérèse chirurgicale complète du trajet fistuleux.","Traitement de la fistule péri‑anale."
