question,answer,explanation,difficulty
"Le VPPB est une affection mécanique de l’oreille interne.",True,"Le document indique : Affection mécanique de l’oreille interne.","Easy"
"Le VPPB est dû à une dégradation des otolithes qui se déposent dans le canal semi-circulaire.",True,"Le document précise : Dégradation des otolithes qui se déposent dans le canal semi-circulaire.","Easy"
"Le VPPB est le vertige le plus fréquent.",True,"Le document indique : C’est le plus fréquent des vertiges.","Easy"
"Le vertige du VPPB dure plusieurs heures.",False,"Le document précise : Durée < 1 minute.","Easy"
"Le VPPB s’accompagne souvent de surdité et d’acouphènes.",False,"Le document indique : Isolée (pas de surdité, pas de signe cochléaire).","Easy"
"Le nystagmus du VPPB est spontané, sans provocation.",False,"Le document précise : Nystagmus : pas spontané, toujours provoqué.","Easy"
"La manœuvre de Dix Hallpike permet de confirmer le diagnostic de VPPB.",True,"Le document indique : Pour confirmer le diagnostic : Manoeuvre de DIX HALLPIKE.","Easy"
"Dans le VPPB du canal postérieur, le nystagmus est horizontal.",False,"Le document précise : Nystagmus : Rotatoire et géotropique.","Medium"
"Le VPPB du canal horizontal géotropique correspond à une cupulolithiase.",False,"Le document indique : GEOTROPIQUE : canalolithiase.","Medium"
"Le VPPB du canal horizontal agéotropique correspond à une cupulolithiase.",True,"Le document précise : AGEOTROPIQUE : cupulolithiase.","Medium"
"La manœuvre de Semont est utilisée pour le VPPB du canal postérieur.",True,"Le document indique : VPPB postérieur : Manoeuvre de Semont, ou d’Epley.","Easy"
"La manœuvre de roulis est utilisée pour le VPPB du canal horizontal.",True,"Le document précise : VPPB horizontal : roulis.","Medium"
"Le taux de guérison du VPPB après manœuvres est de 84%.",True,"Le document indique : Guérison : 84%.","Medium"
"Le VPPB peut être secondaire à une chirurgie de l’oreille moyenne.",True,"Le document cite : Chirurgie de l’oreille moyenne +++ comme étiologie secondaire.","Medium"
"L’insuffisance vertébro-basilaire donne un vertige positionnel avec nystagmus.",False,"Le document indique : Insuffisance vertébro-basilaire (vertige positionnel, pas de nystagmus).","Difficult"
"Le VPPB peut être associé à une neuronite vestibulaire.",True,"Le document cite : Formes associées : Neuronite ou névrite vestibulaire.","Medium"
"La maladie de Ménière peut être associée au VPPB.",True,"Le document précise : Formes associées : VPPB et maladie de Ménière.","Medium"
"L’otospongiose est une forme associée au VPPB.",True,"Le document cite : Otospongiose.","Medium"
"Il existe un traitement médicamenteux spécifique du VPPB.",False,"Le document indique : Pas de traitement médical.","Easy"
"La rééducation vestibulaire est indiquée en cas de persistance de déséquilibre.",True,"Le document précise : Persistance de déséquilibre : rééducation vestibulaire.","Medium"
"Le VPPB est une urgence neurochirurgicale.",False,"Le document le classe dans les affections bénignes.","Easy"
"Dans la cupulolithiase, la cupule est alourdie.",True,"Le document précise : Cupulolithiase : Cupule alourdie.","Medium"
"Dans le VPPB du canal horizontal géotropique, le côté de la lithiase donne plus de vertige.",True,"Le document indique : Du côté du lithiase : plus de vertige et plus de nystagmus.","Difficult"
"Dans le VPPB du canal horizontal agéotropique, le côté de la lithiase donne plus de vertige.",False,"Le document précise : Du côté du lithiase : moins de vertige et moins de nystagmus.","Difficult"
