"front","back","cognitive_level"
"Quelle est la différence entre une lésion glomérulaire focale et une lésion diffuse ?","Une lésion focale concerne moins de 50 % des glomérules (pour un groupe de glomérules), tandis qu’une lésion diffuse concerne plus de 50 % des glomérules.","Recall"
"Quelle est la différence entre une lésion segmentaire et une lésion globale sur un glomérule ?","Une lésion segmentaire n’atteint qu’une partie du glomérule, alors qu’une lésion globale atteint la totalité du glomérule.","Recall"
"Quelles sont les trois couches de la membrane basale glomérulaire en microscopie électronique ?","Les trois couches sont : la lamina rara interna (côté endothélial), la lamina densa (couche dense centrale), et la lamina rara externa (côté podocytaire).","Recall"
"Citez trois types de lésions rénales macroscopiques parenchymateuses.","Nécrose, kystes, abcès, tumeur (quatre exemples possibles – le document en cite quatre).","Recall"
"Quels sont les trois types cellulaires du glomérule ?","1) Cellules épithéliales (pariétales tapissant la capsule de Bowman / viscérales = podocytes), 2) Cellules endothéliales (versant interne tapissant la membrane basale), 3) Cellules mésangiales (maintiennent les capillaires et élaborent la matrice du mésangium).","Recall"
"Expliquez le mécanisme de formation de la lésion dans la glomérulonéphrite extracapillaire.","C’est une lésion de type inflammatoire (suffixe -ite) au niveau des glomérules, avec prolifération cellulaire située dans la chambre urinaire (donc extracapillaire, au-delà des capillaires).","Understanding"
"Pourquoi la lésion glomérulaire minime (LGM) est-elle appelée « minime » alors qu’elle donne un syndrome néphrotique ?","Car en microscopie optique, on n’observe aucune lésion visible. L’atteinte n’est détectable qu’en microscopie électronique (anomalie des podocytes non visible en optique).","Understanding"
"Un patient présente un syndrome néphrotique pur. En microscopie optique, le glomérule est normal. Quelle néphropathie est la plus probable selon le document ?","La lésion glomérulaire minime (LGM), car elle associe un syndrome néphrotique pur à l’absence de lésion visible en microscopie optique.","Application"
"Un examen histologique rénal montre un épaississement de la membrane basale glomérulaire associé à une prolifération cellulaire à l’intérieur de cette membrane. Quelle est la dénomination de cette glomérulonéphrite ?","Glomérulonéphrite membrano-proliférative, définie par l’association d’un épaississement de la membrane basale et d’une prolifération cellulaire à l’intérieur de celle-ci.","Application"
"Un patient diabétique évolue vers une insuffisance rénale chronique terminale. Dans quelle catégorie de lésions (selon la nature) classe-t-on cette néphropathie ? Pourquoi ?","Lésions dégénératives. Selon le document, les causes les plus fréquentes d’IRCT sont les lésions dégénératives : diabétique, goutteuse, néphro-angiosclérose, sténose athéromateuse.","Application"
"Comparez la vascularite et la thrombose en termes de mécanisme lésionnel rénal microscopique.","Vascularite : lésion inflammatoire des petits vaisseaux (artériole afférente), maladie auto-immune primitive. Thrombose : occlusion vasculaire par un caillot, non inflammatoire primitive. Toutes deux sont des lésions vasculaires microscopiques.","Analysis"
"Pourquoi une lésion de sclérose glomérulaire est-elle considérée comme irréversible alors qu’une prolifération cellulaire peut être réversible ?","La sclérose correspond à des lésions cicatricielles avec collagène, cellules mortes, non évolutive et extensive – donc définitive. La prolifération est uniquement cellulaire (cellules natives ou inflammatoires), potentiellement réversible si l’inflammation disparaît.","Analysis"
