"question","answer","explanation","difficulty"
"L'herpès est une infection bactérienne.","False","'Infection virales humaines'","Easy"
"Le HSV1 est responsable de l'herpès génital dans la majorité des cas.","False","'HSV1 : herpes oro-facial, HSV2 : herpès génital'","Easy"
"L'herpès se transmet par contact direct.","True","'Transmission : contact directe +++'","Easy"
"La primo-infection à HSV1 est asymptomatique dans 90% des cas.","True","'Asymptomatique dans 90% des cas'","Easy"
"La gingivo-stomatite herpétique touche principalement l'adulte.","False","'Chez petits enfants de 6 mois à 3 ans'","Easy"
"Les gencives sont tuméfiées et saignantes dans l'herpès buccal.","True","'Gencives tuméfiées et saignante'","Easy"
"Les vésicules de l'herpès sont isolées.","False","'groupées en bouquet'","Easy"
"La primo-infection à HSV2 est symptomatique dans 90% des cas.","True","'asymptomatique dans 10% des cas' donc symptomatique 90%","Easy"
"L'herpès génital chez l'homme donne des signes généraux importants.","False","'Sans signes généraux'","Easy"
"La récurrence herpétique est précédée d'un prodrome de brûlure.","True","'Prodrome : sensation de brûlure de la cuisson'","Easy"
"Une récurrence herpétique guérit spontanément en 7 jours.","True","'Guérison spontané en 7 jours'","Easy"
"L'herpès oculaire peut entraîner la cécité.","True","'risque de cécité'","Easy"
"L'herpès disséminé a une mortalité de 80% sans traitement.","True","'mortalité à 80% si absence de traitement'","Easy"
"L'herpès chez la femme enceinte avant 20 SA peut provoquer un avortement.","True","'Si avant le 20ème SA, avortement, mort in utéro'","Easy"
"L'herpès néonatal est dû à HSV1 dans 90% des cas.","False","'HSV2 dans 90%'","Easy"
"Le syndrome de Kaposi-Juliusberg est une surinfection herpétique d'une dermatite atopique.","True","'Surinfection virale d’une dermatite atopique'","Easy"
"Le frottis de Tzank montre des cellules ballonisantes de Unna.","True","'Dégénérescent gallonisante de Unna'","Easy"
"Le panaris bactérien est un diagnostic différentiel de l'herpès digital.","True","'Herpes digitale : panaris bactérien'","Easy"
"Le chancre syphilitique est un diagnostic différentiel de l'herpès génital.","True","'Chancre syphilitique'","Easy"
"Le virus herpès est strictement humain.","True","'Réserver strictement humais'","Easy"
"Le virus herpès a un tropisme dermotrope et neurotrope.","True","'Virus dermotropes et neurotropes'","Easy"
"Après primo-infection, le virus reste latent dans les ganglions lymphatiques.","False","'ganglions rachidiens sensitifs'","Easy"
"Les AINS sont recommandés pour la douleur de l'herpès.","False","'jamais des AINS'","Easy"
"L'aciclovir est un antiviral utilisé dans l'herpès.","True","'Antiviraux systématiques (aciclovir)'","Easy"
"La varicelle est due au VZV.","True","'Varicelle Zona Virus'","Easy"
"La varicelle est une réactivation du VZV.","False","'Varicelle : primo-infection'","Easy"
"Le zona est une réactivation du VZV.","True","'Zona : réactivation du virus latent'","Easy"
"La varicelle se transmet par voie aérienne.","True","'Contamination par voie aériennes'","Easy"
"L'incubation de la varicelle est de 14 jours en moyenne.","True","'Incubation : 14 jours'","Easy"
"Dans la varicelle, on observe des éléments d'âge différent.","True","'coexistence d’éléments d’âge différent'","Easy"
"La varicelle de l'adulte est habituellement fruste.","False","'tableau très bruyant'","Easy"
"La pneumopathie varicelleuse survient chez 1-4% des adultes.","True","'Pneumopathie varicelleuse : grave, adulte, 1 – 4 %'","Easy"
"L'ataxie cérébelleuse est une complication nerveuse de la varicelle.","True","'ataxie cérébelleuse'","Easy"
