"question","answer","explanation","difficulty"
"Le syndrome dysentérique est défini par une inflammation du côlon et du rectum avec présence de sang et de glaire.","True","Document.","Easy"
"La triade du syndrome dysentérique associe épreinte, ténesme et selles glaireuses et sanguinolentes.","True","Document.","Easy"
"L'épreinte est une sensation douloureuse de tension du sphincter anal.","False","C'est la définition du ténesme. L'épreinte est une douleur abdominale paroxystique.","Easy"
"Le ténesme se caractérise par un faux besoin incessant.","True","Document.","Easy"
"Les selles dysentériques ont une odeur fétide.","False","Odeur fade non fétide.","Easy"
"La shigellose est la principale cause de syndrome dysentérique fébrile.","True","Document.","Easy"
"La dysenterie amibienne est généralement fébrile.","False","Apyrétique.","Easy"
"La dysenterie amibienne est fréquente à Madagascar.","True","Document.","Easy"
"La rectoscopie dans l'amibiase montre des exulcérations en coup d'ongles.","True","Document.","Easy"
"L'abcès hépatique est une complication de la dysenterie amibienne.","True","Document.","Easy"
"L'amoebome colique est une tumeur maligne.","False","C'est une pseudo-tumeur bénigne.","Easy"
"La dysenterie bilharzienne est due à Schistosoma haematobium.","False","S. mansoni, intercalatum, japonicum.","Easy"
"L'éosinophilie sanguine est un signe de bilharziose.","True","Document.","Easy"
"Les colites pseudo-membraneuses surviennent après antibiothérapie.","True","Document.","Easy"
"Les colites pseudo-membraneuses sont dues à Clostridium difficile.","True","Document.","Easy"
"Les colites hémorragiques à l'ampicilline apparaissent 2 à 7 jours après la prescription.","True","Document.","Medium"
"Le cancer colorectal doit être évoqué devant un syndrome dysentérique résistant au traitement chez un sujet de moins de 40 ans.","False","Sujet > 40 ans.","Medium"
"La maladie de Crohn et la RCH sont des causes de dysenterie.","True","Document.","Medium"
"La colite ischémique survient chez les sujets jeunes.","False","Sujets âgés.","Medium"
"La poussée de colopathie fonctionnelle est une cause fréquente de dysenterie.","False","Assez rare.","Medium"
"Dans la salmonellose, la coproculture est positive à la première semaine.","True","Document.","Medium"
"Le sérodiagnostic des salmonelloses est utile à la deuxième semaine.","True","Document.","Medium"
"La yersiniose peut se manifester par un érythème noueux.","True","Document.","Medium"
"Campylobacter jejuni est souvent responsable de toxi-infection alimentaire collective (TIAC).","True","Document.","Medium"
"Les selles dysentériques sont souvent afécales (sans matières fécales).","True","Document.","Medium"
"La sérologie amibienne reste positive à vie.","False","Peut rester positive jusqu'à 10 mois voire plusieurs années, mais pas à vie.","Medium"
"La biopsie de la muqueuse rectale dans la bilharziose montre un granulome centré par un œuf de Schistosoma.","True","Document.","Medium"
"La sérologie bilharzienne est positive uniquement pendant l'infection aiguë.","False","Peut être positive jusqu'à 10 ans.","Medium"
"Les colites pseudo-membraneuses touchent surtout les enfants.","False","Surtout les personnes âgées.","Medium"
"L'incubation de la shigellose est de quelques heures à quelques jours.","True","Document.","Medium"
"L'incubation de l'amibiase est de quelques heures.","False","Quelques jours à quelques semaines.","Medium"
"Les manifestations rhumatologiques peuvent survenir au cours de la shigellose.","True","Document.","Medium"
"Le syndrome dysentérique est une diarrhée invasive.","True","Conclusion.","Medium"
"Un patient avec dysenterie non fébrile et état général conservé doit d'abord évoquer une cause bactérienne.","False","Plutôt parasitaire (amibiase).","Difficult"
