"question","answer","explanation","difficulty"
"Définissez l'omphalocèle et décrivez sa membrane.","L'omphalocèle est une malformation congénitale de la paroi abdominale à partir de l'anneau ombilical, caractérisée par une non-réintégration des viscères recouverts d'une membrane amniotique avasculaire. Cette membrane comporte trois couches : péritoine à l'intérieur, amnios à l'extérieur, et gelée de Wharton entre les deux.","Le document : Physiopathologie.","Easy"
"Quels sont les deux types d'omphalocèle selon la classification dimensionnelle ?","Type 1 : diamètre inférieur à 4 cm, le plus grand diamètre du sac inférieur à 8 cm. Type 2 : dimensions supérieures, avec hernie du foie et d'autres organes.","Le document : Classification.","Easy"
"Citez quatre malformations ou syndromes associés à l'omphalocèle.","1. Anomalies chromosomiques (trisomie 13-15, 16-18, 21) ; 2. Syndrome de Wiedemann-Beckwith (omphalocèle, hypoglycémie, macroglossie, viscéromégalie) ; 3. Pentalogie de Cantrell ; 4. Malformations cardiaques et génito-urinaires.","Le document : Malformations associées.","Easy"
"Quels sont les principes de base de la chirurgie de l'omphalocèle ?","1. Réintégrer le contenu hernié dans la paroi abdominale ; 2. Réfection pariétale ; 3. Éviter une hyperpression intra-abdominale.","Le document : Principes de la chirurgie.","Easy"
"Expliquez le testing de fermeture pariétale et la conduite à tenir selon la pression ventilatoire.","On mesure la pression ventilatoire après avoir testé la fermeture. Si la pression est ≤ 30 cm H2O, on réalise une fermeture primitive. Si la pression est > 30 cm H2O, on opte pour une fermeture progressive (silo de Schuster ou autre technique).","Le document : Décisions peropératoires.","Easy"
"Décrivez la technique de Grob utilisée à Madagascar.","La technique de Grob consiste en une épidermisation progressive du défect pariétal par application continue d'éosine aqueuse sur l'omphalocèle. Cela permet de tanner la membrane et d'obtenir une cicatrisation cutanée progressive, avec une cure d'éventration à distance.","Le document : Technique de Grob.","Easy"
"Quel est l'intérêt de la sonde orogastrique dans la prise en charge néonatale de l'omphalocèle ?","Elle permet d'éviter la distension aérique des viscères herniés, ce qui pourrait aggraver le volume du sac et rendre la réintégration plus difficile.","Le document : ''Mise en place d'une sonde orogastrique pour éviter la distension aérique des viscères herniés''.","Easy"
"Quelles sont les précautions à prendre pour protéger l'omphalocèle à la naissance ?","Mettre la partie inférieure du corps du nouveau-né dans un sac plastique stérile pour protéger de l'hypothermie, diminuer les pertes insensibles, réduire le risque d'infection et éviter les lésions traumatiques.","Le document : Protection de l'omphalocèle.","Easy"
"Expliquez le syndrome de Wiedemann-Beckwith et son association génétique.","Le syndrome de Wiedemann-Beckwith associe omphalocèle, hypoglycémie, macroglossie et viscéromégalie. Il est inconstamment associé à une translocation chromosomique 11p15.","Le document le confirme.","Medium"
"Décrivez la pentalogie de Cantrell.","La pentalogie de Cantrell associe : omphalocèle, hernie diaphragmatique antérieure, fente sternale, ectopie cardiaque avec cardiopathie.","Le document le confirme.","Medium"
"Quelle est la différence entre omphalocèle et laparoschisis en termes de prise en charge obstétricale ?","Pour l'omphalocèle, la voie d'accouchement recommandée est la voie naturelle. Pour le laparoschisis, on discute d'une opération césarienne.","Le document : Prise en charge obstétricale.","Medium"
"Expliquez le principe du silo de Schuster.","Le silo de Schuster est une technique de fermeture progressive. On suture aux deux berges aponévrotiques une plaque en Silastic, que l'on referme progressivement tous les 2 jours par des points en U, en refoulant les viscères. L'affrontement est obtenu en 15 jours maximum, puis on retire les plaques et on referme la paroi.","Le document : Technique de Silo de Schuster.","Medium"
"Qu'est-ce que la rectomyoplastie et dans quels cas l'utilise-t-on ?","La rectomyoplastie permet la reposition médiane des muscles grands droits de l'abdomen. On l'utilise soit d'emblée devant une omphalocèle importante inaccessible à une fermeture directe, soit au moment de la fermeture pariétale après traitement par silo.","Le document : Rectomyoplastie.","Medium"
