"question","answer","explanation","difficulty"
"Candida albicans est une levure responsable d'infections cutanéomuqueuses superficielles.","True","'Infection cutanéomuqueuse superficielle, Levure du genre candida : Candida Albicans'","Easy"
"Les candidoses surviennent uniquement chez les sujets immunodéprimés.","False","'Fréquence même chez les sujets en bonne santé'","Easy"
"L'intertrigo candidosique des grands plis siège préférentiellement aux plis axillaires.","False","'plis inguinaux inter fessier +++'","Easy"
"L'onyxis à Candida se caractérise par une coloration brun verdâtre de l'ongle.","True","'Onyxis : Coloration brun verdâtre du bord proximal ou des bords latéraux'","Easy"
"Le péri-onyxis candidosique est indolore.","False","'Bourrelet péri-unguéale douloureux et inflammatoire, pus à la pression'","Easy"
"Les leucorrhées de la vulvo-vaginite candidosique sont blanchâtres et caillebottées.","True","'leucorrhée abondante, et blanchâtre caillebottée'","Easy"
"Le muguet se présente sous forme de dépôts noirâtres sur la langue.","False","'dépôts blanchâtre crémeux'","Easy"
"L'examen direct mycologique montre des levures bourgeonnantes et des pseudo-filaments.","True","'Examen direct : levures bourgeonnantes, pseudo-filament'","Easy"
"Le milieu de Sabouraud permet la culture des Candida avec colonies blanchâtres en 24-48h.","True","'Culture sur milieu de Sabouraud : colonie blanchâtre en 24 - 48 heures'","Easy"
"La trichomoniase donne une leucorrhée verdâtre avec odeur de poisson pourrie.","True","'Trichomoniase (leucorrhée verdâtre avec odeur de poisson pourrie)'","Easy"
"Le pH alcalin est un facteur favorisant local des candidoses.","False","'Facteur favorisant : ... pH acide'","Easy"
"Le traitement des candidoses cutanées repose sur les antifongiques topiques.","True","'Candidose cutanée : antifongique topiques'","Easy"
"Les atteintes unguéales à Candida se traitent par antifongiques topiques seuls.","False","'Atteintes unguéales : antifongique par voie générale (3-8 mois)'","Easy"
"L'atteinte œsophagienne à Candida est un signe d'immunodépression.","True","'Atteinte de l’œsophage et : ou trachéo-brochique : immunodépression'","Easy"
"Le psoriasis inversé fait partie des diagnostics différentiels des atteintes de plis.","True","'Atteintes de plis : ... Psoriasis inversé'","Medium"
"La xérostomie est un facteur local favorisant les candidoses.","True","'Facteur favorisant locaux : ... xérostomie'","Medium"
"La culture sur Sabouraud permet également de réaliser un antifongigramme.","True","'identification antifogigramme' (antifongigramme)","Medium"
"La contamination par Candida albicans est exclusivement exogène.","False","'Contamination endogène et / ou exogène'","Medium"
"L'intertrigo candidosique débute par des vésicules claires.","False","'Début au fond des plis : pustules, sur base érythémateuse'","Medium"
"L'anite candidosique peut se manifester par des fissures et un intertrigo interfessier.","True","'Anite candidosique : ... fissures, intertrigo inter fessier'","Medium"
"La langue géographique est un diagnostic différentiel du muguet.","True","'Muguet : ... Lange géographique'","Medium"
"Les œstroprogestatifs sont un facteur favorisant général.","True","'iatrogénie (ATB, corticothérapie, œstroprogestatifs)'","Medium"
"L'intertrigo des 3ème espace interdigital palmaire est une forme de candidose des petits plis.","True","'Interdigitaux palmaire (3ème espace +++)'","Medium"
"Le prurit est absent dans l'intertrigo candidosique.","False","'prurit+++'","Easy"
"La corticothérapie locale est un facteur favorisant local.","True","'corticothérapie locale' dans facteurs locaux.","Medium"
"Le traitement des intertrigos à localisations multiples nécessite des antifongiques topiques et généraux.","True","'Intertrigos à localisation multiples : antifongique topiques et généraux'","Medium"
"L'érythrasma est un diagnostic différentiel des atteintes des plis.","True","'Erythrasma'","Easy"
"La dermatophytie unguéale est un diagnostic différentiel de l'onyxis candidosique.","True","'Atteinte unguéales : Dermatophytie unguéale'","Easy"
"La nystatine n'est pas utilisée dans le traitement des candidoses.","False","'antifongique ... (fluconazole, nystatne, terbinafine)'","Easy"
"Candida albicans est une bactérie.","False","C'est une levure (champignon).","Easy"
