"front","back","cognitive_level"
"Quelle est la définition anatomo-pathologique de la cirrhose du foie ?","Maladie du foie caractérisée par la présence de deux éléments : 1) fibrose extensive, 2) nodules de régénération (amas d’hépatocytes non fonctionnels à cause d’une perte de connexion vasculaire et biliaire).","Recall"
"Quels sont les deux stades de l’histoire naturelle de la cirrhose ?","Stade compensé et stade décompensé.","Recall"
"Quels sont les signes cliniques du foie cirrhotique au stade compensé ?","Volume variable (augmenté, normal ou diminué), à la palpation : dur, bord inférieur tranchant, indolore.","Recall"
"Quels examens non invasifs permettent d’évaluer la fibrose hépatique et d’affirmer une cirrhose ?","Fibroactitest (prélèvement sanguin : activité nécrotico-inflammatoire A0-3 et fibrose F0-4, F4 = cirrhose) et élastométrie (fibroscan) : vitesse de propagation de l’onde, normale à 5 kPa, fibrose extensive à partir de 7,9 kPa.","Recall"
"Quels sont les trois éléments de la triade clinique de la cirrhose décompensée ?","1) Foie cirrhotique (dur, bord inférieur tranchant, volume variable), 2) Signes d’hypertension portale (ascite, splénomégalie modérée, circulation veineuse collatérale), 3) Signes d’insuffisance hépatocellulaire (œdèmes, angiomes stellaires, érythroses palmaires, hippocratisme digital, signes endocriniens, ictère).","Recall"
"Quels sont les signes d’insuffisance hépatocellulaire (IHC) dans la cirrhose décompensée ?","Œdèmes des membres inférieurs puis région lombaire, membres supérieurs → anasarque ; angiomes stellaires (thorax/dos, s’effaçant à la vitropression) ; érythroses palmaires (coloration rouge des éminences thénar et hypothénar) ; hippocratisme digital ; signes endocriniens (homme : diminution pilosité, gynécomastie ; femme : aménorrhée, stérilité) ; ictère.","Recall"
"Quelles anomalies biologiques traduisent une insuffisance hépatocellulaire (IHC) ?","TP diminuée (évaluer facteur V si ictère important), facteur V diminué, albumine abaissée, cholestérolémie abaissée, taux de bilirubine libre augmentée.","Recall"
"Quel profil électrophorétique est évocateur d’une cirrhose ?","Hypergammaglobulinémie avec bloc bêta-gamma (profil cirrhotique).","Recall"
"Quelles sont les caractéristiques du liquide d’ascite dans la cirrhose ?","Transsudatif : protides < 25 g/L, pauvre en cellules, présence de placards endothéliaux, liquide stérile (bactériologie négative).","Recall"
"Quelles étiologies de cirrhose recherche-t-on systématiquement ?","Ag HBs (VHB) et sérologie VHC (Ac anti-VHC).","Recall"
"Quels examens d’imagerie sont systématiques dans le bilan d’une cirrhose ?","Échographie abdominale : foie hétérogène, contours irréguliers (bosselé), signes d’HTP (dilatation du tronc porte >12 mm, dilatation veine splénique, perméabilisation veine ombilicale), ascite, splénomégalie. Endoscopie digestive haute : varices œsophagiennes et gastriques, gastropathie congestive.","Recall"
"Quelles sont les principales complications de la cirrhose ? (citer au moins 5)","Ascite, hémorragie digestive (rupture de varices œsophagiennes, ulcère, gastropathie d’HTP), encéphalopathie hépatique (premier motif de décès), ictère, infections (spontanée du liquide d’ascite, tuberculose péritonéale, infections générales), carcinome hépatocellulaire, syndrome hépato-rénal, complications pulmonaires (épanchement pleural, hypertension porto-pulmonaire, syndrome hépato-pulmonaire), hypersplénisme (anémie, thrombopénie, leucopénie).","Recall"
"Quels sont les signes cliniques de l’encéphalopathie hépatique selon la classification de West Haven ?","Stade 1 : astérixis, désorganisation du cycle nycthéméral. Stade 2 : confusion (désorientation spatiale et temporelle), ralentissement psychomoteur. Stade 3 : coma calme avec signes pyramidaux. Stade 4 : coma sans signes de focalisation, disparition de l’astérixis.","Recall"
"Quels sont les critères du syndrome hépato-rénal ?","4 critères réunis : 1) Créatininémie > 130 µmol/L ou clairance < 40 mL/min ; 2) Absence d’autre cause d’insuffisance rénale ; 3) Pas d’anomalie du sédiment urinaire (protéinurie < 0,5 g/24h) ; 4) Pas d’amélioration après expansion volémique.","Recall"
"Quels sont les critères du score de Child-Pugh et ses trois stades de gravité ?","Critères : bilirubinémie, albuminémie, TP, ascite, encéphalopathie. Chaque coté de 1 à 3 points. Stade A : 5-6 points, Stade B : 7-9 points, Stade C : 10-15 points.","Recall"
"Quel est le score pronostique MELD et sa valeur ?","MELD (créatininémie, bilirubine, INR, notion de dialyse). MELD < 20 : survie à 3 mois de 90% ; MELD > 20 : survie à 3 mois de 60%.","Recall"
"Quelles sont les principales étiologies de cirrhose à Madagascar ?","Alcoolique (50-90%, >50% à Madagascar), virale (VHB, VHC), stéato-hépatite non alcoolique (NASH), biliaire, auto-immune, hémochromatose, maladie de Wilson, médicamenteuse, cardiaque, déficit en alpha-1-antitrypsine.","Recall"
"Quels arguments biologiques orientent vers une cirrhose alcoolique ?","Macrocytose (VGM élevé), IgA augmentées, ASAT > ALAT, élévation des gamma-GT (prise d’alcool).","Recall"
"Un patient cirrhotique présente une ascite, une fièvre et des douleurs abdominales. La ponction d’ascite montre plus de 250 polynucléaires neutrophiles/mm³. Quel diagnostic suspectez-vous ?","Infection spontanée du liquide d’ascite (par translocation de germes intestinaux, surtout E. coli).","Application"
"Un patient cirrhotique avec ascite a une créatininémie à 150 µmol/L, une protéinurie à 0,2 g/24h, pas d’amélioration après remplissage vasculaire. Quel est le diagnostic et quelle est la gravité ?","Syndrome hépato-rénal. Médiane de survie : 15 jours pour le type 1, 6 mois pour le type 2. C’est une complication grave.","Analysis"
