"question","answer","explanation","difficulty"
"Quelles sont les quatre formes cliniques des candidoses cutanéomuqueuses décrites dans le document ?","Intertrigo des grands plis, intertrigo des petits plis, onyxis/péri-onyxis, vulvo-vaginite, anite, stomatite (muguet).","Document sections 1.2.2.1 à 1.2.2.6.","Easy"
"Citez trois diagnostics différentiels des atteintes des plis.","Dermatophyties, intertrigo bactérien (streptocoque), psoriasis inversé, érythrasma.","'Diagnostic différentiel : Atteintes de plis : Dermatophyties, Intertrigo bactérien, Psoriasis inversé, Erythrasma'","Easy"
"Quels sont les trois facteurs locaux favorisant les candidoses ?","pH acide, milieu sucré, humidité/macération, xérostomie, corticothérapie locale.","'Facteur favorisant locaux : pH acide, milieu sucré humidité, macération xérostomie, corticothérapie locale'","Easy"
"Quel est le traitement recommandé pour une atteinte muqueuse (ex: muguet ou vulvo-vaginite) ?","Antifongique par voie générale.","'Atteint muqueuses, antifongique générale'","Easy"
"Expliquez la différence entre onyxis et péri-onyxis candidosique.","Onyxis : coloration brun verdâtre de l'ongle sans inflammation péri-unguéale. Péri-onyxis : bourrelet péri-unguéal douloureux, inflammatoire, avec pus à la pression.","Document formes cliniques.","Medium"
"Quels sont les quatre diagnostics différentiels du muguet cités ?","Lichen plan, leucoplasie orale chevelue, langue géographique. (Trois sont cités, le document dit 'Lichen plan, Leucoplasie orale chevelue, Lange géographique')","'Muguet : Lichen plan, Leucoplasie orale chevelue, Lange géographique'","Medium"
"Quel est le rôle du milieu de Sabouraud dans le diagnostic mycologique ?","Permet la culture des levures : colonies blanchâtres apparaissent en 24-48 heures, puis identification et antifongigramme.","'Culture sur milieu de Sabouraud : colonie blanchâtre en 24 - 48 heures, identification antifogigramme'","Medium"
"Pourquoi le diabète est-il un facteur favorisant des candidoses ?","Le diabète crée un milieu riche en glucose (milieu sucré) et peut altérer l'immunité, favorisant la prolifération des Candida. Le document cite 'diabète' et 'milieu sucré' comme facteur.","'Facteur favorisant : ... diabète' et 'milieu sucré'","Medium"
"Quel est l'aspect clinique de l'intertrigo candidosique des grands plis à la phase débutante ?","Pustules au fond du pli sur base érythémateuse, puis confluence en lésion rouge vernissée suintante, avec fine collerette desquamative et pustules périphériques.","'Début au fond des plis : pustules, sur base érythémateuse, confluente, érosive → lésion roue vernissée et suintante, limitée par une fine collerette desquamative, petites pustule en périphérie'","Medium"
"Quels sont les deux principaux moyens thérapeutiques cités ?","Régime hygiéno-diététique (correction des facteurs favorisants) et antifongiques (topiques et/ou généraux).","'Moyens : Régime hygiéno-diététique, Antifongique topique et par voie générale'","Medium"
"Quelle est la particularité de l'intertrigo candidosique des petits plis interdigitaux ?","Érosion interdigitale, fissuraire, peu épaisse, blanchâtre en périphérie, prurit intense. Siège au 4ème espace plantaire ou 3ème espace palmaire.","Document.","Medium"
"Quel est le traitement des atteintes unguéales et pourquoi est-il long ?","Antifongique par voie générale pendant 3 à 8 mois car la repousse de l'ongle est lente et le médicament doit atteindre la matrice unguéale.","'Atteintes unguéales : antifongique par voie générale (3-8 mois)'","Medium"
"Une patiente enceinte présente des pertes blanches épaisses et un prurit vulvaire. Quel diagnostic et quel traitement selon le document ?","Vulvo-vaginite candidosique. Le document ne précise pas la grossesse comme contre-indication, mais dit 'atteinte muqueuses : antifongique générale'. Chez la femme enceinte, on préfère généralement un traitement local. La réponse doit rester basée sur le document : antifongique générale.","'Vulvo-vaginite candidosique' et 'Atteint muqueuses, antifongique générale'","Difficult"
"Un patient sous antibiotiques à large spectre développe des dépôts blanchâtres sur la langue. Expliquez le mécanisme.","Les antibiotiques détruisent la flore bactérienne commensale qui limite normalement la prolifération de Candida albicans (commensal du tube digestif). Cela permet une pullulation de la levure, responsable du muguet.","'Candida commensale du tube digestif' et 'iatrogénie (ATB)' comme facteur favorisant.","Difficult"
"Comparez l'intertrigo candidosique et l'intertrigo bactérien (streptocoque) selon le document.","Le document ne détaille pas la comparaison. Il cite l'intertrigo bactérien comme diagnostic différentiel. On peut déduire que l'intertrigo bactérien est dû à des streptocoques, sans pustules ni collerette desquamative typiques.","Document : 'Intertrigo bactérien (streptocoque +)' dans différentiels.","Difficult"
"Un patient obèse, diabétique, consulte pour une éruption prurigineuse des plis inguinaux, suintante, avec des pustules en périphérie. Quel est le diagnostic et quel facteur favorisant principal ?","Diagnostic : intertrigo candidosique. Facteurs favorisants : obésité (macération), diabète (milieu sucré).","Document facteurs favorisants.","Difficult"
"Quels sont les trois éléments du diagnostic positif clinique de la candidose cutanée ?","Lésions érythémateuses fissuraires vernissées, pustules, prurit, topographie des plis.","'Diagnostic positifs : Clinique : lésions érythémateux fissuraire vernissés, pustule, prurigineuse, grands ou petits pis'","Medium"
"Quel est le risque de l'atteinte œsophagienne à Candida ?","Chez l'immunodéprimé, elle peut entraîner une œsophagite sévère avec dysphagie, douleur, et risque de dissémination systémique. Le document ne détaille pas mais dit 'immunodépression'.","'Atteinte de l’œsophage et : ou trachéo-brochique : immunodépression'","Medium"
"Quel examen mycologique permet d'identifier l'espèce et sa sensibilité ?","Culture sur milieu de Sabouraud suivie d'un antifongigramme.","'identification antifogigramme'","Medium"
"Pourquoi l'humidité et la macération favorisent-elles les candidoses ?","L'humidité et la macération altèrent la barrière cutanée et créent un environnement favorable à la prolifération des levures.","Facteur local 'humidité, macération'","Medium"
"Quels sont les trois types de prélèvements mycologiques cités ?","Écouvillonnage, grattage cutané, découpage d'ongle.","'prélèvement par écouvillonnage, grattage cutanée, découpage ongle'","Easy"
