"front","back","cognitive_level"
"Qu'est-ce que le rachitisme carentiel de l'enfant ?","Trouble de la minéralisation du squelette en croissance dû à une carence en vitamine D.","Recall"
"Quel est l'âge de prédilection du rachitisme carentiel ?","6 à 18 mois.","Recall"
"Quelles sont les deux sources de vitamine D ?","Exogène : alimentation (absorbée par duodénum et jéjunum) ; Endogène : photosynthèse cutanée.","Recall"
"Quelles sont les 3 actions de la vitamine D ?","1) Absorption du calcium ; 2) Fixation du calcium sur la trame protéique ; 3) Stimulation du remodelage osseux.","Recall"
"Citez 3 signes crâniens du rachitisme.","Craniotabès (surtout après 3 mois), plagiocéphalie (aplatissement occipital ou pariétal, bombement frontal), retard de fermeture de la fontanelle antérieure (signe typique voire pathognomonique).","Recall"
"Citez 3 signes thoraciques du rachitisme.","Chapelet costal, aspect en carène, élargissement de la base thoracique, asymétrie thoracique.","Recall"
"Citez 3 signes osseux des membres dans le rachitisme.","Nouures épiphysaires (chevilles, poignets), genu varum (en cavalier), fractures spontanées.","Recall"
"Citez 3 signes dentaires du rachitisme.","Retard d'apparition des dents, dents peu développées, hypoplasie de l'émail, caries.","Recall"
"Quels sont les signes musculo-ligamentaires du rachitisme ?","Hypotonie musculaire, hyperlaxité ligamentaire.","Recall"
"Pourquoi le rachitisme entraîne-t-il des infections ORL et broncho-pulmonaires chroniques ?","Car le thorax déformé entraîne une mauvaise ampliation thoracique, donc de mauvais échanges gazeux, favorisant les infections respiratoires à répétition (poumon rachitique).","Understanding"
"Quels sont les 3 types de signes radiologiques du rachitisme ?","Signes métaphysaires (élargissement des bases métaphysaires avec aspect en cupule ou 'toit de pagode'), signes épiphysaires (retard d'apparition des points d'ossification, flous ou irréguliers), signes diaphysaires (diminution densité osseuse, amincissement corticales, corticale feuilletée).","Recall"
"Quel est le signe radiologique thoracique du rachitisme ?","Élargissement de la jonction chondrocostale 'images en bouchon de champagne', fractures costales.","Recall"
"Quel est le signe biologique constamment élevé dans le rachitisme ?","La phosphatase alcaline (PAL) = marqueur de la résorption osseuse.","Recall"
"Quels sont les 3 principaux signes biologiques du rachitisme ?","Phosphatase alcaline constamment élevée, normocalcémie ou hypocalcémie, hypophosphorémie constante (avec hyperphosphaturie).","Recall"
"Quelle est la forme clinique du rachitisme chez l'enfant de moins de 6 mois ?","Tétanie hypocalcémique : signes neuromusculaires (trémulations, hyperexcitabilité, convulsions), signes osseux discrets, calcémie basse, PAL augmenté.","Recall"
"Quels sont les signes du rachitisme chez le grand enfant (>2 ans) ?","Douleur osseuse diffuse (rachis, ceinture), marche dandinante avec myalgie et faiblesse musculaire, déformations osseuses (varum/valgum, thorax en cloche, sternum en carène), fractures.","Recall"
"Citez 3 étiologies de rachitisme par défaut de métabolisation de la vitamine D.","Malabsorption (maladie cœliaque, mucoviscidose), absence de sels biliaires (cholestase), maladie rénale (syndrome néphrotique), iatrogène (anticonvulsivants, corticoïdes).","Recall"
"Quel est le traitement urgent d'une hypocalcémie sévère (<2 mmol/l) dans le rachitisme ?","Supplémentation IV en Gluconate de Calcium 10% : 500-1500 mg/m²/24h dilué dans SGI 5%.","Recall"
"Quel est le traitement du rachitisme si calcémie >2 mmol/l ou signes radiologiques ?","Vitamine D 200.000 UI PO 1 fois à renouveler 1 mois plus tard + Gluconate de calcium 0,5 à 1 g/j pendant 15 jours + traitement des carences associées (fer, folates).","Recall"
"Quelle est l'évolution biologique sous traitement du rachitisme ?","Correction de la calcémie en 48h, normalisation des PAL en 1 mois.","Recall"
"Quel signe radiologique apparaît à 3 semaines de traitement ?","Apparition d'une bande dense transversale entre la métaphyse et l'épiphyse.","Recall"
"Quel est le traitement préventif chez la femme enceinte ?","Administration de vitamine D au dernier trimestre : 100.000 à 200.000 UI au 7ème mois de grossesse.","Recall"
"Quel est le traitement préventif de la naissance à 18 mois ?","Supplémentation quotidienne : 1200 UI de vitamine D par jour (dès les premiers jours). Ergocalciférol (Stérogyl*) : 1 goutte = 400 UI, soit 3 gouttes/j jusqu'à 6 mois puis 4 gouttes/j jusqu'à 18 mois. Alternative : dose de charge 80.000-100.000 UI tous les 3-4 mois.","Recall"
"Quel est le traitement préventif après 18 mois ?","Au cours de l'hiver : une dose de vitamine D de 80.000 à 100.000 UI au milieu de la saison froide jusqu'à la fin de la croissance. Pour les situations à risque : 80.000-100.000 UI tous les 3-4 mois.","Recall"
"Expliquez la physiopathologie du rachitisme carentiel.","Carence en vitamine D → diminution de l'absorption intestinale du calcium → hypocalcémie → stimulation des parathyroïdes (hyperparathyroïdie secondaire) → déminéralisation osseuse (augmentation PAL) et hypophosphorémie → trouble de la minéralisation de la trame protéique du cartilage de croissance → déformations osseuses caractéristiques.","Understanding"
"Comparez le craniotabès et la plagiocéphalie.","Craniotabès : amincissement localisé de la voûte crânienne donnant une sensation d'enfoncement à la pression (souvent après 3 mois). Plagiocéphalie : aplatissement occipital ou pariétal avec bombement frontal (<1 an).","Analysis"
"Quelle est la principale complication du rachitisme non traité sur le plan respiratoire ?","Poumon rachitique : déformation thoracique entraînant une mauvaise ampliation pulmonaire et des infections ORL et broncho-pulmonaires chroniques.","Application"
