question, option1, option2, option3, option4, answer, explanation, difficulty
"Comment est qualifiée théoriquement la présentation par le siège ?", "Dystocique", "Eutocique", "Anoxique", "Traumatique", "2", "Le document indique : 'Présentation théoriquement eutocique'", "Easy"
"Quelle complication anoxique peut survenir lors d'un accouchement par le siège ?", "Compression funiculaire", "Hématome rétro-placentaire", "Souffrance myocardique", "Anémie foetale", "1", "Le document précise : 'phénomène anoxique suite à une compression funiculaire'", "Easy"
"Quel diamètre foetal franchit le détroit supérieur lors de l'engagement du siège ?", "Diamètre bi-acromial", "Diamètre sous-occiputo-frontal", "Diamètre bi-trochantérien", "Diamètre bipariétal", "3", "Le document : 'Le siège franchit le détroit supérieur' avec diamètre bi-trochantérien", "Easy"
"Après l'engagement du siège, où se cale la hanche antérieure ?", "Sous le promontoire", "Sous la symphyse pubienne", "Au niveau de l'épine sciatique", "Au niveau du coccyx", "2", "Le document : 'la hanche antérieure se cale sous la symphyse pubienne'", "Easy"
"Quel diamètre cephalique aborde le détroit supérieur lors de l'engagement de la tête ?", "Diamètre bipariétal", "Diamètre sous-occipito-frontal", "Diamètre occipito-mental", "Diamètre transverse", "2", "Le document : 'Flexion abordant le détroit supérieur suivant le diamètre sous-occiputo-frontal (11cm)'", "Easy"
"Quelle structure nerveuse est à risque de lésion traumatique lors de la recherche du scrotum en présentation du siège ?", "Nerf honteux interne", "Cordon ombilical", "Scrotum", "Plexus lombaire", "3", "Le document : 'ne pas rechercher le scrotum en cas de présentation de siège sinon traumatisme'", "Easy"
"Quelle est la durée normale de l'expulsion dans un accouchement par le siège ?", "6-9 heures", "Entre 35 et 15 minutes", "2-3 heures", "Moins de 5 minutes", "2", "Le document : 'L'expulsion se fait entre 35 et 15 min'", "Easy"
"La rupture prématurée des membranes est combien de fois plus fréquente dans le siège que dans les présentations céphaliques ?", "Une fois", "Deux fois", "Trois fois", "Quatre fois", "2", "Le document : 'Rupture prématurée des membranes : Deux fois plus fréquente que dans les présentations céphaliques'", "Easy"
"Quelle anomalie de dilatation peut survenir lors d'un accouchement par le siège ?", "Dilatation trop rapide", "Dilatation incomplète", "Dilatation asymétrique", "Absence de dilatation", "2", "Le document mentionne : 'Dystocie dynamique : Dilatation incomplète'", "Easy"
"Dans quel type de siège la rupture prématurée des membranes est-elle surtout fréquente ?", "Siège décomplété", "Siège complet", "Siège semi-complet", "Siège franc", "2", "Le document : 'surtout dans le siège complet'", "Easy"
"Quelle est la durée de la dilatation cervicale dans l'accouchement par le siège ?", "1-2 heures", "6-9 heures", "12-15 heures", "30-45 minutes", "2", "Le document : 'La dilatation cervicale se fait rapidement (6-9h)'", "Easy"
"Quel phénomène mécanique doit constituer un bloc homogène pour l'accouchement par le siège ?", "Le bassin maternel", "Le mobile foetal", "Le cordon ombilical", "Le placenta", "2", "Le document : 'Le mobile foetal doit constituer un bloc homogène'", "Easy"
"Pourquoi l'accouchement par le siège est-il qualifié d' 'incontestablement à risque' ?", "Car toujours dystocique", "Car peut se compliquer de difficulté mécanique ou anoxique", "Car nécessite toujours une césarienne", "Car le foetus est toujours en danger vital", "2", "Le document : 'Incontestablement à risque. Peut se compliquer de difficulté mécanique [...] ou phénomène anoxique'", "Medium"
