"question","answer","explanation","difficulty"
"La lithiase biliaire est une pathologie fréquente et bénigne.","True","Le document : 'Fréquente et bénigne'","Easy"
"La bile contient 50% d’eau.","False","Le document : '90-95% d’eau'","Easy"
"La sécrétion biliaire est de 750 ml par jour.","True","Le document : 'Secrétion biliaire : 750 ml/j'","Easy"
"La prévalence de la lithiase biliaire en Europe est inférieure à 5%.","False","Le document : '>> 10 à 20%'","Easy"
"Les calculs mixtes représentent 80% des calculs biliaires.","True","Le document : 'Calculs mixtes (80%)'","Easy"
"Les calculs de cholestérol pur sont opaques aux rayons X.","False","Le document : 'Transparents aux rayons X'","Easy"
"Les calculs pigmentaires sont de couleur claire.","False","Le document : 'Couleur vert foncé ou noirâtre'","Easy"
"La colique hépatique irradie vers l’épaule gauche.","False","Le document : 'Irradiation spécifique vers l’épaule droite'","Easy"
"L’échographie est l’examen de première intention pour la lithiase biliaire.","True","Le document : 'Echographie... examen de première intention'","Easy"
"L’échographie montre des images hyperéchogènes avec cônes d’ombre postérieurs.","True","Le document : 'Images hyperéchogènes ; Cônes d’ombre postérieurs'","Easy"
"80% des lithiases biliaires sont asymptomatiques.","True","Le document : 'latente (80% des cas)'","Easy"
"Le jeûne prolongé diminue le risque de lithiase biliaire.","False","Le document : 'le jeûne prolongé favorise la lithiase biliaire'","Easy"
"La lithiase biliaire est plus fréquente chez l’homme que chez la femme.","False","Le document : '2 à 3 fois plus fréquent chez la femme'","Medium"
"Les contraceptifs oraux riches en œstrogènes sont un facteur favorisant.","True","Le document : 'Médicaments : contraceptifs oraux riches en oestrogènes'","Medium"
"L’obésité est un facteur de risque de lithiase biliaire.","True","Le document : 'Poids : plus fréquents chez les obèses'","Medium"
"La cholécystographie par voie orale est encore largement utilisée.","False","Le document : 'abandonnés'","Medium"
"La cholangiographie rétrograde par voie endoscopique permet de visualiser une lacune du bas cholédoque.","True","Le document : 'permet de visualiser une lacune du bas cholédoque'","Medium"
"Le point de Murphy est situé au niveau de l’hypochondre gauche.","False","Le document : 'réunion du rebord costal droit avec le bord externe du grand droit D'","Medium"
"La colique hépatique est une douleur progressive et sourde.","False","Le document : 'Douleur brutale et intense'","Medium"
"L’angiocholite est une infection du contenu biliaire et de la voie biliaire principale.","True","Le document : 'infection du contenu biliaire et de la voie biliaire principale'","Medium"
"La voie biliaire accessoire comprend la vésicule biliaire et le canal cystique.","True","Le document : 'Voie biliaire accessoire : vésicule biliaire et canal cystique'","Medium"
"Les calculs à noyau figuré ont un centre formé par un parasite.","True","Le document : 'Les calculs à noyau figurés ont un centre formé par un parasite'","Difficult"
