question, answer, explanation, difficulty
"Expliquez la différence entre métrorragie, ménorragie et ménométrorragie.", "Métrorragie = saignement entre les règles ; Ménorragie = règles abondantes ; Ménométrorragie = association des deux", "Document donne les trois définitions", "Easy"
"Quels sont les trois âges clés dans la démarche diagnostique des métrorragies ?", "Puberté, activité génitale, pré-ménopause", "Document : 'Âge : Puberté, Activité génitale, Pré-ménopause'", "Easy"
"Quel est le bilan paraclinique minimum devant une métrorragie chez une femme en âge de procréer ?", "b-HCG, NFS-plaquettes-Hb-CRP, bilan coagulation, échographie pelvienne", "Document énumère ces examens", "Medium"
"Pourquoi une métrorragie chez une femme ménopausée impose-t-elle une hystéroscopie avec curetage biopsique ?", "Pour éliminer un cancer de l'endomètre, fréquent à cet âge", "Document : 'OBLIGATOIRE'", "Medium"
"Quels sont les diagnostics différentiels des métrorragies d'origine génitale ?", "Hémorragies vulvo-vaginales (plaies, vaginites, tumeurs vag/col), urinaires (hématurie), digestives (rectorragie)", "Document énumère ces trois groupes", "Medium"
"Expliquez le mécanisme des métrorragies fonctionnelles en période d'activité génitale.", "Dysfonctionnement hormonal par insuffisance en progestérone, entraînant une hyperplasie endométriale sans lésion organique", "Document : 'Absence de lésions organiques décelables : hyperplasie de l'endomètre, Dysfonctionnement hormonal (insuffisance en progestérone)'", "Difficult"
"Pourquoi les fibromes utérins donnent-ils des ménométrorragies ?", "Par augmentation de la surface endométriale, perturbation de la vascularisation et de la contractilité utérine", "Document : 'Fibrome utérin, Ménométrorragie le plus souvent'", "Medium"
"Quelle est la particularité du polype utérin au spéculum ?", "Il peut être visible au niveau du col s'il s'est accouché (excroissance pédiculée)", "Document : 'Quelque fois accouchée par le col, Examen au spéculum : vision directe'", "Medium"
"Quels sont les trois facteurs de risque du cancer de l'endomètre cités ?", "HTA, diabète, obésité", "Document les énumère", "Easy"
"Expliquez pourquoi une salpingite peut donner des métrorragies.", "Par inflammation de l'endomètre et des trompes, perturbant l'endomètre et provoquant des saignements", "Document : 'Pathologies annexielles : Salpingites +++'", "Medium"
"Quel est l'aspect échographique de l'endomètre normal, hyperplasique et cancéreux ?", "Normal : fin et régulier ; Hyperplasique : épais ; Cancéreux : épais et hétérogène", "Document : 'Hyperplasie : épaississement ; Cancer : endomètre épais et hétérogène'", "Difficult"
"Pourquoi le DIU au cuivre peut-il provoquer des métrorragies abondantes ?", "Par inflammation locale et hypervascularisation endométriale", "Document : 'Abondantes : DIU'", "Medium"
"Quelles sont les trois étapes de l'examen clinique gynécologique devant une métrorragie ?", "Spéculum (origine et lésion visible), TV (volume utérin, col, culs-de-sac), évaluation objective (score de Higham)", "Document détaille ces étapes", "Medium"
"Quel est le diagnostic à ne pas méconnaître devant une métrorragie avec b-HCG positif ?", "Grossesse extra-utérine (urgence vitale)", "Document : 'Grossesse extra-utérine' en premier", "Easy"
