"term","definition","contextual_explanation"
"asphyxie périnatale","Altération sévère des échanges gazeux utéro-placentaires entraînant hypoxie sévère, acidose gazeuse, acidose métabolique et hyperlactacidémie.","Cause majeure de mortalité néonatale, avec mise en jeu du pronostic vital. Les organes les plus touchés sont le cerveau et le rein."
"hypoxémie","Baisse de la quantité d'oxygène dans le sang.","Peut être présente pendant quelques jours avant l'asphyxie."
"hypoxie","Baisse de la quantité d'oxygène dans les tissus.","Survient en quelques heures. L'asphyxie est une hypoxie associée à une acidose métabolique."
"acidose gazeuse","Hypercapnie (excès de CO2) associée à une baisse du pH sanguin.","Une des composantes immédiates de l'asphyxie périnatale."
"acidose métabolique","Diminution du pH sanguin due à une accumulation d'acides fixes (lactate).","Dans l'asphyxie, elle est associée à une hyperlactacidémie par altération du métabolisme cellulaire."
"hyperlactacidémie","Taux élevé de lactate dans le sang.","Signe biologique de l'asphyxie périnatale (>6 mmol/l). Un taux ≥9 mmol/l traduit une hypoxie sévère in utero."
"encéphalopathie néonatale post-asphyxique","Atteinte cérébrale consécutive à l'asphyxie périnatale.","Son pronostic est évalué par EEG et IRM. L'hypothermie contrôlée évite l'installation d'une encéphalopathie de grade III."
"hypothermie contrôlée","Traitement consistant à abaisser la température corporelle entre 33 et 34°C pendant 72 heures.","Efficacité prouvée pour éviter l'encéphalopathie III post-asphyxique. À débuter avant la 6ème heure de vie, avec analgésie systématique."
"score d'APGAR","Score évaluant l'adaptation du nouveau-né à la naissance (couleur, fréquence cardiaque, réactivité, tonus, respiration).","Un score d'Apgar <7 prolongé (au moins 5 minutes) avec hypotonie et hyporéactivité est un signe d'asphyxie périnatale."
"classification de Sarnat","Classification en trois grades de l'encéphalopathie néonatale post-asphyxique.","Grade I (légère) : résolution <48h sans séquelles. Grade II (modérée) : 40-60% de séquelles. Grade III (sévère) : coma profond, perte des réflexes du tronc, décès fréquents."
"état de conscience hyper-alerte","Niveau de vigilance excessif, le bébé est éveillé et réactif de façon excessive.","Caractéristique de l'encéphalopathie néonatale grade I (légère) selon Sarnat."
"état de conscience léthargique","Somnolence anormale, difficulté à éveiller le bébé.","Caractéristique de l'encéphalopathie grade II (modérée)."
"état de conscience stuporeux","Abattement profond, le bébé ne réagit qu'aux stimulations intenses.","Caractéristique de l'encéphalopathie grade III (sévère)."
"hypotonie légère","Diminution modérée du tonus musculaire.","Présente dans l'encéphalopathie grade II."
"flaccidité","Absence complète de tonus musculaire.","Présente dans l'encéphalopathie grade III."
"réflexe moro","Réflexe archaïque du nouveau-né (sursaut en abduction des bras).","Dans le grade I : bon ; grade II : faible/incomplet ; grade III : absent."
"convulsions","Crises épileptiques.","Absentes dans le grade I, courantes dans le grade II, fréquentes et difficiles à contrôler dans le grade III."
"créatine kinase (CK-Brain Borne)","Isoenzyme cérébrale de la créatine kinase.","Marqueur biologique de l'asphyxie périnatale."
"acides aminés excitateurs","Aspartate et glutamate.","Libérés lors de l'asphyxie, marqueurs biologiques."
"Neuro Specific Enolase (NSE)","Enolase spécifique des cellules nerveuses.","Marqueur biologique de souffrance cérébrale dans l'asphyxie."
