"question","answer","explanation","difficulty"
"L'érythème est une rougeur qui ne s'efface pas à la pression.","False","Document: 'Érythème : rougeur congestive de peau s'effaçant à la pression'","Easy"
"Une macule est une lésion avec relief.","False","Document: 'Macule : tâche avec modification de la couleur de la peau ... sans relief ni infiltration'","Easy"
"La papule contient du liquide.","False","Document: 'Papule : élevure cutanée palpable ne contenant pas de liquide'","Easy"
"Une vésicule a un diamètre de 1 à 3 mm.","True","Document: 'Vésicule (1 à 3 mm de diamètre)'","Easy"
"Une bulle mesure moins de 5 mm.","False","Document: 'Bulle (>5mm de diamètre)'","Easy"
"La pustule est une lésion élémentaire citée dans le document.","True","Document: 'Pustule' dans la liste des lésions élémentaires","Easy"
"L'ulcération est une perte de substance superficielle.","False","Document: 'Ulc : perte de substance plus profonde'","Easy"
"Le diagnostic des maladies éruptives repose essentiellement sur la biopsie cutanée.","False","Document: 'Diagnostic clinique +++' et 'Examens paracliniques : Pas toujours nécessaires'","Easy"
"Le choc septique associe tachycardie et hypotension artérielle.","True","Document: 'choc septique (tachycardie, hypotension artérielle)'","Easy"
"La maladie de Kawasaki est évoquée devant une fièvre de plus de 5 jours.","True","Document: 'Fièvre > 5j : maladie de Kawasaki'","Easy"
"Les ulcérations muqueuses et décollements épidermiques extensifs évoquent une allergie médicamenteuse grave.","True","Document: 'Ulcérations muqueuses et décollements épidermiques extensifs (allergie médicamenteuse grave)'","Easy"
"La femme enceinte n'est pas considérée comme un terrain particulier de gravité.","False","Document: 'Terrain particulier : immunodéprimés, nouveau-né, femme enceinte'","Medium"
"L'état des vaccinations n'est pas utile dans l'interrogatoire.","False","Document: 'État des vaccinations, carnet de santé OÙ TOUT DOIT FIGURER'","Medium"
"La notion de contage fait partie de l'interrogatoire.","True","Document: 'Notion de contage' dans l'interrogatoire","Medium"
"Les examens paracliniques sont systématiques devant toute maladie éruptive.","False","Document: 'Examens paracliniques : Pas toujours nécessaires'","Medium"
"La topographie des lésions doit être analysée lors de l'examen clinique.","True","Document: 'Topographie' dans la caractérisation de l'éruption","Medium"
"Le purpura fébrile isolé sans trouble hémodynamique est un critère de gravité.","False","Document: 'Purpura fébrile + trouble hémodynamique' - le trouble hémodynamique est nécessaire pour la gravité","Medium"
