"term","definition","contextual_explanation"
"cancer du colon","Tumeur maligne primitive développée à partir de la paroi colique.","Adénocarcinome dans 94% des cas, premier cancer digestif en fréquence."
"adénocarcinome","Type histologique principal du cancer du colon.","Sous‑types : lieberkhunien (73%), colloïde ou mucineux (17%), anaplasique (4%)."
"lieberkhunien","Adénocarcinome issu des cryptes de Lieberkühn.","Sous‑type le plus fréquent (73%)."
"colloïde ou mucineux","Adénocarcinome produisant du mucus.","17% des cas."
"anaplasique","Adénocarcinome peu différencié.","4% des cas."
"carcinoïde","Tumeur neuroendocrine rare.","Autre type histologique possible."
"sarcome","Tumeur maligne du tissu conjonctif.","Rare au colon."
"lymphome","Tumeur maligne du tissu lymphoïde.","Rare."
"carcinome épidermoïde","Carcinome malpighien.","Exceptionnel au colon."
"sigmoïde","Segment du colon en forme de S.","Siège le plus fréquent (66%)."
"caecum","Première partie du colon.","Peut être siège d’un cancer longtemps latent."
"colocarcinome végétant","Forme macroscopique bourgeonnante.","Dure, fragile, saignant au contact."
"colocarcinome infiltrant","Forme macroscopique s’infiltrant dans la paroi.","Dure, fragile, saignant au contact."
"colocarcinome ulcéreux","Forme macroscopique creusant un ulcère.","Dure, fragile, saignant au contact."
"extension par contiguïté","Propagation tumorale de proche en proche.","Longitudinale (le long du colon) ou transversale (traverse la paroi de la muqueuse à la séreuse)."
"chaîne mésentérique supérieure","Voie lymphatique du colon droit.","Extension lymphatique régionale."
"chaîne mésentérique inférieure","Voie lymphatique du colon gauche.","Extension lymphatique régionale."
"ganglions épicoliques","Ganglions situés sur la paroi colique.","Premier relais lymphatique."
"ganglions paracoliques","Ganglions le long du colon.","Deuxième relais."
"carcinose péritonéale","Dissémination métastatique sur le péritoine.","Complication fréquente par voie sanguine portale."
"TNM","Classification tumorale (Tumeur, Node, Métastase).","Utilisée pour le cancer du colon."
"Tis","Carcinome in situ, intra‑épithélial.","Ne dépasse pas la sous‑muqueuse."
"T1","Atteinte de la sous‑muqueuse.","Stade I."
"T2","Atteinte de la musculeuse.","Stade I."
"T3","Atteinte de la sous‑séreuse ou de la séreuse.","Stade IIA."
"T4","Envalissement des organes de voisinage.","Stade IIB."
"N0","Pas de métastase ganglionnaire.","Bon pronostic."
"N1","1 à 3 ganglions envahis.","Stade IIIA ou IIIB selon T."
"N2","4 ganglions ou plus envahis.","Stade IIIC."
"M0","Absence de métastase à distance.","Stades 0 à III."
"M1","Présence de métastase(s).","Stade IV."
"hémorragie digestive basse","Saignement d’origine colique ou rectale.","Signe fonctionnel du cancer du sigmoïde."
"troubles du transit","Constipation, diarrhée ou alternance.","Signe fonctionnel."
"AEG","Altération de l’état général.","Anémie, amaigrissement, asthénie, anorexie, fièvre – signe de stade avancé."
"occlusion","Arrêt des matières et des gaz.","Complication la plus fréquente."
"fistule","Communication anormale entre le colon et un autre organe.","Exemple : fistule sigmoïdo‑vésicale (fécalurie, infections urinaires récidivantes) ou colo‑utérine."
"perforation","Ouverture de la tumeur dans la cavité péritonéale.","Complication grave."
"colonoscopie","Endoscopie du colon.","Examen de référence avec biopsies, doit être totale."
"lavement baryté","Radiographie du colon après administration de baryte.","Montre image lacunaire, sténose ou rigidité."
"ACE","Antigène carcino‑embryonnaire.","Marqueur tumoral pour diagnostic et surveillance."
"hémogramme","Numération formule sanguine.","Recherche une anémie ferriprive ou un syndrome inflammatoire."
"scanner thoraco‑abdomino‑pelvien","Tomodensitométrie du thorax, abdomen, pelvis.","Bilan d’extension et d’opérabilité."
"coloscanner","Scanner après insufflation colique.","Alternative si coloscopie incomplète."
"statut OMS","Indice de performance de l’Organisation mondiale de la santé.","Évalue l’état général."
"indice de Karnofsky","Échelle de mesure de l’autonomie.","Également utilisé."
"stade 0","Tis (carcinome in situ).","Traitement endoscopique possible."
"stade I","T1‑T2, N0, M0.","Chirurgie curative."
"stade IIA","T3, N0, M0.","Chirurgie + éventuelle chimiothérapie adjuvante."
"stade IIB","T4, N0, M0.","Pronostic plus réservé."
"stade IIIA","T1‑T2, N1, M0.","Chimiothérapie adjuvante recommandée."
"stade IIIB","T3‑T4, N1, M0.","Chimiothérapie adjuvante."
"stade IIIC","Tout T, N2, M0.","Chimiothérapie adjuvante."
"stade IV","Tout T, tout N, M1.","Traitement palliatif."
"cancer du colon ascendant","Localisation à droite.","Douleur et tumeur palpable à droite."
"cancer du caecum","Localisation au caecum.","Longtemps latent."
"cancer de l’appendice","Localisation appendiculaire.","Rare."
"cancer de l’angle droit","Angle colique droit (hépatique).","Forme topographique."
"cancer de l’angle gauche","Angle colique gauche (splénique).","Forme topographique."
"cancer du colon descendant","Colon gauche.","Forme topographique."
"occlusion colique","Complication la plus fréquente.","Nécessite une prise en charge en urgence."
"infection","Surinfection de la tumeur.","Complication."
"perforation diastatique","Perforation due à une dilatation massive du colon en amont d’une sténose.","Nécessite une colectomie subtotale sans rétablissement."
"fécalurie","Émission d’urines mélangées à des matières fécales.","Signe de fistule sigmoïdo‑vésicale."
"facteurs protecteurs alimentaires","Légumes, fibres alimentaires.","Diminuent le risque."
"activités physiques régulières","Accélèrent le péristaltisme.","Facteur protecteur."
"Aspirine et AINS","Anti‑inflammatoires non stéroïdiens.","Effet protecteur sur les polypes."
"traitement hormonal substitutif","Œstrogènes après ménopause.","Protecteur si durée > 10 ans."
"excès calorique (viande rouge, graisses saturées)","Facteur de risque néoplasique.","Augmente le risque."
"obésité","Indice de masse corporelle élevé.","Facteur de risque."
"sédentarité","Manque d’activité physique.","Facteur de risque."
"amines aromatiques","Composés cancérigènes.","Facteur de risque."
"HNPCC","Hereditary non polyposis colorectal cancer (syndrome de Lynch).","Facteur génétique, risque très élevé."
"PAF","Polypose adénomateuse familiale.","Facteur génétique, risque très élevé."
"MICI","Maladies inflammatoires chroniques de l’intestin (Crohn, RCH).","Risque élevé."
"polype adénomateux tubuleux","Lésion précancéreuse bénigne.","Risque de dégénérescence."
"polype adénomateux villeux","Lésion précancéreuse à plus haut risque.","Risque élevé."
"maladie de Crohn","Maladie inflammatoire chronique.","Diagnostic différentiel."
"amibiase intestinale","Infection à Entamoeba histolytica.","Diagnostic différentiel."
"appendicite pseudo‑tumorale","Inflammation appendiculaire simulant une tumeur.","Diagnostic différentiel."
"tuberculose intestinale","Infection tuberculeuse du colon.","Diagnostic différentiel."
"sigmoïdite diverticulaire","Inflammation des diverticules sigmoïdiens.","Diagnostic différentiel."
"RCP","Réunion de Concertation Pluridisciplinaire.","Décision de prise en charge personnalisée."
"marges de résection R0","Résection avec marge saine (pas de cellules tumorales au bord).","Objectif de la chirurgie curative."
"marges de résection R1","Résection avec invasion microscopique du bord.","Nécessite chimiothérapie adjuvante."
"marges de résection R2","Résection avec tumeur laissée macroscopiquement.","Échec de l’exérèse."
"intervention de Hartmann","Résection colique avec colostomie terminale.","Utilisée en urgence ou pour tumeur perforée."
"colostomie","Abouchement du colon à la peau.","Chirurgie palliative devant une occlusion sténosante."
"dérivation interne","Anastomose de contournement.","Ex : anastomose iléo‑colique gauche pour cancer du colon droit."
"résection endoscopique","Mucosectomie par endoscopie.","Pour tumeurs superficielles Tis ou T1 (T2 selon document)."
"endoprothèse colique","Tube métallique expansif mis en place par endoscopie.","Palliative ou traitement d’attente avant chirurgie."
"5‑FU","Fluorouracile.","Chimiothérapie de base du cancer du colon."
"acide folinique","Potentialisateur du 5‑FU.","Associé au 5‑FU."
"dépistage","Recherche systématique chez les sujets à risque.","Hémoccult tous les 2 ans pour risque moyen, coloscopie pour risque élevé."
"Hémoccult","Test de recherche de sang occulte dans les selles.","Premier niveau de dépistage."
"chimiothérapie adjuvante","Traitement après chirurgie pour réduire le risque de récidive.","Indiquée si N+ ou résection R1/R2."
"cancer synchrone","Deux tumeurs coliques découvertes simultanément.","Nécessite une colectomie subtotale."
"colectomie subtotale","Ablation de la majeure partie du colon.","Indiquée pour cancer synchrone ou perforation diastatique."
"métastasectomie","Ablation chirurgicale d’une métastase.","En deuxième temps après résection de la tumeur primitive."
"TEP‑scan","Tomographie par émission de positons.","Examen de deuxième intention en cas de suspicion de récidive."
"fistule anastomotique","Communication anormale au niveau de l’anastomose digestive post‑opératoire.","Complication, fréquence <5%."
"mortalité opératoire","Décès dans les suites de l’intervention.","2 à 6%."
"survie à 5 ans","Pourcentage de patients vivants 5 ans après diagnostic.","50‑60% pour le cancer du colon."
