"term","definition","contextual_explanation"
"Colopathie fonctionnelle","Trouble fonctionnel intestinal caractérisé par des signes fonctionnels sans lésions anatomiques. Autres noms : troubles fonctionnels intestinaux, colopathie spasmodique, syndrome de l’intestin irritable.","Très fréquente (20-30% de la population), prédominance féminine, pic à 30-40 ans. Pathologie bénigne mais ne pas méconnaître une maladie organique."
"Syndrome de l’intestin irritable (SII)","Synonyme de colopathie fonctionnelle.","Utilisé indifféremment dans le document avec colopathie fonctionnelle."
"Troubles de la motricité","Anomalies des contractions musculaires intestinales : hyperactivité des contractions segmentaires recto-sigmoïdiennes (constipation terminale = dyschésie), diminution des contractions (constipation), spasmes (douleurs), ralentissement ou accélération du transit.","Un des trois mécanismes physiopathologiques de la colopathie fonctionnelle."
"Test au ballonnet","Examen de distension recto-sigmoïdienne : chez le sujet sain, simple gêne dans 5% ; chez le patient avec TFI, une distension minime provoque une douleur.","Met en évidence l’hypersensibilité digestive dans la colopathie fonctionnelle."
"5HT3","Neurotransmetteur sécrété par les neurones de la douleur, impliqué dans la transmission des messages douloureux. Dans la colopathie fonctionnelle, sa libération excessive participe à l’hypersensibilité.","Explication du trouble de la sensibilité digestive."
"Triade clinique évocatrice","Association de trois signes : douleur abdominale (90%), trouble du transit (diarrhée/constipation/alternance), ballonnement abdominal.","Base du diagnostic clinique de la colopathie fonctionnelle."
"Douleur abdominale fonctionnelle","Siège variable (périombilical, épigastre, HCG, fosses iliaques), intensité variable, type spasme/torsion/brûlure, post-prandiale, aggravée par repas copieux/stress/fatigue, soulagée par l’émission de gaz et selles, absente au repos.","Principal signe de la triade, présent dans 90% des colopathies fonctionnelles."
"Ballonnement abdominal","Sensation de distension abdominale, déclenchée par l’alimentation, avec augmentation de la production de gaz, améliorée par l’expulsion de gaz et de selles.","Troisième élément de la triade clinique."
"Critères de MANNING","Anciens critères diagnostiques de la colopathie fonctionnelle.","Le document les cite sans les détailler, en complément des critères de ROME IV."
"Critères de ROME IV","Critères diagnostiques actuels du syndrome de l’intestin irritable : douleurs ou gênes abdominales au moins 3 jours/mois pendant au moins 3 mois sur 6 mois, associées à au moins deux des éléments suivants : amélioration après défécation, modification de la fréquence des selles, modification de la consistance des selles (classification de Bristol).","Référence pour le diagnostic positif de colopathie fonctionnelle."
"Classification de BRISTOL","Échelle visuelle classant la consistance des selles en 7 types, utilisée dans les critères de ROME IV.","Permet de caractériser la modification de la consistance des selles dans le diagnostic de colopathie fonctionnelle."
"Coloscopie","Examen endoscopique du côlon. Indications larges dans la suspicion de colopathie fonctionnelle : <40 ans au moindre doute, signes d’alarme systématiques, >40 ans avec antécédents familiaux de cancer colorectal au 1er degré. Résultat normal dans la colopathie fonctionnelle.","Examen clé pour éliminer une cause organique."
"Lavement baryté","Examen radiologique du côlon avec produit de contraste baryté. Rarement demandé, uniquement si coloscopie incomplète.","Alternative à la coloscopie dans le bilan d’une colopathie fonctionnelle."
"Examen coprologique","Analyse des selles. Normal (pas de parasitoses) dans la colopathie fonctionnelle.","Permet d’éliminer une parasitose intestinale."
"Dyschésie","Constipation de type terminal, liée à une hyperactivité des contractions segmentaires recto-sigmoïdiennes.","Un des troubles de la motricité décrit dans la physiopathologie."
"TFI avec constipation / avec diarrhée","Sous-types cliniques de colopathie fonctionnelle selon le trouble du transit dominant.","Il faut préciser le type dans l’observation médicale."
"Dysenterie","Émission de selles glairo-sanglantes. Rarement observée lors des poussées de colopathie fonctionnelle.","Forme rare de trouble du transit dans les poussées."
"Signes d’alarme","Signes cliniques ou paracliniques faisant suspecter une pathologie organique sous-jacente (cancer, maladie inflammatoire). Leur présence impose une coloscopie systématique.","Mentionnés comme indication systématique de coloscopie."
"Colique néphrétique","Douleur aiguë due à un calcul urétéral. Diagnostic différentiel d’une douleur abdominale sous-ombilicale.","À éliminer devant une douleur sous-ombilicale avant de conclure à une colopathie fonctionnelle."
"Sigmoïdite","Inflammation du côlon sigmoïde (souvent diverticulaire). Diagnostic différentiel d’une douleur sous-ombilicale.","Pathologie organique à ne pas méconnaître."
"Tumeur villeuse","Tumeur colique de type villeux, pouvant se manifester par une diarrhée chronique. Diagnostic différentiel d’une diarrhée chronique.","À éliminer chez un patient suspect de colopathie fonctionnelle avec diarrhée."
"Test TSH-T4","Dosage de la thyréostimuline et de la thyroxine, prescrit devant une diarrhée chronique pour éliminer une hyperthyroïdie.","Normal dans la colopathie fonctionnelle."
