"term","definition","contextual_explanation"
"allaitement maternel direct","Tétée au sein.","Le fait de nourrir un bébé avec son propre lait de manière directe."
"allaitement maternel indirect","Tirage du lait et administration au bébé (cuillère, biberon, sonde gastrique).","Une forme d'allaitement où la mère tire son lait et le donne par d'autres moyens que le sein."
"lait maternel","Lait produit par la femme, spécifique d'espèce.","Recommandé par l'OMS pendant les six premiers mois pour une croissance et un développement optimaux."
"OMS","Organisation Mondiale de la Santé.","Recommande l'allaitement maternel exclusif pendant six mois et a fixé une cible mondiale de nutrition à 50% d'allaitement maternel exclusif en 2025."
"UNICEF","Fonds des Nations Unies pour l'enfance.","Partenaire de l'OMS dans les recommandations sur l'allaitement."
"structure glandulaire du sein","Lobules -> lobes galactophores (lactifères) retrouvés surtout au niveau du mamelon.","Une des cinq structures anatomiques du sein impliquées dans l'allaitement."
"système myoépithélial","Système musculaire autonome des acinus fonctionnant grâce à l'ocytocine.","Permet la contraction des cellules myoépithéliales pour l'éjection du lait."
"acinus","Unité fonctionnelle sécrétrice du sein.","Entouré de cellules myoépithéliales à activité contractile et d'une membrane basale."
"zone aréolaire","Zone pigmentée autour du mamelon comprenant l'aréole et le mamelon.","Repère visuel et olfactif (glandes de Montgomery), zone érectile (mamelon = fibres musculaires lisses)."
"glandes de Montgomery","Glandes sébacées de l'aréole.","Constituent un repère olfactif pour le nouveau-né."
"cellules épithéliales sécrétantes","Cellules de la paroi des acini qui produisent le lait.","Reposent sur des cellules myoépithéliales."
"cellules myoépithéliales","Cellules contractiles entourant les acini.","Leur contraction, sous l'effet de l'ocytocine, permet l'éjection du lait."
"lactogenèse","Processus de production et de sécrétion du lait.","Comprend plusieurs phases : grossesse, accouchement (colostrum), montée laiteuse (lait de transition), puis lait mature."
"colostrum","Premier lait sécrété après l'accouchement, épais et peu abondant (20-50 ml).","Riche en minéraux, protéines et anticorps (immunoglobulines). Surnommé « 1er vaccin »."
"montée laiteuse","Phase survenant à J2-J3 après l'accouchement.","Correspond au lait de transition, sous l'effet de la prolactine et de l'ocytocine."
"lait de transition","Lait produit entre la montée laiteuse et J15.","Sa composition évolue : diminution des protéines et Ig, augmentation du lactose, lipides et valeur énergétique."
"lait mature","Lait définitif à partir de J8-J15.","Assure la croissance, le développement cérébral et visuel, et la mise en place du système immunitaire."
"prolactine","Hormone antéhypophysaire.","Permet la fabrication du lait (réflexe de sécrétion). Sa sécrétion est surtout nocturne. Augmentée par dompéridone ou métoclopramide, diminuée par bromocriptine et lisuride."
"ocytocine","Hormone post-hypophysaire.","Permet la contraction des cellules myoépithéliales et l'évacuation du lait (réflexe d'éjection). Sa production est diminuée par le stress, la douleur, l'alcool et la nicotine."
"dompéridone","Médicament prokinétique.","Augmente la sécrétion de prolactine."
"métoclopramide","Médicament antiémétique et prokinétique.","Augmente la sécrétion de prolactine."
"bromocriptine (Parlodel)","Médicament dopaminergique.","Diminue la sécrétion de prolactine."
"lisuride (Arolac/Dopergine)","Médicament agoniste dopaminergique.","Diminue la sécrétion de prolactine."
"FIL","Facteur Inhibiteur de la Lactation.","Sécrété en même temps que le lait. Plus le bébé tête, moins il y a de FIL, plus le lait est sécrété. Régulation locale autocrine."
