question, answer, explanation, difficulty
"Expliquez la différence physiopathologique entre syndrome inter-menstruel et syndrome prémenstruel.", "Syndrome inter-menstruel = douleur brève à J14 liée à l'ovulation (imprégnation œstrogénique) ; syndrome prémenstruel = seconde phase du cycle, disparaissant avec les règles, signes généraux", "Le document sépare nettement les deux entités par leur chronologie", "Medium"
"Pourquoi la coelioscopie est-elle l'examen clé dans le diagnostic de l'endométriose ?", "Car elle visualise directement les implants endométriosiques péritonéaux, ovariens ou profonds, et permet une biopsie ou un traitement", "Le document : 'Coelioscopie diagnostique ++++'", "Medium"
"Expliquez le mécanisme de la douleur dans la dysménorrhée primaire.", "Hypercontractilité du myomètre entraînant des contractions utérines excessives et des spasmes, ischémie relative", "Le document : 'Hypercontractilité du myomètre' comme cause", "Medium"
"Pourquoi une imperforation hyménale peut-elle passer inaperçue jusqu'à la puberté ?", "Avant la puberté, il n'y a pas de flux menstruel ; à la puberté, les règles ne peuvent pas s'écouler, provoquant une douleur cyclique sans ménorragie visible", "Le document : 'douleur mensuelle sans apparition de règle'", "Difficult"
"Quelle est la place de l'IRM dans le bilan d'une endométriose suspectée ?", "Rechercher une endométriose profonde (infiltration des ligaments utéro-sacrés, du rectum, de la vessie) non visible à l'échographie", "Le document : 'IRM : si suspicion d'endométriose profonde'", "Medium"
"Quelles sont les deux principales étiologies de dysménorrhée organique selon le document ?", "Endométriose et adénomyose utérine (ou sténose du col)", "Le document : 'Dysménorrhées secondaires ou organiques : Endométriose, Adénomyose utérine, séquelles d'infections, malformations, sténose du col'", "Difficult"
"Expliquez pourquoi l'endométriose peut entraîner une dyschésie et des troubles urinaires.", "Les implants endométriosiques péritonéaux profonds peuvent envahir le septum recto-vaginal (dyschésie) ou la vessie (douleurs urinaires, hématurie cataméniale)", "Document : 'inflammation chronique au niveau de la vessie, intestin'", "Difficult"
"Quelle est la conduite à tenir devant un syndrome inter-menstruel typique ?", "Éliminer les urgences (grossesse, torsion, GEU) par examen clinique et b-HCG, puis traitement symptomatique antalgique/antispasmodique", "Le document : 'Prise en charge symptomatique après avoir éliminé toutes les urgences'", "Medium"
"Pourquoi le syndrome prémenstruel est-il invalidant sur le plan comportemental et professionnel ?", "Car les signes psychologiques (irritabilité, anxiété) et physiques (douleur, mastodynies, œdèmes) se répètent chaque cycle", "Le document : 'retentissement comportemental, professionnel et social (invalidante)'", "Medium"
"Quel est le traitement hormonal possible de la dysménorrhée primaire ?", "Oestro-progestatifs (contraception orale) qui inhibent l'ovulation et réduisent l'hypercontractilité utérine", "Document : 'oestro-progestatifs'", "Medium"
"Différenciez la dysménorrhée primaire de la dysménorrhée secondaire sur les critères diagnostiques.", "Primaire : douleur cyclique d'emblée, examen normal, pas de lésion à l'imagerie ; secondaire : apparition secondaire, examen anormal ou lésion visible (endométriose, adénomyose, sténose)", "Document : distinction organique vs non organique", "Difficult"
"Quel est le risque d'une malformation génitale non diagnostiquée comme l'imperforation hyménale ?", "Hématocolpos, hématométrie, endométriose rétrograde, douleurs chroniques, risque infectieux", "Document : 'douleur mensuelle sans apparition de règle' – complications implicites", "Difficult"
"Pourquoi la sténose du col peut-elle être acquise ?", "Post-curetage, post-radique, post-conisation, ou post-inflammatoire", "Document : 'Sténose du col (congénitale ou acquise)'", "Difficult"
"Expliquez le lien entre infection à Chlamydia et dysménorrhée secondaire.", "Chlamydia → salpingite → séquelles tubaires et adhérences pelviennes → douleur lors des règles par traction", "Document : 'Séquelles d'infections génitales (haute : surtout l'infection à Chlamydia)'", "Medium"
"Quels sont les examens à réaliser devant une suspicion de dysménorrhée secondaire ?", "Échographie pelvienne, IRM si endométriose profonde, coelioscopie, bilan infectieux", "Document : écho, IRM, coelioscopie", "Medium"
"Pourquoi la douleur de l'adénomyose est-elle parfois réfractaire aux AINS ?", "Car l'endomètre intramural provoque une réaction inflammatoire profonde moins accessible aux anti-inflammatoires", "Document non dit, implication clinique", "Difficult"
"Quelle est la particularité de la douleur mammaire dans le syndrome inter-menstruel ?", "Liée à l'imprégnation œstrogénique de la phase pré-ovulatoire", "Document : 'Signes d'imprégnation oestrogénique (douleur mammaire associée)'", "Medium"
"Quelles sont les trois étapes de la démarche diagnostique devant une DPCC ?", "Interrogatoire minutieux (périodicité), examen clinique complet, examens paracliniques ciblés", "Document structure la démarche", "Easy"
"Expliquez pourquoi l'endométriose peut être asymptomatique ou très douloureuse d'un cycle à l'autre.", "Variabilité de l'activité inflammatoire, du taux d'œstrogènes, et de la localisation des implants", "Document non dit, implication clinique", "Difficult"
"Quels sont les trois objectifs pédagogiques de ce module sur la douleur pelvienne chronique périodique ?", "Conduire la démarche diagnostique, énumérer trois étiologies, citer deux étiologies de dysménorrhée organique", "Début du document : objectifs", "Easy"
"Pourquoi le traitement du syndrome inter-menstruel ne nécessite-t-il pas d'examen complémentaire ?", "Car le diagnostic est clinique et la pathologie bénigne après élimination des urgences", "Document : 'Examens complémentaires inutiles'", "Medium"
"Quelle est la différence entre dysménorrhée et algoménorrhée ?", "Ce sont des synonymes selon le document", "Document : 'Dysménorrhées ou algoménorrhées'", "Easy"
"Quel est le retentissement comportemental possible de la DPCC ?", "Anxiété, irritabilité, absentéisme scolaire ou professionnel, dépression", "Document : 'retentissement comportemental, professionnel et social'", "Medium"
"Pourquoi les oestro-progestatifs sont-ils efficaces dans la dysménorrhée primaire ?", "Ils inhibent l'ovulation, réduisent la contractilité utérine et le volume menstruel", "Document : traitement de la dysménorrhée primaire", "Difficult"
"Quelle est la fréquence de l'endométriose chez les femmes infertiles ?", "Non précisée dans le document", "Document non dit", "Easy"
"Quel est le but de la coelioscopie dans l'endométriose douloureuse ?", "Diagnostiquer, biopsier, et traiter par excision ou coagulation des lésions", "Document : 'coelioscopie : très utile (diagnostique et opératoire)'", "Medium"
"Expliquez pourquoi l'endométriose peut simuler un syndrome prémenstruel sévère.", "Car la douleur endométriosique s'exacerbe en phase prémenstruelle sous l'effet des œstrogènes", "Document : 'Douleurs chroniques à recrudescence prémenstruelle'", "Medium"
"Quel est le traitement chirurgical des malformations génitales responsables de dysménorrhée primaire ?", "Résection du diaphragme vaginal ou incision de l'hymen imperforé", "Document : notion de malformation opérable", "Difficult"
"Quelle est la principale cause de dysménorrhée primaire chez l'adolescente ?", "Hypercontractilité du myomètre associée à des prostaglandines élevées", "Document : 'Hypercontractilité du myomètre'", "Medium"
"Pourquoi les antispasmodiques sont-ils utiles dans le syndrome inter-menstruel ?", "Car ils réduisent les contractions du myomètre et des muscles lisses pelviens", "Document : 'antispasmodique'", "Medium"
