"front","back","cognitive_level"
"Quelle est la définition biologique de l'hyponatrémie ?","Natrémie < 135 mmol/L, associée à une hypo-osmolalité plasmatique. Sévère si < 125 mmol/L ou symptomatique.","Recall"
"Quelles sont les quatre grandes pathologies souvent associées à l'hyponatrémie ?","Insuffisance cardiaque, insuffisance rénale, insuffisance hépatique, pneumopathie.","Recall"
"Quels médicaments sont le plus souvent associés à l'hyponatrémie ?","Diurétiques (+++).","Recall"
"Quelle est la conséquence cellulaire de l'hypo-osmolalité plasmatique ?","Gradient osmolaire (osmolalité LIC > LEC) → mouvement d'eau → hyperhydratation intracellulaire.","Recall"
"Citez cinq signes cliniques de l'hyponatrémie.","Nausées, dégoût de l'eau, asthénie, ralentissement idéo-moteur, céphalées, confusion, troubles de la vigilance jusqu'au coma, convulsions (cinq exemples parmi ces huit).","Recall"
"Quelle est la formule pour calculer la tonicité plasmatique ?","(Na x 2) + Glycémie (mmol/L) = 275 à 290 mosm/L.","Recall"
"Quelles sont les trois causes d'hyponatrémie avec VEC normal (capital sodé normal) ?","SSIADH (syndrome de sécrétion inappropriée d'ADH), potomanie, endocrinienne (insuffisance surrénalienne, hypothyroïdie), thiazidiques (diurétiques).","Recall"
"Quels sont les deux risques principaux d'une correction trop lente ou trop rapide de l'hyponatrémie ?","Correction trop lente : risque d'installation d'un œdème cérébral. Correction trop rapide : risque de myélinolyse centropontine.","Recall"
"Quels sont les objectifs de correction active d'une hyponatrémie sévère ou symptomatique ?","Corriger 2 à 4 mmol/L en 2 à 4 heures jusqu'à disparition des signes neurologiques ; < 10 mmol/L en 24h ; < 18 mmol/L en 48h.","Recall"
"Expliquez le mécanisme physiopathologique de l'hyperhydratation intracellulaire au cours de l'hyponatrémie.","Le sodium est le principal ion responsable de l'osmolalité plasmatique. L'hyponatrémie entraîne une hypo-osmolalité plasmatique. Le potassium est le principal ion responsable de l'osmolalité intracellulaire (gradient maintenu par pompe Na-K). L'hypo-osmolalité plasmatique crée un gradient osmolaire (osmolalité LIC > LEC) → mouvement d'eau vers la cellule → hyperhydratation intracellulaire.","Understanding"
"Pourquoi parle-t-on de « pseudohyponatrémie » et « fausse hyponatrémie » ?","Pseudohyponatrémie (hyponatrémie isotonique) : pas de trouble de l'hydratation intracellulaire, due à une hyperprotidémie ou hyperlipidémie. Fausse hyponatrémie (hyponatrémie hypertonique) : déshydratation intracellulaire, due à une hyperglycémie. La vraie hyponatrémie est hypotonique avec hyperhydratation intracellulaire.","Understanding"
"Pourquoi la natriurèse est-elle différente (<20 vs >20 mmol/L) dans les hyponatrémies avec VEC augmenté selon l'étiologie ?","Natriurèse >20 mmol/L : IRA oligurique, soluté hypotonique iatrogène. Natriurèse <20 mmol/L : œdèmes généralisés, iatrogènes, dénutrition grave, grossesse.","Understanding"
"Un patient sous diurétiques thiazidiques présente une hyponatrémie à 122 mmol/L sans œdèmes. La kaliurie n'est pas mentionnée. Dans quelle catégorie de VEC se situe ce patient et quelle est l'étiologie probable ?","VEC normal (capital sodé normal), étiologie : thiazidiques (diurétiques).","Application"
"Un patient cirrhotique avec ascite massive a une natrémie à 128 mmol/L. Natriurèse à 10 mmol/L. Quelle est la catégorie de VEC et l'étiologie ?","VEC augmenté (capital sodé augmenté) avec natriurèse <20 mmol/L, étiologie : œdèmes généralisés (ici, cirrhose).","Application"
"Comparez les risques neurologiques d'une correction trop lente versus trop rapide de l'hyponatrémie.","Correction trop lente : risque d'installation d'un œdème cérébral (aggravation de l'hyperhydratation intracellulaire). Correction trop rapide : risque de myélinolyse centropontine (démyélinisation du pont).","Analysis"
