"front","back","cognitive_level"
"Quelles sont les deux formes d'allaitement maternel selon le document ?","1. Allaitement direct : tétée au sein
2. Allaitement indirect : tirage du lait et administration au bébé (cuillère, biberon, sonde gastrique, etc.)","Recall"
"Quelle est la recommandation de l'OMS concernant la durée de l'allaitement maternel exclusif ?","Lait maternel pendant les six premiers mois. Cela permet une croissance, un développement et un état de santé optimaux. La cinquième cible mondiale de nutrition à atteindre en 2025 est un taux d'allaitement maternel exclusif au cours des 6 premiers mois d'au moins 50%.","Recall"
"Citez les cinq structures anatomiques du sein impliquées dans l'allaitement.","1. Structure glandulaire (lobules -> lobes galactophores/lactifères)
2. Système myoépithélial (acinus fonctionnant grâce à l'ocytocine)
3. Système vasculaire et lymphatique
4. Tissu graisseux
5. Zone aréolaire (aréole + mamelon)","Recall"
"Décrivez la paroi des acini mammaires.","La paroi des acini est composée de cellules épithéliales sécrétantes reposant sur des cellules myoépithéliales à activité contractile, et une membrane basale. Les acini sont entourés par un tissu conjonctif lâche (tissu de soutien).","Recall"
"Quelles sont les trois phases de la lactogenèse et leurs caractéristiques principales ?","1. Grossesse : prolifération du système alvéolo-excréteur mais inhibée par la progestérone.
2. Accouchement : levée de l'inhibition -> sécrétion du colostrum (20-50 ml, riche en minéraux, protéines, anticorps).
3. J2-J3 : montée laiteuse (lait de transition) sous l'effet de la prolactine et ocytocine. J8-J15 : lait mature (définitif).","Understanding"
"Quel est le rôle de la succion du mamelon dans l'entretien de la lactation ?","La succion du mamelon entraîne la sécrétion d'ocytocine par l'hypophyse, ce qui provoque l'excrétion du lait (réflexe d'éjection).","Understanding"
"Quelle hormone permet la fabrication du lait et quelle hormone permet l'évacuation du lait ?","- Prolactine (antéhypophysaire) : fabrication du lait (réflexe de sécrétion)
- Ocytocine (post-hypophysaire) : contraction des cellules myoépithéliales et évacuation du lait (réflexe d'éjection)","Recall"
"Citez deux médicaments qui augmentent la prolactine et deux qui la diminuent.","Augmentent : dompéridone, métoclopramide. Diminuent : bromocriptine (Parlodel), lisuride (Arolac/Dopergine).","Recall"
"Quels facteurs diminuent la production d'ocytocine ?","Le stress, la douleur, l'alcool et la nicotine diminuent la production d'ocytocine.","Recall"
"Expliquez le mécanisme de régulation locale de la lactation par le FIL (Facteur Inhibiteur de la Lactation).","Le FIL est sécrété en même temps que le lait. Plus le bébé tête, moins il y a de FIL, plus le lait est sécrété. Moins le bébé tête, plus il y a de FIL, moins le lait est sécrété. Conclusion : importance des tétées régulières pour entretenir la lactation.","Understanding"
