"question","answer","explanation","difficulty"
"L’atrésie des voies biliaires est la première cause de cholestase néonatale.","True","Le document précise explicitement que l’AVB est la première cause de cholestase néonatale.","Easy"
"L’AVB est toujours une malformation congénitale présente dès la formation des voies biliaires.","False","Le texte précise que les voies biliaires sont formées puis s’obstruent en période périnatale.","Medium"
"L’évolution spontanée de l’AVB peut conduire à une cirrhose irréversible.","True","L’évolution vers cholestase et cirrhose irréversible est mentionnée.","Easy"
"L’AVB isolée représente environ 90% des cas.","True","La forme isolée est indiquée comme représentant 90%.","Easy"
"La forme syndromique est fréquemment associée à une polysplénie.","True","Le syndrome de polysplénie est mentionné dans les anomalies associées.","Medium"
"Le type 4 correspond à une atrésie limitée au cholédoque.","False","Le type 1 correspond à cette forme ; le type 4 est une atrésie complète.","Medium"
"L’échographie abdominale est un examen clé pour le diagnostic.","True","Le document souligne son rôle central.","Easy"
"Une échographie normale élimine formellement l’AVB.","False","Le texte indique qu’une échographie normale n’élimine pas l’AVB.","Medium"
"La cholangiographie visualisant tout l’arbre biliaire élimine l’AVB.","True","Cela signifie que les voies biliaires sont perméables.","Medium"
"L’hyperbilirubinémie conjuguée est un signe biologique de l’AVB.","True","Elle fait partie du syndrome de cholestase.","Easy"
"L’hypovitaminose K est liée à une mauvaise absorption des vitamines liposolubles.","True","Le document explique que l’absence de bile empêche l’absorption de la vitamine K.","Medium"
"L’intervention de Kasai vise à supprimer la production de bile.","False","Elle vise à restaurer l’écoulement biliaire vers l’intestin.","Medium"
"L’intervention de Kasai doit idéalement être réalisée avant un mois de vie.","True","Le texte insiste sur l’intervention précoce.","Easy"
"Une complication possible après Kasai est la cholangite.","True","Les cholangites sont citées comme complications.","Easy"
"La transplantation hépatique peut être indiquée après échec du traitement.","True","Elle est indiquée en cas d’échec ou de cirrhose.","Medium"
"L’AVB peut évoluer vers une hypertension portale.","True","Le texte cite le syndrome d’HTP comme complication.","Medium"
"L’hépatocarcinome peut être une complication tardive.","True","Le document mentionne hépatocarcinome et cholangiocarcinome.","Difficult"
"Le pronostic dépend du type anatomique et de l’expérience du centre.","True","Ces facteurs sont explicitement mentionnés.","Medium"
"La survie avec foie natif est d’environ 90% à 5 ans.","False","Elle est de 32% à 5 ans.","Easy"
"Un diagnostic précoce améliore la survie et l’évolution.","True","Le document insiste sur l’importance du diagnostic précoce.","Medium"
"L''atrésie des voies biliaires est une malformation congénitale des voies biliaires présente dès la naissance.","False","Le document précise que l''obstruction survient en période périnatale sur des voies formées : ""caractérisée par une obstruction des voies biliaires survenant en période périnatale (*efa formé izay vao obstrué, tsy misy malformation)"" – ce n''est pas une malformation primitive.","Easy"
"L''évolution spontanée de l''atrésie des voies biliaires conduit au décès avant l''âge de 3 ans.","True","Le document indique : ""Evolution spontanée vers une cholestase et une cirrhose irréversible, décès avant l''âge de 3 ans"".","Easy"
"L''échographie abdominale montre une dilatation des voies biliaires dans 80% des cas d''atrésie des voies biliaires.","False","Le document dit : ""Pas de dilatation des voies biliaires ou vésicule biliaire non visible (80%)"" – donc pas de dilatation.","Easy"
"Le type 1 (atrésie limitée au cholédoque) représente 72% des cas d''atrésie des voies biliaires.","False","Le document : ""Type 1(3%)"" et ""Type 4 (72%)"". C''est le type 4 qui est le plus fréquent.","Easy"
"L''intervention de Kasai est une hépato-porto-entérostomie.","True","Le document : ""Intervention de Kasai : Hépato-porto-entérostomie"".","Easy"
"La vaccination contre les virus de l''hépatite A et B fait partie des moyens médicaux du traitement.","True","Le document mentionne : ""Vaccination contre les virus de l''hépatite A et B"".","Easy"
"L''atrésie des voies biliaires peut être évoquée en anténatal devant un kyste hilaire ou une absence de visualisation de la vésicule biliaire à 10 SA.","True","Le document : ""Echographie : parfois kyste hilaire, polysplénie, absence de visualisation de vésicule biliaire à 10SA"".","Easy"
"La cholangiographie est réalisée d''emblée en première intention devant un ictère néonatal.","False","Le document indique : ""Cholangiographie et biopsie hépatique : si examen clinique non concluante"", et l''échographie est l''examen clé d''abord.","Easy"
"Le syndrome de polysplénie est associé à une prédominance masculine.","False","Le document : ""Syndrome de polysplénie : prédominance féminine"".","Easy"
"La transplantation hépatique est indiquée en première ligne pour tout nouveau-né avec atrésie des voies biliaires.","False","Le document : d''abord intervention de Kasai, puis transplantation en cas d''échec : ""Echec de l''intervention de Kasai"".","Easy"
"L''inflammation des voies biliaires dans l''AVB est provoquée par une oblitération primitive.","False","Le document : l''inflammation provoque l''oblitération, et non l''inverse : ""Entrainant une inflammation des voies biliaires qui va provoquer une oblitération"".","Medium"
"La présence d''une vésicule biliaire visible à l''échographie élimine formellement le diagnostic d''atrésie des voies biliaires.","False","Le document : ""Une échographie normale n''élimine pas une atrésie des voies biliaires"" ; la vésicule peut être visible dans certains types (type 3 par exemple).","Medium"
"L''hypovitaminose K est due à un défaut d''absorption des vitamines liposolubles par absence de bile dans l''intestin.","True","Le document : ""Hypovitaminose K (baisse des cofacteurs de la coagulation II et VII + X) vit K liposoluble, tsisy bile du coup tsy tafiditra ilay Vit K d''où sd hémorragique"" – la bile est absente donc la vitamine K liposoluble n''est pas absorbée.","Medium"
"Le diagnostic différentiel de l''atrésie des voies biliaires inclut la lithiase de la voie biliaire principale.","True","Le document liste parmi les diagnostics différentiels : ""Lithiase de la voie biliaire principale"".","Medium"
