"question","answer","explanation","difficulty"
"Qu'est-ce qu'un vaccin ?","Préparation contenant des substances antigéniques destinées à induire chez le sujet une immunité active et spécifique contre un agent infectieux donné.","Document: 'Vaccins = préparations contenant des substances antigéniques destinées à induire chez le sujet une immunité active et spécifique'","Easy"
"Quelle est la différence entre immunité active et immunité passive ?","L'immunité active est induite par la stimulation du système immunitaire de l'individu (vaccination ou infection) et dure plusieurs années. L'immunité passive est le transfert d'anticorps d'un individu à un autre (naturel : mère-enfant, ou artificiel) et est temporaire.","Document: 'Immunité active : Stimulation du système immunitaire ; Dure plusieurs années. Immunité passive : Transfert d'un Ac produit par un être humain ou un animal à un autre ; Protection temporaire'","Easy"
"Citez 3 facteurs influençant la réponse immunitaire à la vaccination.","1. Présence d'anticorps maternels ; 2. Nature de l'Ag, dose, voie d'administration, adjuvant ; 3. Facteurs liés à l'hôte : âge, nutrition, génétique, maladie.","Document: 'Facteurs influençant la réponse immunitaire à la vaccination'","Easy"
"Quels sont les 5 types de vaccins selon leur composition ?","1. Vaccins vivants atténués ; 2. Vaccins inactivés (antigènes tués) ; 3. Anatoxines ; 4. Vaccins sous-unitaires (protéiques, polysaccharidiques, conjugués).","Document: 'CLASSIFICATION DES VACCINS'","Easy"
"Citez 2 exemples de vaccins vivants atténués viraux.","Vaccin antipoliomyélite oral (VPO), vaccin antirougeoleux, antiourlien, antirotavirus, antiamaril, encéphalite japonaise (au choix deux).","Document: 'Virus: vaccin antipoliomyélite oral (VPO), vaccin antirougeoleux, antiourlien, antirotavirus, antiamaril, vaccin de l'encéphalite japonaise inactivé' (ce dernier est inactivé, attention)","Medium"
"Citez 2 exemples de vaccins inactivés.","Vaccin anticoquelucheux à cellules entières, vaccin antipoliomyélite inactivé (VPI).","Document: 'Vaccins inactivés (antigènes tués) : anticoquelucheux à cellules entières ; Virus : vaccin antipoliomyélite inactivé (VPI)'","Easy"
"Citez 2 exemples d'anatoxines.","Anatoxine tétanique, anatoxine diphtérique.","Document: 'Anatoxines : Anatoxine tétanique, anatoxine diphtérique'","Easy"
"Citez 3 exemples de vaccins sous-unitaires protéiques.","Anti-hépatite B, anticoquelucheux acellulaire.","Document: 'Protéiques : anti-hépatite B, anticoquelucheux acellulaire'","Medium"
"Citez 3 exemples de vaccins conjugués.","Anti-Hib, antiméningococcique A et B, PCV7, PCV10, PCV13 (au choix trois).","Document: 'Conjugué : anti-Hib, antiméningococcique A et B, PCV7, PCV10, PCV13'","Medium"
"Quels sont les 4 types d'excipients dans un vaccin ?","Adjuvants, antibiotiques, conservateurs, stabilisants.","Document: 'Les excipients'","Easy"
