"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la définition de la détresse respiratoire selon le document ?","Difficultés respiratoires","Polypnée > 60/min","Cyanose","Bradypnée","1","Le document : 'Détresse respiratoire : difficultés respiratoires'.","Easy"
"Quel est le type de rythme respiratoire le plus souvent observé dans la détresse respiratoire ?","Bradypnée","Polypnée","Apnée","Rythme irrégulier","2","Le document : 'Polypnée le plus souvent'.","Easy"
"Quel est un signe de lutte respiratoire ?","Polypnée","Battement des ailes du nez","Cyanose","Tachycardie","2","Le document : 'Signes de lutte : Battement des ailes du nez, Tirage sus sternal, sous-sternal, inter-costal, sous-costal'.","Easy"
"Quel terrain spécifique est cité comme facteur de risque de gravité ?","Âge > 5 ans","Prématurité","Poids > 4 kg","Nouveau-né à terme","2","Le document : 'TERRAINS SPECIFIQUES à RISQUE : Prématurité, Cardiopathie ou maladie respiratoire sous-jacente, Drépanocytose, immunodépression'.","Easy"
"Quel signe d'épuisement respiratoire est mentionné ?","Polypnée > 60/min","Bradypnée","Cyanose","Tachycardie","2","Le document : 'Signes d’épuisement : bradypnée, irrégularité du rythme respiratoire, apnée'.","Easy"
"Quel est un signe d'hypoxie ?","Sueurs","Hypertension artérielle","Cyanose","Tachycardie","3","Le document : 'Signes d’hypoxie : cyanose, agitation, trouble de la conscience'.","Easy"
"Quel est un signe d'hypercapnie ?","Polypnée","Cyanose","Sueurs","Bradypnée","3","Le document : 'Signes d’hypercapnie : sueurs, tachycardie, hypertension artérielle'.","Easy"
"Quel examen complémentaire confirme le mécanisme évoqué de détresse respiratoire ?","Gaz du sang","Radiographie du thorax","Endoscopie","IRM","2","Le document : 'Radiographie du thorax : confirme le mécanisme évoqué'.","Easy"
"Quelle est la valeur de PaO2 définissant un signe de gravité ?","< 50 mmHg","< 60 mmHg","< 70 mmHg","< 80 mmHg","2","Le document : 'PaO2 <60 mmHg' comme signe de gravité.","Easy"
"Quelle est la valeur de PaCO2 définissant un signe de gravité ?","> 45 mmHg","> 50 mmHg","> 60 mmHg","> 70 mmHg","3","Le document : 'PaC02 > 60 mmHg' comme signe de gravité.","Easy"
"Quelle cause obstructive haute est typique du jeune nourrisson ?","Laryngite sous glottique","Cause nasale","Épiglottite","Corps étranger","2","Le document : 'Nasale : jeune nourrisson +++'","Easy"
"Quelle dyspnée est inspiratoire dans les causes obstructives hautes ?","Dyspnée expiratoire","Dyspnée inspiratoire","Dyspnée mixte","Dyspnée de Kussmaul","2","Le document : 'Hautes : dyspnée inspiratoire'.","Easy"
"Quelle dyspnée est expiratoire dans les causes obstructives basses ?","Dyspnée inspiratoire","Dyspnée expiratoire","Dyspnée de Kussmaul","Dyspnée sine materie","2","Le document : 'Basses : Dyspnée expiratoire'.","Medium"
"Quelle étiologie associe une dyspnée d'apparition brutale chez un enfant > 6 mois en contexte apyrétique ?","Bronchiolite","Asthme","Corps étranger","Laryngite","3","Le document : 'Corps étranger : dyspnée d’apparition brutale (enfant > 6 mois) dans un contexte apyrétique'.","Medium"
"Quel est un exemple de cause non obstructive de détresse respiratoire ?","Asthme","Bronchiolite","Pneumothorax","Laryngite","3","Le document : 'Atteinte pleurale : épanchement liquidien, pneumothorax' dans causes non obstructives.","Medium"
"Quelle est la position recommandée pour le nourrisson en détresse respiratoire ?","Demi-assise","Proclive","Décubitus dorsal","Décubitus ventral","2","Le document : 'Position proclive (nourrisson) ou demi-assise (enfant)'.","Medium"
"Quel est le seuil de saturation pour débuter l'oxygénothérapie ?","< 90%","< 92%","< 95%","< 97%","3","Le document : 'Oxygénothérapie par lunette nasale adaptée a la saturation (<95% : oxygénothérapie)'.","Medium"
"Quelle est la conduite à tenir si l'alimentation est impossible chez un nourrisson en détresse respiratoire ?","Jéjunostomie","Sonde naso-gastrique ou perfusion","Alimentation parentérale exclusive","Ne pas nourrir","2","Le document : 'Si alimentation impossible : apport par sonde naso-gastrique ou par perfusion'.","Medium"
"Un enfant présente une dyspnée de Kussmaul. Quel mécanisme est évoqué ?","Insuffisance circulatoire","Acidose métabolique","Hyperthermie","Obstruction bronchique","2","Le document : 'Acido-cétose métabolique (dyspnée de Kussmaul)'.","Difficult"
"Un nourrisson a une détresse respiratoire avec des ronflements nocturnes, des accès de tirage pendant le sommeil et un retard de croissance. Quel diagnostic évoquer ?","Laryngite sous glottique","Syndrome d'apnée obstructive du sommeil (SAOS)","Asthme","Corps étranger","2","Le document : 'Apnée, accès de tirage pendant le sommeil, difficulté d’endormissement, retentissement sur la croissance (syndrome d’apnée du sommeil)'.","Difficult"
