"question","answer","explanation","difficulty"
"L'hypokaliémie est définie par une concentration plasmatique < 3,5 mmol/l.","True","Le document donne cette définition.","Easy"
"La torsade de pointe est pathognomonique d'une hypokaliémie.","True","Le document le précise explicitement.","Easy"
"Le seuil de kaliurie pour une cause rénale d'hypokaliémie est K+ < 15 mmol/l.","False","Le document indique cause rénale : K+ > 25 mmol/l.","Easy"
"Le seuil de kaliurie pour une cause extra-rénale d'hypokaliémie est K+ < 15 mmol/l.","True","Le document le confirme.","Easy"
"Le débit de perfusion du chlorure de potassium IV ne doit pas dépasser 2 g/h.","False","Le débit maximal est 1,5 g/h.","Easy"
"L'hypokaliémie peut provoquer un syndrome polyuro-polydipsique.","True","Le document le mentionne.","Easy"
"L'hypokaliémie est associée à une acidose métabolique.","False","Elle est associée à une alcalose métabolique.","Easy"
"Le traitement de l'hypokaliémie modérée sans signe ECG est la supplémentation potassique orale.","True","Le document le confirme.","Easy"
"KALEORID* et DIFFU-K* sont des formes injectables de chlorure de potassium.","False","Ce sont des formes orales (sirop ou microcapsules).","Easy"
"La concentration de K+ dans le liquide digestif est de 50 mmol/l.","True","Le document donne cette valeur.","Easy"
"L'iléus paralytique est un signe neuromusculaire de l'hypokaliémie touchant les muscles striés.","False","Il touche les muscles lisses (constipation, iléus).","Easy"
"L'hyperaldostéronisme primitif (syndrome de Conn) est caractérisé par une rénine élevée.","False","Le document précise : rénine basse.","Easy"
"Le syndrome de Bartter et le syndrome de Gitelman sont des anomalies génétiques responsables d'hypokaliémie.","True","Le document les cite.","Medium"
"L'administration d'insuline peut entraîner une hypokaliémie par transfert intracellulaire.","True","Le document le confirme.","Medium"
"Les agents bêta-adrénergiques peuvent être une cause d'hypokaliémie endogène (phéochromocytome).","True","Le document mentionne ''Endogènes (phéochromocytome)''.","Medium"
"Le traitement de l'hypokaliémie sévère avec signes cardiaques repose sur la supplémentation orale.","False","Il repose sur le chlorure de potassium dilué par voie veineuse.","Medium"
"Le débit de perfusion du KCl IV est surveillé sans contrôle de la kaliémie.","False","Surveillance répétée de la kaliémie et du rythme cardiaque.","Medium"
"Le syndrome de Conn correspond à une hyperplasie bilatérale surrénalienne.","False","Le syndrome de Conn correspond à un adénome surrénalien.","Medium"
"Les diurétiques de l'anse augmentent l'élimination urinaire de potassium.","True","Le document explique le mécanisme.","Medium"
"L'hypomagnésémie a un mécanisme bien élucidé dans l'hypokaliémie selon le document.","False","Le document précise : ''mécanisme non encore élucidé''.","Difficult"
