"question","answer","explanation","difficulty"
"Le prurit est une lésion cutanée primaire.","False","C'est un signe fonctionnel, non une lésion.","Easy"
"Le prurit peut concerner les muqueuses.","True","'Concerne la peau, muqueuse, semi-muqueux'","Easy"
"Le prurit physiologique n'incite pas à consulter.","True","'Discret, se gratte de nombreuse fois dans la journée sans désagrement'","Easy"
"Le prurit aigu dure moins de 3 semaines.","True","'aiguë (< 3 semaines)'","Easy"
"L'examen physique du prurit recherche des lésions de grattage.","True","'Lésion de grattage, stries, ulcération, lichénification'","Easy"
"La lichénification correspond à une peau atrophique.","False","'peau épaissie, grisâtre, recouverte de fines squames'","Easy"
"L'urticaire se caractérise par des papules œdémateuses fugaces.","True","'Papules œdémateuses rosées, fugaces, migratrices et récidivantes'","Easy"
"Le dermographisme est une strie blanche induite par le grattage.","False","'Strie urticarienne' (rouge, œdémateuse)","Easy"
"Le psoriasis est prurigineux chez plus de la moitié des patients.","True","'plus de 56% des patients'","Easy")
"Le lichen plan donne des lésions symétriques des poignets et coudes.","True","'Poignets, avant-bras, coude, genou, région lombaire, de façon symétrique'","Easy")
"La gale épargne le visage.","True","'prurit à recrudescence nocturne épargnant le visage'","Easy")
"La gale est un prurit collectif.","True","'prurit collectif'","Easy")
"La polyglobulie de Vaquez donne un prurit diminué par l'eau chaude.","False","'augmenté par contact de l’eau surtout en bain chaud'","Easy")
"Le prurit de la maladie de Hodgkin est de bon pronostic.","False","'pronostic défavorable'","Easy")
"L'hypothyroïdie peut causer un prurit par sécheresse cutanée.","True","'Hypothyroïdie (prurit probablement dû à la sècheresse cutanée)'","Easy")
"La cholestase intrahépatique de la grossesse donne un prurit localisé.","False","'Prurit généralisé, sévère, nu'","Easy")
"Le prurit sénile est dû à une infection.","False","'Modification physiologique par vieillissement de la peau et de la terminaison nerveuse'","Easy")
"Le prurit chez le VIH peut révéler l'infection.","True","'Peut-être l’occasion de diagnostic'","Easy")
"La radiographie du thorax fait partie du bilan de première intention du prurit.","True","'Radiographie du thorax'","Easy")
"L'oxyurose est une cause de prurit génital chez l'enfant.","False","C'est une cause de prurit anal, pas génital (le document dit 'prurit anal : oxyurose')","Easy")
"Le syndrome de larve migrans cutané est dû à l'ankylostomose.","True","'Sd de larve migrans cutané (ankylostomose, anguillulose)'","Easy")
"Le prurit de la maladie de Vaquez est déclenché par le contact avec l'eau.","True","'augmenté par contact de l’eau'","Easy")
"La cirrhose biliaire primitive a souvent un prurit révélateur.","True","'souvent révélateur'","Easy")
"L'insuffisance rénale chronique donne rarement un prurit.","False","'Très fréquent chez les malades hémodialysées'","Easy")
"Les dysesthésies sont un diagnostic différentiel du prurit.","True","'Les autres sensations cutanées à différencier surtout : Dysesthésies'","Easy")
