"question","option1","option2","option3","option4","correct_option","explanation","difficulty"
"Quelle est l'autre appellation de la maladie de Crohn ?","Rectocolite hémorragique","Iléite terminale","Colite ulcéreuse","Entérite infectieuse","2","Document : 'Autre appellation : Iléite terminale (zone de prédilection d’atteinte : iléon terminale)'.","Easy"
"Quelle est la localisation la plus fréquente de la maladie de Crohn ?","Iléale isolée (30%)","Colon isolé (20%)","Iléo-colique (50%)","Ano-périnéale","3","Document : 'Atteinte iléo-colique : 50%'.","Easy"
"Quel est le gradient de fréquence de la maladie de Crohn en Europe ?","Plus fréquente au Sud","Plus fréquente au Nord","Égale","Plus fréquente à l'Est","2","Document : 'Gradient Nord-Sud : plus fréquente au Nord de l'Europe'.","Easy"
"Quel est le gène de susceptibilité associé à la maladie de Crohn ?","CARD 15 (NOD 2)","HLA-B27","CFTR","BRCA1","1","Document : 'Gène de susceptibilité : CARD 15 : NOD 2 au niveau du chromosome 16'.","Easy"
"Quel facteur environnemental augmente le risque de maladie de Crohn ?","Tabagisme actif","Exposition solaire","Régime riche en végétaux","Vitamine D","1","Document : 'Tabagisme actif : augmente le risque d’apparition de la maladie de Crohn'.","Easy"
"Quel est le syndrome douloureux typique de l'atteinte iléale dans la maladie de Crohn ?","Syndrome de Koenig","Syndrome de Budd-Chiari","Syndrome de Zollinger-Ellison","Syndrome de Gilbert","1","Document : 'Syndrome de Koenig : (lien avec atteinte de l’iléon) : Douleur + sensation de ballonnement et flatulence, puis apparition de bruits de gargouillis'.","Easy"
"Quelle manifestation cutanée est fréquente dans la maladie de Crohn ?","Mélanome","Erythème noueux","Psoriasis","Eczéma","2","Document : 'Erythème noueux (lésions élémentaires dermatologiques intéressant ++ MI)'.","Easy"
"Quelle manifestation articulaire peut être associée à la maladie de Crohn ?","Polyarthrite rhumatoïde","Spondylarthrite ankylosante","Goutte","Ostéoporose","2","Document : 'Spondylarthrite ankylosante' dans les atteintes articulaires.","Easy"
"Quel est l'examen de référence (gold standard) pour le diagnostic de la maladie de Crohn ?","Transit du grêle","Coloscopie totale","IRM abdominale","TDM","2","Document : 'Coloscopie totale +++ : Gold standard'.","Easy"
"Quelle est la lésion endoscopique caractéristique de la maladie de Crohn ?","Atteinte continue de la muqueuse","Intervalle de muqueuse saine (lésions discontinues)","Sténose unique","Polypose diffuse","2","Document : 'Lésions multiples évocatrices discontinues : \"intervalle de muqueuse saine\"'.","Easy"
"Quel est l'élément histologique évocateur de la maladie de Crohn ?","Nécrose caséeuse","Granulome épithélioïde sans nécrose caséeuse","Corps étrangers","Fibrose","2","Document : 'Granulome épithélioïde : évocateur de MC ... Sans nécrose caséeuse'.","Easy"
"Quelle est l'évolution typique de la maladie de Crohn ?","Guérison spontanée","Poussées et rémissions","Dégénérescence constante","Stabilité","2","Document : 'Evolution par Poussées et Rémission, naturellement même sans traitement'.","Easy"
"Quelle est une complication fréquente de la maladie de Crohn ?","Cirrhose","Fistules","Calculs biliaires","Hépatite fulminante","2","Document : 'Complications : Fistules'.","Easy"
"Quel score évalue l'activité de la maladie de Crohn avec 5 critères ?","Score CDEIS","Score de Rutgeerts","Index de Harvey Bradshaw (HBI)","Index de Best (CDAI)","3","Document : 'Index de Harvey Bradshaw : HBI, Evaluation de 5 critères'.","Easy"
"Quel score nécessite une évaluation sur 7 jours ?","HBI","CDAI (Index de Best)","CDEIS","Rutgeerts","2","Document : 'Index de Best : Crohn’s Disease Activity Index : CDAI, Evaluation avec 8 critères sur une période de 7 jours'.","Easy"
"Quel est le siège de prédilection de la maladie de Crohn ?","Côlon droit","Iléon terminal","Rectum","Jéjunum","2","Document : 'Iléite terminale (zone de prédilection d’atteinte : iléon terminale)'.","Easy"
"Dans quel pourcentage des cas la maladie de Crohn atteint-elle l'iléon isolément ?","50%","30%","20%","10%","2","Document : 'Iléale isolée : 30%'.","Easy"
"Quel est le pourcentage de patients atteints de maladie de Crohn porteurs de la mutation CARD15 ?","10%","20%","30%","50%","2","Document : 'Présent seulement chez 20% des patients atteints de Maladie de Crohn'.","Easy"
"Quel facteur a un effet protecteur vis-à-vis de la maladie de Crohn ?","Tabagisme","Exposition solaire","Régime riche en graisses","Carence en vitamine D","2","Document : 'Exposition solaire : effet protecteur'.","Easy"
"Quelle lésion ano-périnéale peut révéler la maladie de Crohn dans 1/3 des cas ?","Hémorroïdes","Abcès périnéal, fistule, fissure","Prolapsus rectal","Marisque","2","Document : 'LAP révèlent la maladie de Crohn dans 1/3 des cas' (lésions ano-périnéales).","Easy"
"Quelle est la particularité des lésions endoscopiques de la maladie de Crohn ?","Contiguës","Discontinues avec intervalles de muqueuse saine","Uniformes","Superficielles","2","Document.","Easy"
"Quel examen radiologique est utile pour le bilan topographique initial de la maladie de Crohn ?","Scanner","Transit du grêle","IRM","Echographie","2","Document : 'Transit du grêle : Intérêt surtout au début de la maladie de Crohn'.","Easy"
"Quel examen est le meilleur pour visualiser les abcès dans la maladie de Crohn ?","TDM abdominale","IRM","Echographie","Coloscopie","1","Document : 'TDM abdominale : Surtout abcès'.","Easy"
"Quel est le risque de dégénérescence de la maladie de Crohn en fonction de l'ancienneté et de l'atteinte colique diffuse ?","Cancer colo-rectal","Lymphome","Mélanome","Sarcome","1","Document : 'Dégénérescence ... -> cancer colo-rectal'.","Easy"
"Quelle est la principale complication sténosante de la maladie de Crohn ?","Syndrome de Koenig","Fistule","Abcès","Perforation","1","Document : 'Sténoses ... syndrome de Koenig : due à cette sténose'.","Easy"
"Quelle est la valeur seuil du CDAI pour définir une maladie inactive ?","< 100","< 150","< 200","< 250","2","Document : 'CDAI < 150 : inactive / rémission'.","Easy"
"Quel est le score HBI correspondant à une activité minime ?","< 4","4-8","8-12","> 12","2","Document : 'Entre 4 et 8 : activité minime'.","Easy"
"Quelle manifestation oculaire peut compliquer la maladie de Crohn ?","Glaucome","Uvéite","Cataracte","Rétinopathie","2","Document : 'Oculaire : uvéite (Cécité si sans PEC rapide)'.","Easy"
"Quelle est la particularité des lésions de la maladie de Crohn à l'anatomopathologie ?","Atteinte muqueuse uniquement","Atteinte transmurale (toute la paroi)","Atteinte sous-muqueuse","Atteinte séreuse","2","Document : 'Epaississement de toute la paroi' et 'lésion transpariétale'.","Easy"
"Quel est le diagnostic différentiel principal de la maladie de Crohn colique ?","Colite infectieuse","Rectocolite hémorragique (RCH)","Colite ischémique","Colite radique","2","Document : 'RCH : surtout MC colique (diffèrent sur le plan lésionnel, topographique et histologique)'.","Easy"
"Expliquez le mécanisme du syndrome de Koenig.","Douleur + ballonnement puis gargouillis, lié à une sténose iléale avec passage douloureux du bol alimentaire puis soulagement.","Document.","Medium"
"Quels sont les trois stades de gravité endoscopique de la maladie de Crohn ?","Mineures (érythème, ulcération aphtoïde), Modéré (ulcération superficielle), Grave (ulcération creusante).","Document.","Medium"
"Quels sont les quatre types de manifestations extra-digestives de la maladie de Crohn cités ?","Cutannées (érythème noueux, aphtes), articulaires (oligo-arthrite, sacro-iliite, spondylarthrite), oculaires (uvéite), vasculaires (thromboses).","Document.","Medium"
"Quelles sont les trois localisations possibles de la maladie de Crohn (fréquences) ?","Iléo-colique (50%), iléale isolée (30%), colique isolée (20%).","Document.","Medium"
"Quels sont les trois facteurs environnementaux associés à la maladie de Crohn ?","Tabagisme actif (risque), carence en vitamine D, alimentation pauvre en végétaux/riche en graisses et viande, exposition solaire (protecteur).","Document.","Medium"
"Quels sont les trois types de lésions ano-périnéales de la maladie de Crohn ?","Ulcérations, fissures, œdème induré, abcès, fistule, marisque.","Document.","Medium"
"Quelles sont les quatre complications de la maladie de Crohn ?","Sténoses, fistules, malabsorption, dégénérescence (cancer), perforation, hémorragie.","Document.","Medium"
"Quels sont les cinq critères de l'index de Harvey Bradshaw (HBI) ?","Bien-être général, douleur abdominale, masse abdominale, nombre de selles liquides/jour, manifestations extra-digestives.","Document.","Medium"
"Quels sont les huit critères de l'index de Best (CDAI) ?","Bien-être général, manifestations extra-digestives, selles liquides, prise d'anti-diarrhéique, hématocrite, douleur abdominale, masse abdominale, poids.","Document.","Medium"
"Quelles sont les quatre manifestations extra-digestives cotées dans le CDAI (1 point chacune) ?","Arthrite, énanthème (aphtes), fissure/fistule/abcès, autre fistule, fièvre >38°C.","Document.","Medium"
"Quels sont les trois diagnostics différentiels endoscopiques de la maladie de Crohn colique ?","RCH, colites infectieuses, tuberculose iléo-caecale, colites ischémiques, colites microscopiques, colites radiques.","Document.","Medium"
"Quel est le rôle de la coloscopie totale dans la maladie de Crohn ?","Gold standard : visualisation des lésions iléo-coliques, biopsies étagées, recherche d'intervalles de muqueuse saine.","Document.","Medium"
"Quel est l'intérêt du transit du grêle ?","Bilan topographique initial : rétrécissements asymétriques, dilatation en amont, ulcérations, fistules.","Document.","Medium"
"Quel est l'intérêt de la TDM abdominale ?","Recherche d'abcès, épaississement pariétal, fistules.","Document.","Medium"
"Quel est l'intérêt de l'IRM abdominale ?","Cartographie des lésions (iléale, colique, iléo-colique), évaluation des fistules.","Document.","Medium"
"Quelle est la particularité de la biopsie dans la maladie de Crohn ?","Pièces biopsiques étagées (différents segments), avec intervalles de muqueuse saine.","Document.","Medium"
"Quelle est la lésion microscopique pathognomonique de la maladie de Crohn ?","Granulome épithélioïde sans nécrose caséeuse.","Document.","Medium"
"Quelle est la signification du score CDEIS ?","Crohn’s Disease Endoscopic Index of Severity (score endoscopique de sévérité).","Document.","Medium"
"Quelle est la signification du score de Rutgeerts ?","Score endoscopique post-opératoire de récidive iléale.","Document.","Medium"
"Quel est le risque de perforation digestive lors d'une endoscopie en phase sévère ?","Risque important de perforation (stop endoscopie en cas d'ulcération creusante).","Document.","Medium"
"Quel est le traitement de la maladie de Crohn ?","Non détaillé dans ce document (corticostéroïdes, immunosuppresseurs, biothérapies).","Difficult"
"Quel est le pronostic de la maladie de Crohn ?","Maladie auto-entretenue, non guérie, mais rémissions possibles.","Document.","Easy"
"Quel est le pourcentage de patients atteints de maladie de Crohn ayant des antécédents familiaux ?","Non précisé.","Difficult"
"Quel est le rôle du microbiote intestinal dans la physiopathologie ?","Composition anormale de la flore intestinale (hypothèse).","Document.","Medium"
"Quel est le rôle de la dysfonction de la barrière intestinale ?","Hypothèse physiopathologique.","Document.","Medium"
"Quel est le rôle des réactions immunitaires excessives ?","Auto-inflammation.","Document.","Medium"
"Quelle est la particularité de la diarrhée dans la maladie de Crohn ?","Peu abondante, souvent sans retentissement sur l'état général.","Document.","Medium"
"Quel est le syndrome appendiculaire sans appendicite vraie ?","Douleur FID de la maladie de Crohn.","Document.","Medium"
"Quelle est la particularité des aphtes buccaux dans la maladie de Crohn ?","Perte de substance minime sans cicatrice.","Document.","Medium"
"Quelle est la particularité de l'érythème noueux ?","Nodosités palpables disparaissant sans cicatrice en quelques jours.","Document.","Medium"
"Quelle est la particularité de la dermatose neutrophilique ?","Lésion élémentaire à biopsie.","Document.","Medium"
"Quel est le risque de cécité lié à la maladie de Crohn ?","Uvéite non traitée.","Document.","Medium"
"Quel est le risque thrombotique dans la maladie de Crohn ?","Thromboses (auto-inflammation).","Document.","Medium"
"Quel est le signe physique à l'examen de la FID ?","Masse au niveau de la FID (iléon).","Document.","Medium"
"Qu'est-ce qu'un marisque ?","Cicatrice de prolapsus hémorroïdaire (fausse).","Document.","Medium"
"Quelle est la particularité de la région anale lors des poussées ?","Œdémateuse.","Document.","Medium"
"Quel est le bilan biologique typique de la maladie de Crohn ?","Syndrome inflammatoire (VS, CRP augmentés).","Document.","Easy"
"Quelle est la valeur de l'hématocrite dans le CDAI ?","Chute de l'hématocrite (comparatif).","Document.","Medium"
"Quel est le facteur multiplicatif du poids dans le CDAI ?","*100 (poids actuel/poids théorique).","Document.","Medium"
"Quel est le facteur multiplicatif des selles liquides dans le CDAI ?","*2","Document.","Medium"
"Quel est le facteur multiplicatif de la masse abdominale dans le CDAI ?","*10","Document.","Medium"
"Quel est le facteur multiplicatif des manifestations extra-digestives dans le CDAI ?","*30","Document.","Medium"
"Quel est le facteur multiplicatif de la douleur abdominale dans le CDAI ?","*6","Document.","Medium"
"Quel est le facteur multiplicatif du bien-être général dans le CDAI ?","*6","Document.","Medium"
"Quel est le facteur multiplicatif de la prise d'anti-diarrhéique dans le CDAI ?","*4","Document.","Medium"
"Quel est le score HBI pour une activité modérée ?","8-12","Document.","Medium"
"Quel est le score HBI pour une activité sévère ?",">12","Document.","Medium"
"Quel est le score CDAI pour une maladie active ?","150-250","Document.","Medium"
"Quel est le score CDAI pour une maladie sévère ?",">250","Document.","Medium"
"Un patient de 25 ans présente une douleur FID avec syndrome de Koenig, une diarrhée chronique non abondante, des aphtes buccaux et un érythème noueux. La coloscopie montre des ulcérations aphtoïdes de l'iléon terminal avec intervalles de muqueuse saine. Quel diagnostic ?","Maladie de Crohn iléo-colique.","Document.","Difficult"
