"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la définition d'un ictère selon le document ?","Coloration jaune de la peau uniquement","Coloration jaune de la peau et des muqueuses associée à une augmentation de la bilirubinémie","Augmentation isolée de la bilirubinémie","Coloration orange de la peau","2","Document : 'Coloration jaune de la peau et de la muqueuse, Associé à une augmentation de la bilirubinémie'.","Easy"
"Quelle est la bilirubinémie totale normale selon le document ?","10 µmol/l","18 µmol/l","25 µmol/l","50 µmol/l","2","Document : 'Bilirubinémie totale normale : 18µmol/l'.","Easy"
"À partir de quelle valeur de bilirubinémie totale l'ictère devient-il visible ?","> 25 µmol/l","> 50 µmol/l","> 18 µmol/l","> 100 µmol/l","2","Document : 'Ictère (visible) = Bilirubinémie totale > 50 µmol/l'.","Easy"
"Quel est le principal produit de dégradation à l'origine de la bilirubine ?","L'hème","La globine","Le fer","La transferrine","1","Document : 'Bilirubine : produit de dégradation de l’hème'.","Easy"
"Quelle est l'origine principale (80-85%) de l'hème dégradé en bilirubine ?","Catabolisme de l'hème hépatique","Catabolisme des globules rouges (hémoglobine)","Catabolisme des précurseurs des hématies","Catabolisme des myoglobines","2","Document : '80-85% : catabolisme des globules rouges (hémoglobine dans le sang)'.","Easy"
"Dans le sang, sous quelle forme est transportée la bilirubine ?","Libre, associée à l'albumine","Conjuguée à l'acide glucuronique","Associée à la ligandine","Sous forme de stercobiline","1","Document : 'transportée vers les hépatocytes toujours attachée à l’albumine = bilirubine libre, non conjuguée'.","Easy"
"Quelle enzyme permet la conjugaison de la bilirubine dans l'hépatocyte ?","Glucuronyl-transférase","ABCC2","OATP1","Ligandine","1","Document : 'sous l’action de la glucuronyl-transférase = phase de conjugaison'.","Easy"
"Quel transporteur permet l'excrétion de la bilirubine conjuguée dans les canalicules biliaires ?","ABCC3","OATP1","ABCC2 (MRP2)","Ligandine","3","Document : 'sous l’action d’un transporteur : ABCC2 (=MRP2)'.","Easy"
"Quelle est la couleur des urines dans un ictère cholestatique ?","Claires","Foncées (brunes, noirâtres, mousseuses)","Rouges","Incolores","2","Document : 'Urines foncées (augmentation excessive de l’urobilinogène) : brûnes, noirâtres, mousseuses'.","Easy"
"Quelle est la couleur des selles dans un ictère cholestatique ?","Normales","Décolorées (en mastic)","Noires","Rouges","2","Document : 'Selles décolorées : en mastic ou graisseuse'.","Easy"
"Quel signe clinique traduit un obstacle sur le cholédoque ?","Hépatomégalie","Grosse vésicule palpable","Splénomégalie","Ascite","2","Document : 'Grosse vésicule palpable : Sa présence traduit un obstacle au niveau du trajet du cholédoque'.","Easy"
"Quel est l'examen clé systématique devant un ictère cholestatique ?","Scanner abdominal","Échographie abdominale","IRM","CPRE","2","Document : 'Examen clé : systématique devant un ictère cholestatique' (échographie).","Easy"
"À l'échographie, une dilatation des voies biliaires intra- et extra-hépatiques signe quoi ?","Cholestase intra-hépatique","Cholestase extra-hépatique (obstacle)","Cirrhose","Hépatite","2","Document : 'Dilatation des VBIH/VBEH : = obstacle : cholestase extra-hépatique'.","Easy"
"Quel est le diagnostic différentiel d'un ictère à bilirubine libre par hémolyse ?","Maladie de Gilbert","Cancer du pancréas","Lithiase cholédocienne","Cholangite sclérosante","1","Document : 'Ictères à bilirubine libre (hémolyse) ... Maladie de Gilbert'.","Easy"
"Quel est l'âge typique de la maladie de Gilbert ?","Enfants de moins de 5 ans","15-20 ans","30-40 ans","Plus de 60 ans","2","Document : 'Âge : 15-20 ans'.","Easy"
"Quel est le mécanisme de la maladie de Gilbert ?","Mutation du transporteur ABCC2","Diminution de l'activité de la glucuronyl-transférase","Destruction des globules rouges","Obstruction biliaire","2","Document : 'diminution de l’activité de l’enzyme bilirubine-glucuronyl-transférase hépatique'.","Easy"
"Quel est le mode de transmission du syndrome de Crigler-Najjar ?","Autosomale dominante","Autosomale récessive","Liée à l'X","Mitochondriale","2","Document : 'Maladie congénitale rarissime : autosomale récessive'.","Easy"
"Quelle est la principale étiologie de cholestase extra-hépatique dans la pratique quotidienne selon le document ?","Cancer de la tête du pancréas","Lithiase cholédocienne","Pancréatite chronique","Ampullome vatérien","2","Document : 'Principales étiologies dans la pratique quotidienne : Lithiase cholédocienne, Cancer de la tête du pancréas' (les deux sont cités).","Easy"
"Quelle tumeur se développe à partir du canal de Wirsung, du canal commun bilio-pancréatique et de la papille ?","Tumeur de Klatskin","Ampullome vatérien","Cholangiocarcinome","Cancer de la tête du pancréas","2","Document : 'Ampullome vatérien : Tumeur se développant à partir du canal de Wirsung, du canal commun bilio-pancréatique et de la papille'.","Easy"
"Quel anticorps est caractéristique de la cholangite biliaire primitive ?","Ac anti-LKM1","Ac anti-mitochondrie de type M2","Ac anti-nucléaires","Ac anti-muscle lisse","2","Document : 'Cholangite biliaire primitive : Positivité des Ac anti-mitochondrie de type M2'.","Easy"
"Quelle maladie génétique est due à une anomalie du transporteur ABCC2 ?","Maladie de Gilbert","Maladie de Crigler-Najjar","Maladie de Dubin-Johnson","Maladie de Rotor","3","Document : 'Maladie de Dubin Johnson : Maladie génétique liée à une anomalie du transporteur ABCC2'.","Easy"
"Quel est l'aspect laparoscopique du foie dans la maladie de Dubin-Johnson ?","Foie normal","Foie noirâtre","Foie jaune","Foie vert","2","Document : 'Laparoscopie : Foie noirâtre'.","Easy"
"Quelle est la différence entre la maladie de Dubin-Johnson et la maladie de Rotor sur le plan de la coloration du foie ?","Rotor a un foie noirâtre aussi","Dubin-Johnson a un foie noirâtre, Rotor n'a pas de coloration noire","Les deux ont un foie noir","Les deux ont un foie normal","2","Document : 'Différence par rapport à Dubin-Jonson : Absence de coloration noire des hépatocytes'.","Easy"
"Quel est le nom du transporteur commun avec le colorant BSP ?","ABCC3","ABCC2 (MRP2)","OATP1","Ligandine","2","Document : 'Ce transporteur est un transporteur commun d’un colorant appelé BSP'.","Easy"
"Quel examen permet d'explorer les voies biliaires par IRM ?","CPRE","CPTH","Bili-IRM","Echo-endoscopie","3","Document : 'Bili-IRM : IRM des voies biliaires, Exploration des voies biliaires par excellence'.","Easy"
