"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la tranche d’âge typique du kwashiorkor selon le document ?","6-12 mois","1-3 ans","3-5 ans","5-10 ans","2","Le document : ''Âge : 1-3 ans''.","Easy"
"Parmi les signes digestifs du kwashiorkor, on trouve :","Constipation","Anorexie","Polyphagie","Dysphagie","2","Le document : ''Anorexie''.","Easy"
"Les troubles bucco-pharyngés du kwashiorkor incluent :","Gingivite uniquement","Muguet, aphte, stomatite","Parodontite","Caries dentaires","2","Le document : ''muguet (taches blanchâtre), aphte, stomatite''.","Easy"
"Quel est le signe trophique cutané caractéristique du kwashiorkor ?","Desquamation","Œdèmes bilatéraux","Purpura","Ulcères de jambe","2","Le document : ''Œdèmes bilatéraux (1+ : pied, 2+ : tous les MI, 3+ : autres parties)''.","Easy"
"Les cheveux dans le kwashiorkor sont :","Noirs et brillants","Roux, cassants, s’arrachent facilement","Blancs","Gras","2","Le document : ''Cheveux roux, cassants, et s'arrachent facilement''.","Easy"
"Quel est le test utilisé pour évaluer l’appétit et rechercher des complications ?","Test de dépistage","Test de l’appétit + PCIME","Test de Guthrie","Test au glucagon","2","Le document : ''Test de l'appétit + recherche de complications médicales (PCIME)''.","Easy"
"Une complication fréquente du kwashiorkor est :","Hyperglycémie","Hypoglycémie","Hypernatrémie","Hypercalcémie","2","Le document : ''Hypoglycémie'' dans complications.","Easy"
"L’hypothermie (<35,5°C) dans le kwashiorkor peut être un signe :","D’hyperthyroïdie","D’hypoglycémie ou d’infection","De déshydratation","D’anémie","2","Le document : ''Hypothermie (<35,5°C) (signe d'hypoglycémie ou signe d'infection)''.","Easy"
"Le CRENAM est un centre pour :","La malnutrition aiguë sévère avec complications","La malnutrition aiguë modérée (ambulatoire)","La malnutrition aiguë sévère sans complications","La réanimation","2","Le document : ''CRENAM (Centre de Récupération et d'Education Nutritionnelle Ambulatoire pour la malnutrition aiguë modérée)''.","Easy"
"Le CRENAS prend en charge :","La malnutrition aiguë modérée","La malnutrition aiguë sévère sans complications","Les femmes enceintes","Les nourrissons <6 mois","2","Le document : ''CRENAS (CRENA pour la malnutrition aiguë sévère Sans complications)''.","Easy"
"Le CRENI est indiqué pour :","La malnutrition aiguë modérée","La malnutrition aiguë sévère avec complications","Le suivi ambulatoire","La prévention","2","Le document : ''CRENI (CREN Intensif pour la MAS avec complications)''.","Easy"
"En phase aiguë (Phase I) du traitement, le lait thérapeutique utilisé est :","F100","F75","Plumpy nut","Résomal","2","Le document : ''Phase aiguë ou Phase I – Le traitement nutritionnel repose sur le F75''.","Easy"
