"front","back","cognitive_level"
"Quelle est la définition de la constipation selon le document ?","Moins de 3 selles par semaine, associée à une sensation d’exonérations incomplètes (''tsy afa-po'') ou une expulsion difficile.","Recall"
"Quels sont les deux grands mécanismes physiopathologiques de la constipation ?","1) Trouble de la progression du bol fécal (par anomalie du contenant : motricité colique ; ou anomalie du contenu : déshydratation/fragmentation → scybales). 2) Trouble de l’évacuation sigmoïdo-rectale (dyschésie).","Understanding"
"Qu’est-ce que la dyschésie ?","Trouble de l’évacuation sigmoïdo-rectale se manifestant par une sensation d’exonération incomplète.","Recall"
"Quelles sont les deux formes de trouble de la motricité colique pouvant causer une constipation ?","1) Motricité exagérée mais anarchique : hyperspasmodicité segmentaire. 2) Motricité diminuée : hypotonie ou inertie colique.","Recall"
"Qu’est-ce que les scybales ?","Excréments durs et arrondis, résultant d’une déshydratation et fragmentation du bol fécal.","Recall"
"Décrivez les trois temps de l’évacuation sigmoïdo-rectale.","Temps sigmoïdien : contraction massive propulsant le bol fécal vers le sigmoïde, avec redressement et invagination dans le rectum. Temps rectal : présence de selles augmentant la pression rectale ; 40-50 mmHg est la côte d’alerte (envie d’aller à la selle). Temps anal : relâchement du releveur de l’anus et du sphincter anal (contrôle volontaire).","Recall"
"Qu’est-ce que le réflexe ano-sigmoïdien inhibiteur (RAI) ?","Un mécanisme qui diminue le besoin d’exonérer. Lorsqu’il y a envie d’exonérer, la continence volontaire est assurée par le RAI : contraction volontaire du sphincter externe pendant 25 secondes entraîne une hypotonie recto-sigmoïdienne, une diminution de la pression intra-rectale et une diminution du besoin d’exonérer.","Understanding"
"Qu’est-ce que l’anisme ?","Absence de relâchement du sphincter interne et du sphincter externe au moment des poussées défécatoires.","Recall"
"Quels sont les quatre signes cliniques du diagnostic positif de constipation ?","1) Rareté de l’évacuation fécale (< 3x par semaine), 2) Présence de scybales, 3) Difficulté à exonérer, 4) Sensation d’évacuation complète (ou plutôt sensation d’évacuation incomplète ? Le document indique ''Sensation d’évacuation complète'' mais il y a une incohérence. Relecture : ''Sensation d’évacuation complète'' est listé. Cependant la définition inclut ''sensation d’exonérations incomplètes''. Je vais citer le document : ''Sensation d’évacuation complète'' tel quel.","Recall"
"Quels éléments préciser à l’interrogatoire devant une constipation ?","Ancienneté, début ; habitudes hygiéno-diététiques (hydratation, alimentation) ; troubles digestifs accompagnateurs (ballonnement, douleur) ; amaigrissement (attention cancer) ; antécédents : laxatifs, efficaces ou non.","Recall"
"Que recherche-t-on à l’examen physique et au toucher rectal (TR) pour une constipation ?","Paroi abdominale : musculature, éventration ; Anus : fissure, hémorroïde, sténose anale. TR : le mieux après défécation, recherche de matières résiduelles (dyschésie), tonus du sphincter anal (hypertonique ?), masse intra-rectale.","Recall"
"Quelles lésions peut-on voir à l’anuscopie ou rectoscopie chez un constipé ?","Lésions anales et rectales (fissures, lésions hémorroïdaires), mélanoses (coloration noirâtre de la muqueuse recto-colique) en cas d’abus de laxatifs irritants (anthraquinones).","Recall"
"Quels sont les cinq signes d’alarme (diagnostic de gravité) imposant une coloscopie totale devant une constipation ?","1) Apparition récente (modification récente du transit chez une personne régulière), 2) Sujet > 40 ans, 3) Rectorragie, 4) Anémie, 5) AEG (Altération de l’État Général).","Recall"
"Quelles sont les causes occasionnelles de constipation ?","Post-opératoires, alitement, fièvre, grossesse.","Recall"
"Citez au moins trois causes médicamenteuses (iatrogènes) de constipation.","Opiacés, anticholinergiques, phénophtaléine, anthraquinones.","Recall"
"Citez trois causes endocriniennes ou métaboliques de constipation.","Hypothyroïdie, insuffisance rénale, hypocalcémie vraie.","Recall"
"Quels examens complémentaires peut-on prescrire pour explorer une constipation suspectée de trouble de l’évacuation ?","Manométrie recto-anale (explore la défécation, mesure pression ano-rectale), défécographie (radiographie recto-anale de profil pendant la défécation d’un produit opaque, recherche troubles statiques et dynamiques).","Recall"
"Comment se réalise le test au carmin pour mesurer le temps de transit colique ?","2 comprimés de rouge carmin. Premières selles rouges : 18-24 h. Dernières selles rouges : 24-72 h.","Recall"
"Un patient de 45 ans, sans antécédent, rapporte une constipation apparue depuis 2 mois, avec amaigrissement et rectorragie. Quel examen devez-vous prescrire en priorité ?","Coloscopie totale (car présence de signes d’alarme : apparition récente, >40 ans, rectorragie, AEG par amaigrissement).","Application"
"Quelle est l’étiologie la plus fréquente de la constipation selon le document ?","Constipation primitive (fonctionnelle) liée à une alimentation pauvre en fibres, ration hydrique insuffisante, vie sédentaire, éducation, vie scolaire.","Recall"
