"question","answer","explanation","difficulty"
"Quels sont les trois éléments de la phase d'invasion (catarrhale) de la rougeole ?","Fièvre élevée, catarrhe oculo-respiratoire (larmoiement, conjonctivite, rhinorrhée, toux), signe de Köplik (tâches punctiformes blanches bleutées sur la muqueuse jugale).","Document: 'Phase d'invasion (catarrhale ou pré-éruptive)'","Easy"
"Décrivez l'éruption cutanée typique de la rougeole (début, extension, régression, caractère).","Exanthème maculopapuleux non prurigineux. Début derrière les oreilles, extension descendante (face, puis tronc, membres) en une seule poussée en 24-48h. Régression en 5-6 jours.","Document: 'Phase éruptive'","Easy"
"Quelles sont les deux complications neurologiques de la rougeole et leurs délais de survenue ?","1. Encéphalite aiguë morbilleuse précoce post-éruptive (1/1000) ; 2. Panencéphalite sclérosante subaiguë de survenue retardée (5 à 10 ans après la rougeole).","Document: 'Complications neurologiques'","Easy"
"Quels sont les trois traitements symptomatiques de la rougeole cités dans le document ?","Paracétamol (fièvre), désobstruction rhino-pharyngée (DRP), vitamine A, apport hydrique suffisant.","Document: 'Traitement'","Easy"
"Quelles sont les trois mesures de prévention de la rougeole mentionnées ?","Vaccination (2 doses avant 2 ans), déclaration obligatoire, vérification du statut vaccinal des sujets contacts, éviction scolaire des cas confirmés pendant 5 jours après le début de l'éruption.","Document: 'Prévention'","Medium"
"Expliquez le rôle de la vitamine A dans la prise en charge de la rougeole.","La vitamine A permet d'éviter les complications. Posologie : <12 mois : 100 000 UI ; >12 mois : 200 000 UI.","Document: 'Vitamine A (évite les complications, <12 mois : 100.000 UI, 200.000UI pour les >12'","Medium"
"Quels sont les signes cliniques de la phase d'invasion de la rougeole ?","Fièvre élevée, catarrhe oculo-respiratoire (larmoiement, conjonctivite, rhinorrhée, toux), énanthème pathognomonique (signe de Köplik : tâches punctiformes blanches bleutées sur muqueuse jugale inflammatoire).","Document: 'Phase d'invasion'","Medium"
"Quelles sont les complications infectieuses de la rougeole ?","Bronchite, pneumopathie (diffusion virale), surinfections pulmonaires bactériennes, otite moyenne aiguë purulente.","Document: 'Complications : Infectieuses'","Medium"
"Un enfant non vacciné a un contage avec un cas de rougeole. Quel est le délai d'incubation et quand apparaît l'éruption ?","Incubation de 10 à 12 jours. L'éruption apparaît environ 2 semaines après le contage (soit après la phase d'invasion de 2-4 jours).","Document: 'Incubation : 10-12 jours ; Début : environ 2 semaines après le contage'","Medium"
"Quelle est la particularité de l'extension de l'éruption de la rougeole ?","Extension descendante : début derrière les oreilles, puis face, puis descend vers le tronc et les membres en une seule poussée en 24-48 heures.","Document: 'Extension descendante (face, puis descend) en une seule poussée en 24-48h'","Medium"
"Un enfant de 4 ans présente une rougeole avec des ulcérations buccales et une impossibilité de s'alimenter. Quel est le risque et la prise en charge ?","Risque de déshydratation. Prise en charge : réhydratation intraveineuse à l'hôpital.","Document: 'Ulcérations buccales (ne peuvent pas s'alimenter : déshydratation-> réhydratation intraveineuse)'","Difficult"
"Un enfant de 9 ans a une rougeole avec une fièvre élevée, une toux, une conjonctivite, et une éruption maculopapuleuse. Quel traitement médicamenteux spécifique est indiqué en prévention des complications ?","Vitamine A (200 000 UI car >12 mois), paracétamol pour la fièvre, désobstruction rhinopharyngée, apport hydrique. Antibiothérapie uniquement en cas de surinfection bactérienne.","Document: 'Traitement'","Difficult"
"Expliquez le mécanisme de la panencéphalite sclérosante subaiguë après rougeole.","C'est une complication neurologique tardive (5-10 ans après la rougeole) due à une persistance du virus morbilleux dans le système nerveux central, entraînant une dégénérescence progressive.","Document: 'Panencéphalite sclérosante subaiguë de survenue retardée (5 à 10 ans)'","Difficult"
"Quels sont les arguments anamnestiques pour le diagnostic de rougeole ?","Absence d'antécédent de rougeole, absence de vaccination antirougeoleuse, notion de contage avec un cas dans l'entourage dans les 2 dernières semaines.","Document: 'Anamnèse'","Easy"
"Quel est le traitement des surinfections pulmonaires bactériennes dans la rougeole ?","Antibiothérapie adaptée.","Document: 'Antibiothérapie si surinfections bactériennes'","Medium"
"Un enfant de 11 mois a une rougeole. Quelle est la dose de vitamine A recommandée ?","100 000 UI.","Document: '<12 mois : 100.000 UI'","Easy"
