"front","back","cognitive_level"
"Quelle est la définition biologique de l'hypokaliémie ?","Concentration plasmatique de potassium < 3,5 mmol/L.","Recall"
"Quel signe ECG est pathognomonique de l'hypokaliémie ?","La torsade de pointe.","Recall"
"Citez quatre signes ECG de l'hypokaliémie.","Dépression du segment ST, affaissement ou inversion de l'onde T, apparition de l'onde U, allongement de QT ou QU, élargissement du QRS, torsade de pointe (quatre exemples parmi ces six).","Recall"
"Quels sont les signes neuromusculaires de l'hypokaliémie sur les muscles striés et les muscles lisses ?","Muscles striés : crampes, myalgies, faiblesse musculaire, paralysie flasque. Muscles lisses : constipation, iléus paralytique.","Recall"
"Quel est le seuil de kaliurie pour distinguer une cause rénale d'une cause extra-rénale d'hypokaliémie ?","Cause rénale : kaliurie > 25 mmol/L. Cause extra-rénale : kaliurie < 15 mmol/L.","Recall"
"Citez trois causes extra-rénales d'hypokaliémie (kaliurie basse).","Pertes digestives (diarrhée, laxatifs, drainage digestif), carence d'apport (anorexie mentale, nutrition artificielle exclusive sans potassium).","Recall"
"Quelles sont les deux grandes catégories d'hyperaldostéronisme et quelle est la différence sur le plan de la rénine ?","Hyperaldostéronisme secondaire : rénine élevée (activation du SRAA). Hyperaldostéronisme primitif : rénine basse (hyperproduction d'aldostérone sans stimulation du SRAA).","Recall"
"Citez deux diurétiques pouvant causer une hypokaliémie.","Diurétiques de l'anse (augmentent l'élimination de Na+ et d'eau → activation pompe Na-K → élimination accrue de K+).","Recall"
"Quels sont les deux syndromes génétiques associés à une hypokaliémie sans HTA ?","Syndrome de Gitelman et syndrome de Bartter.","Recall"
"Quelles sont les trois causes de transfert excessif de potassium vers le secteur cellulaire ?","Alcalose métabolique ou respiratoire, administration d'insuline, agents bêta-adrénergiques (endogènes : phéochromocytome ; exogènes : bêta-mimétiques).","Recall"
"Expliquez le mécanisme par lequel une alcalose provoque une hypokaliémie.","Par transfert excessif de potassium vers le secteur cellulaire (le K+ entre dans les cellules en échange d'ions H+ sortant).","Understanding"
"Pourquoi l'hypomagnésémie peut-elle entraîner une hypokaliémie ?","Mécanisme non encore élucidé selon le document, mais elle est citée parmi les causes rénales d'hypokaliémie sans HTA.","Understanding"
"Pourquoi les diurétiques de l'anse provoquent-ils une hypokaliémie ?","Ils augmentent l'élimination de sodium et d'eau, ce qui active la pompe Na-K au niveau rénal, entraînant une élimination accrue de potassium.","Understanding"
"Un patient présente une hypokaliémie à 2,8 mmol/L avec une kaliurie à 30 mmol/L, une HTA et une rénine basse. Quelle est l'étiologie la plus probable ?","Hyperaldostéronisme primitif (hyperaldostéronisme avec rénine basse, HTA présente, kaliurie > 25 mmol/L). Causes possibles : adénome surrénalien (syndrome de Conn) ou hyperplasie bilatérale surrénalienne.","Application"
"Un patient asthmatique sous bêta-mimétiques inhalés présente une hypokaliémie à 3,0 mmol/L sans perte digestive ni diurétiques. Quel est le mécanisme de cette hypokaliémie ?","Transfert excessif de potassium vers le secteur cellulaire, induit par les agents bêta-adrénergiques exogènes (bêta-mimétiques utilisés dans l'asthme).","Application"
"Comparez la prise en charge d'une hypokaliémie modérée sans signe ECG versus une hypokaliémie sévère compliquée.","Hypokaliémie modérée sans signe ECG : supplémentation potassique orale (aliments riches en potassium : bananes, fruits secs, légumes, viandes, chocolat ; ou chlorure de potassium en sirop ou microcapsules : KALEORID, DIFFU-K). Hypokaliémie sévère ou compliquée (cardiaque) : chlorure de potassium dilué par voie veineuse, débit ≤ 1,5 g/h, sous surveillance répétée de la kaliémie et du rythme cardiaque.","Analysis"
