"front","back","cognitive_level"
"Qu’est-ce qu’une présentation céphalique ?","Présentation où la tête du fœtus se présente en premier au niveau du bassin. La présentation du sommet est la plus fréquente (95 %) et la plus favorable.","Recall"
"Quelle est la différence entre accouchement eutocique et accouchement dystocique ?","Eutocique : expulsion fœtale par aboutissement de phénomènes physiologiques normaux. Dystocique : difficultés ou impossibilité d’accouchement par voie basse (nécessité de manœuvres ou extraction instrumentale).","Recall"
"Quels sont les trois éléments fondamentaux pour permettre un accouchement par voie basse ?","1) Utérus. 2) Bassin maternel. 3) Mobile fœtal.","Recall"
"Quel est le rôle de l’utérus dans l’accouchement ?","Moteur de l’accouchement. Constitué du corps utérin, du segment inférieur (transmission mécanique des contractions, accommodation, effacement du col) et du col (dilatation et effacement).","Recall"
"Quelles sont les trois formes du bassin maternel ?","Gynoïde, androïde, anthropoïde.","Recall"
"Qu’est-ce que l’engagement ?","Franchissement du détroit supérieur par le plus grand diamètre de la présentation fœtale.","Recall"
"Citez les six variétés de présentation du sommet (occipito-iliaques).","1) Occipito-iliaque droit antérieur (OIDA). 2) Occipito-iliaque gauche antérieur (OIGA). 3) Occipito-iliaque droite transverse (OIDT). 4) Occipito-iliaque gauche transverse (OIGT). 5) Occipito-iliaque droit postérieur (OIDP). 6) Occipito-iliaque gauche postérieur (OIGP).","Recall"
"Quels sont les quatre mécanismes d’accommodation du fœtus pendant l’accouchement ?","1) Flexion. 2) Orientation en oblique. 3) Asynclitisme. 4) Déformation plastique du crâne fœtal.","Recall"
"Quel est le diamètre qui emprunte le diamètre antéro-postérieur lors de la flexion ?","Diamètre sous-occipito-bregmatique = 9,5 cm.","Recall"
"Quels sont les signes cliniques du début du travail ?","1) Perte du bouchon muqueux (glaires brunâtres/blanchâtres striées de sang). 2) Contractions utérines régulières (>2/10min), rythmées, involontaires, intermittentes, totales, douloureuses, d’intensité/durée/fréquence croissante. 3) Modification cervicale : ramollissement, raccourcissement (effacement), dilatation, centrage.","Recall"
"Quelle est la durée normale de la 1ère étape du travail (dilatation) ?","Primipares : 6-18 heures. Multipares : 2-10 heures.","Recall"
"Quelle est la durée normale de la 2ème étape du travail (engagement, descente, expulsion) ?","1-2 heures, voire 3 heures.","Recall"
"Quelle est la durée normale de la 3ème étape (délivrance) ?","5-30 minutes.","Recall"
"Quelle est la durée normale de la 4ème étape (surveillance post-partum immédiat) ?","2 heures en salle de naissance.","Recall"
"Qu’est-ce que la phase de latence de la 1ère étape ?","Phase la plus longue. Plus de 2 CU/10 min. Durée moyenne : 8,6h (primipare) / 5,3h (multipare). Maximum : 20h (primipare) / 14h (multipare).","Recall"
"À partir de quelle dilatation commence la phase active de la 1ère étape ?","À partir de 5 cm de dilatation. Vitesse de dilatation : 3 cm/h.","Recall"
"À partir de quelle dilatation commence la phase de décélération ?","Au-delà de 8 cm (ralentissement de la dilatation).","Recall"
"Qu’est-ce que l’asynclitisme ?","Inclinaison latérale de la tête par rapport au plan du détroit supérieur. Repère = suture longitudinale. Si suture sur l’axe du DS = synclite ; si latéralisée = asynclite.","Recall"
"Citez les quatre signes cliniques d’engagement de la présentation.","1) Signe de Laurier : impossibilité de placer 2 doigts entre l’épaule antérieure fœtale et le bord supérieur du pubis. 2) Signe de Favre : distance épaule-bord supérieur pubis < 7 cm. 3) Signe de Farabeuf : seuls 2 doigts trouvent place entre pôle fœtal descendant et plan sacro-coccygien. 4) Signe de Demelin : l’index introduit perpendiculairement à la symphyse pubienne vient buter contre la présentation.","Recall"
"Comment évoluent les variétés antérieures (OIGA, OIDA) lors de la phase de rotation ?","Les variétés antérieures tournent en avant en occipito-pubien (OP) après une rotation courte de 45°. OIGA : sens inverse des aiguilles d’une montre. OIDA : sens des aiguilles d’une montre. La grande suture se met dans le diamètre antéro-postérieur du DS ; fontanelle postérieure sous la symphyse pubienne.","Understanding"
"Comment évoluent 97 % des variétés postérieures (OIDP, OIGP) lors de la rotation ?","Elles tournent en avant en occipito-pubien (OP) après une grande rotation de 135° (3/8 de cercle). OIDP : sens des aiguilles d’une montre ; OIGP : sens inverse.","Understanding"
"Comment évoluent 3 % des variétés postérieures lors de la rotation ?","Elles tournent au plus court vers l’arrière en occipito-sacré (OS) après une rotation de 45°. Fontanelle bregmatique sous la symphyse pubienne.","Recall"
"Quelle est la vitesse minimale de descente de la présentation ?","Primipare : minimum 1 cm/h. Multipare : minimum 2 cm/h.","Recall"
"Quelle est la durée maximale de la descente après dilatation complète ?","Maximum : 3 heures, 2 heures après la dilatation complète.","Recall"
"Quels sont les étapes de la phase d’expulsion ?","1) Rotation en occipito-pubien. 2) Occiput calé par la symphyse pubienne → déflexion de la tête → amplification du périnée → dégagement de la tête. 3) Mouvement de restitution (rotation de la tête pour se remettre dans l’axe du dos). 4) Accouchement des épaules (dégagement épaule antérieure sous symphyse). 5) Accouchement du siège et membres inférieurs.","Recall"
"Quelle est la durée maximale de la phase d’expulsion ?","30 minutes.","Recall"
"Que se passe-t-il lors de la 3ème étape (délivrance) ?","Décollement et expulsion des membranes et du placenta. Reprise des contractions utérines après l’expulsion.","Recall"
"Que surveille-t-on lors de la 4ème étape (post-partum immédiat) ?","Constantes maternelles, globe utérin (ovoïde et tendu), saignement.","Recall"
"Quel est le pourcentage des présentations céphaliques de sommet ?","95 % – c’est la plus fréquente et la plus favorable.","Recall"
"À quoi correspond le signe de Farabeuf ?","Seuls deux doigts trouvent place entre le pôle fœtal descendant et le plan sacro-coccygien (signe d’engagement).","Recall"
"Quelle est la position de l’occiput lors du dégagement de la tête ?","Occiput calé par la symphyse pubienne.","Recall"
