"term","definition","contextual_explanation"
"Dermatite atopique","Manifestation inflammatoire cutanée chronique et/ou récidivante associée à l’atopie.","Dans le document, la dermatite atopique est aussi appelée eczéma atopique ; c’est la première grande cause d’eczéma et le premier motif de consultation en dermatologie pédiatrique."
"Eczéma atopique","Synonyme de dermatite atopique.","Utilisé indifféremment avec dermatite atopique dans le document."
"Atopie","Prédisposition héréditaire du système immunitaire à privilégier des réactions d’hypersensibilité modérées par les IgE.","L’atopie est le terrain sur lequel se développe la dermatite atopique."
"IgE","Immunoglobulines E, anticorps impliqués dans les réactions d’hypersensibilité.","Les réactions d’hypersensibilité de la dermatite atopique sont modérées par les IgE."
"Prurit","Sensation de démangeaison.","C’est le signe fonctionnel principal de la dermatite atopique."
"Erythème","Rougeur cutanée.","Apparaît au début des poussées de dermatite atopique, associé à un œdème."
"Oedème","Gonflement par infiltration de liquide.","Associé à l’érythème dans les lésions initiales."
"Vésiculaire","Caractérisé par de petites élevures cutanées remplies de liquide.","Les poussées de dermatite atopique sont vésiculaires."
"Suintement","Écoulement de liquide séreux par une lésion cutanée.","Survient après les vésicules, signe d’exsudation."
"Desquamation","Chute de lamelles de la couche cornée de l’épiderme.","Une des phases des lésions de dermatite atopique."
"Nummulaire","En forme de pièce de monnaie (lésions rondes ou ovales).","Les lésions chroniques de dermatite atopique chez l’enfant après 2 ans peuvent être nummulaires au niveau du tronc, mamelon et dos."
"Lichénification","Épaississement de la peau avec accentuation des lignes cutanées.","Prédomine sur l’érythème et l’œdème chez l’enfant après 2 ans, ainsi que dans les plis de flexion chez l’adolescent et l’adulte."
"Signes de Dennie Morgan","Plis sous-palpébraux.","Signe mineur de la dermatite atopique chez l’enfant après 2 ans."
"Pulpite","Lésion de la pulpe du doigt ou du pied.","Dans le document : pulpite sèche et fissuraire au niveau des pieds, signe mineur."
"Eczématide sèche achromiante","Plaque hypochromique (décolorée) peu squameuse du visage.","Signe mineur de la dermatite atopique chez l’enfant après 2 ans."
"Erythrodermique","Qui réalise une érythrodermie (rougeur généralisée de la peau).","Forme grave possible de dermatite atopique chez l’adolescent et l’adulte."
"Prurigo lichénifié","Forme de prurigo avec lichénification.","Atteint les membres dans les formes de l’adolescent et l’adulte."
"Impétiginisée","Surinfectée, en particulier par staphylocoque doré.","La dermatite atopique impétiginisée est une forme compliquée, avec lésions vésiculo-bulleuses."
"Staphylocoque doré","Staphylococcus aureus, bactérie responsable de surinfections cutanées.","Cause la surinfection impétiginisée de la dermatite atopique."
"Pustulose varioliforme de Kaposi-Juliusberg","Surinfection herpétique de la dermatite atopique avec lésions vésiculo-pustuleuses varioliformes et fièvre.","Complication herpétique grave de la dermatite atopique."
"Kérato-conjonctivite","Inflammation simultanée de la cornée et de la conjonctive.","Complication ophtalmologique de la dermatite atopique."
"Cataracte","Opacification du cristallin.","Complication ophtalmologique possible."
"Détachement rétinien","Décollement de la rétine.","Complication ophtalmologique possible."
"Gale","Maladie parasitaire cutanée due à Sarcoptes scabiei.","Diagnostic différentiel de la dermatite atopique avant 2 ans."
"Dermatite séborrhéique","Dermatite des zones séborrhéiques (cuir chevelu, visage, plis).","Diagnostic différentiel avant 2 ans."
"Psoriasis","Dermatose chronique érythémato-squameuse.","Diagnostic différentiel avant et après 2 ans, ainsi que dans les formes érythrodermiques de l’adulte."
"Eczéma de contact","Réaction eczématiforme due au contact avec un allergène ou irritant.","Diagnostic différentiel après 2 ans."
"Lymphome cutané","Prolifération maligne de lymphocytes dans la peau.","Diagnostic différentiel de la forme érythrodermique de l’adulte."
"Toxidermie","Réaction indésirable cutanée à un médicament.","Diagnostic différentiel de la forme érythrodermique de l’adulte."
"Néoplasie profonde","Cancer d’un organe interne.","Diagnostic différentiel de la forme érythrodermique de l’adulte (recherche d’un cancer viscéral)."
"Flaggrine","Molécule nécessaire à la constitution de la couche cornée.","Un défaut génétique de production des flaggrines entraîne une pénétration facile des antigènes, favorisant les poussées de dermatite atopique."
"Couche cornée","Couche superficielle de l’épiderme, composée de cellules mortes kératinisées.","La flaggrine est nécessaire à sa constitution ; son défaut altère la barrière cutanée."
"LT CD8+","Lymphocytes T cytotoxiques exprimant le marqueur CD8.","Ils sont nécessaires à l’initiation des lésions de dermatite atopique."
"Peau atopique","Peau de sujet atopique, dont la barrière est altérée.","Dans le schéma du document, elle s’oppose à la peau normale (qui retient l’eau et bloque les allergènes)."
