"term","definition","contextual_explanation"
"Rachitisme carentiel","Trouble de la minéralisation du squelette en croissance dû à une carence en vitamine D.","Âge de prédilection : 6-18 mois."
"Vitamine D","Vitamine liposoluble.","Sources : exogène (alimentation, absorbée par duodénum et jéjunum) et endogène (photosynthèse cutanée). Actions : absorption du calcium, fixation du calcium sur la trame protéique, stimulation du remodelage osseux."
"Craniotabès","Amincissement localisé de la voûte crânienne donnant une sensation d'enfoncement à la pression.","Signe crânien du rachitisme, surtout après 3 mois."
"Plagiocéphalie","Aplatissement occipital ou pariétal avec aspect de bombement frontal.","Signe crânien du rachitisme chez l'enfant de moins de 1 an."
"Fontanelle antérieure","Espace membraneux entre les os du crâne du nourrisson.","Son retard de fermeture est un signe typique voire pathognomonique du rachitisme."
"Chapelet costal","Épaississement des articulations chondrocostales donnant l'aspect d'un chapelet.","Signe thoracique du rachitisme."
"Thorax en carène","Déformation thoracique avec sternum saillant vers l'avant (pectus carinatum).","Signe thoracique du rachitisme."
"Nouures épiphysaires","Élargissements des épiphyses (chevilles, poignets).","Signe osseux des membres dans le rachitisme."
"Genu varum","Déviation des membres inférieurs en forme d'arc (jambes arquées, en cavalier).","Signe osseux des membres dans le rachitisme."
"Hypotonie musculaire","Diminution du tonus musculaire.","Signe musculo-ligamentaire du rachitisme."
"Hyperlaxité ligamentaire","Augmentation de la laxité (souplesse excessive) des ligaments.","Signe musculo-ligamentaire du rachitisme."
"Poumon rachitique","Syndrome infectieux respiratoire chronique secondaire à la déformation thoracique.","Le thorax déformé entraîne une mauvaise ampliation thoracique → mauvais échanges gazeux → infections ORL et broncho-pulmonaires à répétition."
"Signes métaphysaires","Anomalies radiologiques de la métaphyse (zone de croissance).","Dans le rachitisme : élargissement des bases métaphysaires avec aspect en cupule ou 'toit de pagode', élargissement des zones radio-transparentes."
"Signes épiphysaires","Anomalies radiologiques de l'épiphyse.","Dans le rachitisme : retard d'apparition des points d'ossification, flous ou irréguliers."
"Signes diaphysaires","Anomalies radiologiques de la diaphyse (corps de l'os).","Dans le rachitisme : diminution de la densité osseuse, amincissement des corticales, aspect de corticale feuilletée, coxa vara, genu varum."
"Image en bouchon de champagne","Aspect radiologique de l'élargissement de la jonction chondrocostale.","Signe thoracique du rachitisme."
"Phosphatase alcaline (PAL)","Enzyme marqueur du remodelage osseux.","Constamment élevée dans le rachitisme, témoin de la résorption osseuse."
"Hypophosphorémie","Diminution du taux de phosphore dans le sang.","Constante dans le rachitisme, associée à une hyperphosphaturie."
"Tétanie hypocalcémique","Syndrome neuromusculaire dû à une hypocalcémie sévère.","Forme clinique précoce du rachitisme chez l'enfant de moins de 6 mois : trémulations, hyperexcitabilité, convulsions."
"Gluconate de calcium 10%","Solution calcique injectable.","Traitement urgent de l'hypocalcémie sévère (<2 mmol/l) : 500-1500 mg/m²/24h dilué dans SGI 5%."
"Ergocalciférol (Stérogyl*)","Forme de vitamine D2 utilisée en prophylaxie.","1 goutte = 400 UI. Prophylaxie : 3 gouttes/j jusqu'à 6 mois, puis 4 gouttes/j jusqu'à 18 mois."
"Bande dense transversale","Image radiologique apparaissant à 3 semaines de traitement.","Signe de reprise de la minéralisation entre la métaphyse et l'épiphyse."
"Maladie cœliaque","Entéropathie auto-immune induite par le gluten.","Cause de rachitisme par malabsorption de la vitamine D."
"Mucoviscidose","Fibrose kystique du pancréas, maladie génétique.","Cause de rachitisme par malabsorption."
"Cholestase","Diminution ou arrêt de l'excrétion biliaire.","Cause de rachitisme par absence de sels biliaires (nécessaires à l'absorption des lipides dont la vitamine D)."
"Anticonvulsivants","Médicaments antiépileptiques (phénytoïne, phénobarbital).","Cause iatrogène de rachitisme (accélèrent le catabolisme de la vitamine D)."
"Coxa vara","Déformation de l'extrémité supérieure du fémur avec diminution de l'angle cervicodiaphysaire.","Signe radiologique diaphysaire du rachitisme."
